Period,Team,Player,Type,X,Y,X2,Y2,Distance,Index,PlayLocation
1,Home,87,Shot,33.04,35.40,62.00,9.23,39.03,261,Play
1,Home,42,Shot,62.96,9.05,,,27.57,261,Play
1,Away,11,Shot,59.74,12.27,,,31.73,261,Play
1,Away,11,Shot,59.74,11.75,3.65,-0.25,57.36,263,Play
1,Away,9,Shot,47.48,10.79,5.13,1.75,43.30,263,Play
1,Home,9,Shot,32.78,-19.47,6.35,-2.25,31.55,263,Play
1,Away,9,Shot,3.48,1.40,-24.70,1.14,28.18,265,Play
1,Home,9,Shot,5.48,-3.47,-19.83,-1.55,25.38,265,Play
1,Away,9,Shot,-24.96,0.88,-63.48,8.71,39.31,266,Play
1,Home,9,Shot,-22.26,-2.51,-63.30,7.14,42.16,266,Play
1,Away,9,Shot,-65.39,9.23,-84.96,-1.38,22.26,267,Play
1,Home,9,Shot,-64.35,6.27,,,25.44,267,Play
1,Home,39,Shot,-84.87,0.62,,,4.18,267,Play
1,Home,39,Shot,-85.04,-0.16,-88.43,-5.47,6.30,269,Play
