event_index,Team,Player,X,Y,X2,Y2,X3,Y3,Distance,game_id,home_team,away_team
59,e,91,-32.77,29.91,-82.31,27.07,,,49.62,18977,Velodrome,HollowBrook
60,e,91,-82.62,26.53,-72.92,-24.47,,,51.91,18977,Velodrome,HollowBrook
60,e,22,-73.38,-25.16,,,,,29.61,18977,Velodrome,HollowBrook
61,e,22,-75.77,-29.09,-72.54,-26.55,,,4.11,18977,Velodrome,HollowBrook
62,e,22,-75.69,-29.47,-64.23,-18.24,,,16.05,18977,Velodrome,HollowBrook
62,e,52,-74.08,-8.93,-63.15,-18.09,,,14.25,18977,Velodrome,HollowBrook
63,e,52,-61.85,-18.86,-25.23,-23.01,,,36.85,18977,Velodrome,HollowBrook
64,e,52,-24.62,-23.39,25.23,-37.78,,,51.88,18977,Velodrome,HollowBrook
65,e,52,25.15,-37.93,58.00,-40.24,,,32.93,18977,Velodrome,HollowBrook
65,o,19,21.69,-29.32,53.31,-37.78,,,32.73,18977,Velodrome,HollowBrook
65,o,11,32.62,-20.70,55.77,-34.86,,,27.14,18977,Velodrome,HollowBrook
66,e,11,57.15,-36.39,,,,,48.36,18977,Velodrome,HollowBrook
66,o,52,59.85,-37.01,,,,,47.11,18977,Velodrome,HollowBrook
67,e,24,79.00,-34.63,83.77,38.45,,,73.23,18977,Velodrome,HollowBrook
68,e,42,53.62,41.30,31.46,21.61,,,29.64,18977,Velodrome,HollowBrook
68,o,18,53.85,39.38,35.00,23.38,,,24.72,18977,Velodrome,HollowBrook
69,e,42,31.54,22.38,27.77,41.38,,,19.37,18977,Velodrome,HollowBrook
69,e,91,29.00,40.99,,,,,72.67,18977,Velodrome,HollowBrook
70,e,91,27.77,40.76,45.92,32.68,,,19.87,18977,Velodrome,HollowBrook
71,e,91,46.38,32.45,61.46,-6.01,,,41.31,18977,Velodrome,HollowBrook
71,o,19,63.54,-5.78,,,,,26.11,18977,Velodrome,HollowBrook
72,e,19,63.85,-6.86,25.23,31.84,,,54.66,18977,Velodrome,HollowBrook
73,e,19,25.08,31.38,8.23,8.45,,,28.45,18977,Velodrome,HollowBrook
73,e,40,22.46,5.76,8.85,7.84,,,13.77,18977,Velodrome,HollowBrook
73,o,91,22.00,23.07,22.85,29.38,,,6.36,18977,Velodrome,HollowBrook
74,e,40,7.62,7.84,-24.77,14.76,,,33.12,18977,Velodrome,HollowBrook
75,e,40,-25.38,14.91,-45.08,14.30,,,19.70,18977,Velodrome,HollowBrook
75,e,11,-26.69,-23.01,-53.77,-20.86,,,27.16,18977,Velodrome,HollowBrook
75,o,9,-40.23,16.84,-51.00,13.68,,,11.22,18977,Velodrome,HollowBrook
75,o,52,-37.69,0.53,-57.46,-5.78,,,20.75,18977,Velodrome,HollowBrook
76,e,40,-45.00,14.30,-87.00,2.38,,,43.66,18977,Velodrome,HollowBrook
76,o,39,-86.77,2.30,,,,,3.20,18977,Velodrome,HollowBrook
76,o,9,-51.31,13.38,,,,,40.00,18977,Velodrome,HollowBrook
77,e,39,-87.23,1.99,,,,,2.66,18977,Velodrome,HollowBrook
77,o,40,-45.38,14.91,-87.15,2.53,,,43.57,18977,Velodrome,HollowBrook
78,e,39,-86.92,3.07,,,,,3.70,18977,Velodrome,HollowBrook
80,e,70,-69.23,21.84,-89.54,4.53,,,26.68,18977,Velodrome,HollowBrook
80,o,11,-68.23,22.07,,,,,30.30,18977,Velodrome,HollowBrook
