event_index,Team,Player,X,Y,X2,Y2,X3,Y3,Distance,game_id,home_team,away_team
247,e,70,-68.87,20.88,-68.09,-0.68,,,21.58,18977,Velodrome,HollowBrook
247,o,26,-69.04,22.10,,,,,29.78,18977,Velodrome,HollowBrook
248,e,84,-62.00,-16.86,93.83,-8.25,,,156.06,18977,Velodrome,HollowBrook
249,e,84,-62.26,-16.77,93.57,-7.55,,,156.10,18977,Velodrome,HollowBrook
250,e,27,94.00,-8.25,89.39,18.27,,,26.92,18977,Velodrome,HollowBrook
251,e,27,89.13,18.18,54.87,40.62,,,40.95,18977,Velodrome,HollowBrook
251,e,5,55.22,40.45,,,,,52.70,18977,Velodrome,HollowBrook
251,o,70,80.43,22.10,,,,,23.70,18977,Velodrome,HollowBrook
252,e,5,55.22,40.27,63.91,39.05,,,8.78,18977,Velodrome,HollowBrook
254,e,27,64.87,-17.12,72.78,-20.34,,,8.54,18977,Velodrome,HollowBrook
253,e,27,67.48,-2.77,69.57,-15.12,,,12.52,18977,Velodrome,HollowBrook
253,e,5,63.91,36.53,70.35,-15.82,,,52.74,18977,Velodrome,HollowBrook
255,e,27,73.22,-20.77,31.13,37.05,,,71.52,18977,Velodrome,HollowBrook
255,e,5,52.70,39.40,30.78,37.14,,,22.03,18977,Velodrome,HollowBrook
256,e,5,31.30,37.14,23.13,31.75,,,9.79,18977,Velodrome,HollowBrook
257,e,5,23.04,31.05,-17.65,-41.21,,,82.93,18977,Velodrome,HollowBrook
257,e,13,9.22,-39.55,-18.09,-40.77,,,27.33,18977,Velodrome,HollowBrook
258,e,13,-18.09,-40.60,-59.65,-41.29,,,41.57,18977,Velodrome,HollowBrook
258,o,84,-31.74,-3.47,-59.74,-40.42,,,46.37,18977,Velodrome,HollowBrook
259,e,84,-59.57,-40.16,,,,,49.79,18977,Velodrome,HollowBrook
259,o,13,-59.74,-39.99,,,,,49.55,18977,Velodrome,HollowBrook
260,e,84,-59.13,-40.42,-96.43,-25.64,,,40.13,18977,Velodrome,HollowBrook
261,e,84,-95.65,-24.60,-29.04,3.23,,,72.19,18977,Velodrome,HollowBrook
261,o,27,-30.17,-16.77,-29.91,2.71,,,19.48,18977,Velodrome,HollowBrook
262,e,27,-29.83,2.10,-48.43,11.92,,,21.04,18977,Velodrome,HollowBrook
263,e,27,-48.35,12.18,-78.35,3.40,,,31.26,18977,Velodrome,HollowBrook
263,e,13,-78.35,4.71,,,,,11.65,18977,Velodrome,HollowBrook
264,e,27,-48.09,11.75,-78.43,4.53,,,31.19,18977,Velodrome,HollowBrook
265,e,27,-99.04,9.58,-43.65,41.14,,,63.75,18977,Velodrome,HollowBrook
265,e,70,-59.30,32.36,-43.57,40.27,,,17.62,18977,Velodrome,HollowBrook
266,e,70,-43.65,40.10,69.91,22.27,,,114.96,18977,Velodrome,HollowBrook
267,e,70,-43.83,40.27,70.17,22.71,,,115.35,18977,Velodrome,HollowBrook
266,o,27,-34.78,39.92,-41.57,41.05,,,6.88,18977,Velodrome,HollowBrook
267,o,5,20.26,22.45,66.70,19.32,,,46.54,18977,Velodrome,HollowBrook
268,e,70,70.09,21.58,82.87,-5.99,,,30.38,18977,Velodrome,HollowBrook
268,o,5,67.22,17.32,84.09,6.88,,,19.84,18977,Velodrome,HollowBrook
269,e,70,82.87,-6.08,74.26,-2.51,,,9.32,18977,Velodrome,HollowBrook
269,e,91,60.87,-2.77,74.70,-1.90,,,13.85,18977,Velodrome,HollowBrook
270,e,91,74.26,-1.99,85.13,-0.42,,,10.98,18977,Velodrome,HollowBrook
270,o,99,87.48,-2.42,84.78,-0.08,,,3.57,18977,Velodrome,HollowBrook
271,e,99,86.70,-2.25,84.70,0.18,,,3.15,18977,Velodrome,HollowBrook
271,o,91,76.52,-1.82,84.78,-0.08,,,8.44,18977,Velodrome,HollowBrook
272,e,99,84.87,-0.86,97.39,-7.21,,,14.04,18977,Velodrome,HollowBrook
273,e,91,97.30,-7.73,85.65,-21.82,,,18.28,18977,Velodrome,HollowBrook
274,e,91,83.48,-19.64,69.39,-5.64,,,19.86,18977,Velodrome,HollowBrook
274,e,70,66.52,-17.82,68.87,-5.21,,,12.83,18977,Velodrome,HollowBrook
274,o,27,66.43,-0.77,69.39,-6.25,,,6.23,18977,Velodrome,HollowBrook
275,e,91,76.17,-34.68,76.96,-21.99,,,12.72,18977,Velodrome,HollowBrook
276,e,91,77.48,-22.25,87.22,-2.51,,,22.01,18977,Velodrome,HollowBrook
276,o,99,86.43,-2.25,,,,,3.41,18977,Velodrome,HollowBrook
276,o,5,83.48,-6.95,,,,,8.87,18977,Velodrome,HollowBrook
277,e,5,83.57,-6.51,,,,,8.48,18977,Velodrome,HollowBrook
277,e,99,86.70,-1.82,,,,,2.93,18977,Velodrome,HollowBrook
277,o,91,76.87,-22.34,87.04,-2.60,,,22.21,18977,Velodrome,HollowBrook
278,e,99,86.17,-0.95,78.52,4.10,,,9.16,18977,Velodrome,HollowBrook
279,e,27,79.39,4.01,21.65,33.75,,,64.95,18977,Velodrome,HollowBrook
280,e,27,77.83,4.27,21.74,34.36,,,63.65,18977,Velodrome,HollowBrook
280,o,70,23.48,31.14,22.09,28.53,,,2.96,18977,Velodrome,HollowBrook
281,e,70,21.91,28.10,0.78,-0.16,,,35.29,18977,Velodrome,HollowBrook
