event_index,X,Y
1106,12.31,17.57
1107,12.44,17.64
1133,-22.61,-21.28
1134,-22.74,-21.25
1138,-18.57,-21.48
1139,-18.57,-21.32
1162,-7.23,-15.81
1163,-7.33,-15.77
1165,21.30,-19.09
1166,21.03,-19.05
1179,24.41,-5.64
1180,24.41,-5.55
1197,31.39,-20.76
1198,31.36,-20.92
1200,16.61,-20.07
1201,16.74,-20.17
1233,25.89,-19.48
1234,25.85,-19.48
1245,26.70,-9.41
1246,26.64,-9.32
1257,-33.46,-21.35
1258,-32.97,-21.61
1268,31.13,-8.82
1269,31.16,-8.79
1279,33.89,-22.36
1280,33.92,-22.50
1296,-19.49,-13.02
1297,-19.66,-13.15
1308,-33.98,-18.76
1309,-34.05,-18.82
1319,16.87,-4.79
1320,16.97,-4.89
1324,33.92,-22.30
1325,33.79,-22.17
1332,-34.67,-16.20
1333,-34.64,-16.07
1335,-32.51,-17.64
1336,-32.74,-17.97
1345,11.16,-21.05
1346,10.90,-20.92
1348,18.11,-22.14
1349,17.75,-22.00
