Period,Team,Player,Type,X,Y,X2,Y2,Distance,Index,PlayLocation
1,Away,7,Shot,77.65,-40.77,,,42.32,423,Play
1,Home,42,Shot,68.26,-22.08,,,30.29,423,Play
1,Away,7,Shot,78.26,-37.82,88.96,-20.25,20.57,424,Play
1,Away,10,Shot,88.87,-20.34,,,20.34,424,Play
1,Away,10,Shot,89.30,-21.12,85.48,-37.12,16.45,425,Play
1,Away,7,Shot,83.91,-37.82,,,38.16,425,Play
1,Home,24,Shot,84.78,-27.99,,,28.31,425,Play
1,Away,7,Shot,98.26,-20.51,91.04,30.71,51.72,426,Play
1,Away,4,Shot,90.09,31.49,,,31.51,426,Play
1,Home,24,Shot,92.87,-20.08,,,20.45,426,Play
1,Away,4,Shot,67.48,40.01,,,45.43,427,Play
1,Home,91,Shot,65.13,40.01,,,46.59,427,Play
1,Home,91,Shot,68.61,21.66,89.83,0.27,30.13,428,Play
1,Home,24,Shot,82.26,-3.21,,,7.46,428,Play
1,Away,1,Shot,86.26,2.27,,,3.56,428,Play
1,Away,10,Shot,82.00,0.88,,,7.06,428,Play
1,Away,14,Shot,0.52,0.10,-4.87,0.18,5.39,431,Play
1,Home,70,Shot,-2.17,-0.34,,,86.83,431,Play
1,Away,14,Shot,-1.74,0.45,-23.74,10.27,24.09,432,Play
1,Away,14,Shot,-24.17,9.40,-44.87,5.23,21.11,433,Play
1,Home,91,Shot,-24.17,13.66,-34.43,10.01,10.89,433,Play
1,Home,84,Shot,-25.39,15.92,-50.09,7.49,26.10,433,Play
1,Home,22,Shot,-26.17,-7.73,-51.91,0.18,26.93,433,Play
1,Away,14,Shot,-45.04,4.88,-98.70,-14.42,57.02,434,Play
1,Home,84,Shot,-49.39,5.84,,,40.04,434,Play
1,Home,22,Shot,-51.13,0.97,,,37.88,434,Play
1,Away,14,Shot,-69.74,-21.99,-95.22,27.23,55.42,435,Play
1,Home,91,Shot,-27.04,40.10,19.83,16.62,52.42,436,Play
1,Home,91,Shot,20.35,15.58,33.22,5.66,16.24,438,Play
1,Away,10,Shot,33.30,4.36,34.26,-41.21,45.58,439,Play
1,Home,24,Shot,33.65,-40.16,32.52,-39.82,1.18,440,Play
1,Away,14,Shot,35.65,-40.42,35.65,-39.64,0.78,440,Play
1,Home,24,Shot,32.96,-39.55,50.87,-20.86,25.89,441,Play
1,Away,10,Shot,51.30,-20.34,,,42.83,441,Play
1,Away,10,Shot,92.70,-14.86,97.91,7.32,22.78,443,Play
1,Away,10,Shot,97.74,7.75,89.22,-9.73,19.45,444,Play
1,Away,10,Shot,90.17,-9.82,76.26,-40.16,33.39,445,Play
