Period,Team,Player,Type,X,Y,X2,Y2,Distance,Index,PlayLocation
1,Home,9,Shot,-77.39,37.84,-76.87,36.10,1.82,204,Play
1,Home,75,Shot,-62.70,35.23,,,43.97,204,Play
1,Away,15,Shot,-72.17,26.27,-81.65,13.05,16.26,205,Play
1,Home,93,Shot,-79.30,5.75,-86.52,9.49,8.13,205,Play
1,Home,70,Shot,-59.65,30.36,-71.30,12.45,21.37,205,Play
1,Away,15,Shot,-82.00,12.18,-87.30,4.10,9.67,206,Play
1,Home,39,Shot,-87.22,3.32,,,3.76,206,Play
1,Home,9,Shot,-81.04,18.10,,,19.77,206,Play
1,Home,93,Shot,-86.87,9.49,,,9.73,206,Play
1,Home,70,Shot,-73.48,12.62,,,20.00,206,Play
1,Home,39,Shot,-87.83,3.75,-92.61,5.92,5.25,208,Play
1,Away,3,Shot,-87.74,14.79,-92.96,6.01,10.22,208,Play
1,Away,3,Shot,-94.00,5.14,-96.61,-20.60,25.87,209,Play
1,Home,93,Shot,-91.48,3.75,-92.96,-10.86,14.68,209,Play
1,Home,14,Shot,-86.43,-4.42,-91.65,-18.08,14.62,209,Play
1,Away,3,Shot,-95.65,-20.68,-34.09,-31.64,62.53,210,Play
1,Away,13,Shot,-34.17,-31.90,,,63.43,210,Play
1,Home,93,Shot,-92.96,-10.60,,,11.31,210,Play
1,Home,14,Shot,-91.30,-18.42,,,18.57,210,Play
1,Away,13,Shot,-34.26,-31.55,-86.87,-0.42,61.13,211,Play
1,Home,39,Shot,-86.78,-0.34,-86.78,-0.25,0.09,211,Play
1,Home,70,Shot,-73.74,-13.03,-70.96,-13.03,2.78,211,Play
1,Home,93,Shot,-78.43,-9.73,,,14.36,211,Play
1,Home,14,Shot,-47.65,-29.21,,,50.62,211,Play
