Period,Team,Player,Type,X,Y,X2,Y2,Distance,Index,PlayLocation
1,Away,10,Shot,22.43,-30.77,,,73.33,2,Start
1,Away,9,Shot,3.22,-26.86,,,89.89,2,Start
1,Away,11,Shot,-5.57,-28.34,,,88.12,2,Start
1,Home,14,Shot,12.70,-33.82,,,83.46,2,Start
1,Away,11,Shot,-10.70,-40.51,-25.22,-40.16,14.53,3,Play
1,Away,11,Shot,-9.74,-40.42,,,88.97,3,Start
1,Away,9,Shot,3.39,-36.51,,,93.07,3,Start
1,Away,5,Shot,-13.22,8.36,,,76.24,3,Start
1,Home,70,Shot,-16.70,-35.90,,,80.73,3,Start
1,Away,11,Shot,-25.13,-39.99,-65.48,-40.51,40.35,4,Play
1,Away,9,Shot,-16.00,-25.12,-48.43,-20.68,32.74,4,Location
1,Away,9,Shot,-48.43,-20.68,-62.96,-8.08,19.23,4,Location
1,Away,5,Shot,-22.09,-5.29,-46.35,-9.12,24.56,4,Location
1,Away,5,Shot,-45.83,-8.86,-65.13,5.40,24.00,4,Location
1,Home,70,Shot,-23.74,-37.73,-58.09,-36.34,34.38,4,Location
1,Home,87,Shot,-44.61,-32.08,-63.65,-29.82,19.18,4,Location
1,Home,84,Shot,-54.70,3.92,-63.30,-5.12,12.49,4,Location
1,Home,75,Shot,-23.30,15.75,-57.91,8.62,35.34,4,Location
1,Away,11,Shot,-64.96,-40.08,-62.96,-7.99,32.15,5,Play
1,Away,11,Shot,-65.48,-40.51,,,46.84,5,Location
1,Away,9,Shot,-62.35,-7.21,,,27.61,5,Location
1,Away,5,Shot,-64.43,5.23,,,25.12,5,Location
1,Home,70,Shot,-58.17,-36.34,,,47.65,5,Location
1,Home,87,Shot,-64.26,-29.12,,,38.21,5,Location
1,Home,84,Shot,-63.57,-4.34,,,25.80,5,Location
1,Home,75,Shot,-57.22,8.62,,,32.93,5,Location
1,Away,5,Shot,-75.74,31.40,-98.96,0.97,38.28,6,Play
1,Away,5,Shot,-99.22,0.79,-88.78,-35.29,37.57,6,Play
1,Away,5,Shot,-76.00,31.58,,,34.15,6,Location
1,Away,11,Shot,-78.35,15.49,,,18.80,6,Location
1,Home,84,Shot,-82.00,22.62,,,23.68,6,Location
1,Home,70,Shot,-83.83,13.32,,,14.29,6,Location
