venue_code,venue_name,is_home,is_away,_updated_timestamp,_export_timestamp
home,Home,1,0,2025-12-20T00:43:12.607677,2025-12-20T01:05:41.430999
away,Away,0,1,2025-12-20T00:43:12.607677,2025-12-20T01:05:41.430999
