linked_event_index,first_event,last_event,event_count,event_indices,event_types,chain_type,chain_id,game_id
9086,1510.0,1511.0,6,"[1510.0, 1510.0, 1510.0, 1511.0, 1511.0, 1511.0]","['Pass', 'Turnover']",other,18969_link_9086,18969
9087,1519.0,1521.0,9,"[1519.0, 1519.0, 1519.0, 1519.0, 1520.0, 1520.0, 1520.0, 1520.0, 1521.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9087,18969
9088,1523.0,1524.0,6,"[1523.0, 1523.0, 1523.0, 1524.0, 1524.0, 1524.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9088,18969
9089,1532.0,1533.0,6,"[1532.0, 1532.0, 1532.0, 1533.0, 1533.0, 1533.0]","['Pass', 'Turnover']",other,18969_link_9089,18969
9090,1545.0,1547.0,10,"[1545.0, 1545.0, 1545.0, 1546.0, 1546.0, 1546.0, 1547.0, 1547.0, 1547.0, 1547.0]","['Pass', 'Turnover', 'Zone_Entry_Exit', 'Possession']",zone_transition,18969_link_9090,18969
9091,1548.0,1551.0,8,"[1548.0, 1548.0, 1548.0, 1549.0, 1549.0, 1549.0, 1550.0, 1551.0]","['Shot', 'Save', 'Stoppage', 'DeadIce']",shot_sequence,18969_link_9091,18969
9092,1553.0,1554.0,4,"[1553.0, 1553.0, 1554.0, 1554.0]","['Pass', 'Turnover']",other,18969_link_9092,18969
9093,1563.0,1565.0,5,"[1563.0, 1563.0, 1564.0, 1564.0, 1565.0]","['Play', 'Zone_Entry_Exit', 'Possession']",zone_transition,18969_link_9093,18969
9094,1566.0,1567.0,8,"[1566.0, 1566.0, 1566.0, 1566.0, 1567.0, 1567.0, 1567.0, 1567.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9094,18969
9095,1568.0,1569.0,4,"[1568.0, 1568.0, 1569.0, 1569.0]","['Shot', 'Turnover']",other,18969_link_9095,18969
9096,1575.0,1577.0,11,"[1575.0, 1575.0, 1575.0, 1575.0, 1575.0, 1576.0, 1576.0, 1576.0, 1576.0, 1576.0, 1577.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9096,18969
9097,1583.0,1585.0,7,"[1583.0, 1583.0, 1583.0, 1584.0, 1584.0, 1584.0, 1585.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9097,18969
9098,1589.0,1590.0,7,"[1589.0, 1589.0, 1590.0, 1590.0, 1590.0, 1590.0, 1590.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9098,18969
9099,1592.0,1594.0,5,"[1592.0, 1592.0, 1593.0, 1593.0, 1594.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9099,18969
9100,1596.0,1597.0,4,"[1596.0, 1596.0, 1597.0, 1597.0]","['Zone_Entry_Exit', 'Pass']",zone_transition,18969_link_9100,18969
9101,1606.0,1608.0,5,"[1606.0, 1606.0, 1607.0, 1607.0, 1608.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9101,18969
9102,1622.0,1623.0,2,"[1622.0, 1623.0]",['Zone_Entry_Exit'],zone_transition,18969_link_9102,18969
9103,1631.0,1632.0,4,"[1631.0, 1631.0, 1632.0, 1632.0]","['Pass', 'Turnover']",other,18969_link_9103,18969
9104,1642.0,1643.0,2,"[1642.0, 1643.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9104,18969
9105,1647.0,1648.0,8,"[1647.0, 1647.0, 1647.0, 1647.0, 1648.0, 1648.0, 1648.0, 1648.0]","['Pass', 'Turnover']",other,18969_link_9105,18969
9106,1650.0,1653.0,7,"[1650.0, 1650.0, 1651.0, 1651.0, 1652.0, 1652.0, 1653.0]","['Zone_Entry_Exit', 'Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9106,18969
9107,1655.0,1656.0,4,"[1655.0, 1655.0, 1656.0, 1656.0]","['Shot', 'Turnover']",other,18969_link_9107,18969
9108,1657.0,1659.0,6,"[1657.0, 1657.0, 1658.0, 1658.0, 1659.0, 1659.0]","['Zone_Entry_Exit', 'Possession']",zone_transition,18969_link_9108,18969
9109,1667.0,1669.0,7,"[1667.0, 1667.0, 1667.0, 1668.0, 1668.0, 1668.0, 1669.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9109,18969
9110,1673.0,1675.0,11,"[1673.0, 1673.0, 1673.0, 1673.0, 1673.0, 1674.0, 1674.0, 1674.0, 1674.0, 1674.0, 1675.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9110,18969
9111,1683.0,1684.0,4,"[1683.0, 1683.0, 1684.0, 1684.0]","['Pass', 'Turnover']",other,18969_link_9111,18969
9112,1693.0,1695.0,5,"[1693.0, 1693.0, 1694.0, 1694.0, 1695.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9112,18969
9113,1700.0,1700.0,2,"[1700.0, 1700.0]",['Turnover'],other,18969_link_9113,18969
9114,1705.0,1707.0,3,"[1705.0, 1706.0, 1707.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9114,18969
9115,1709.0,1711.0,9,"[1709.0, 1709.0, 1709.0, 1710.0, 1710.0, 1710.0, 1711.0, 1711.0, 1711.0]","['Pass', 'Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9115,18969
9116,1716.0,1718.0,6,"[1716.0, 1716.0, 1717.0, 1717.0, 1718.0, 1718.0]","['Pass', 'Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9116,18969
9117,1726.0,1727.0,2,"[1726.0, 1727.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9117,18969
9118,1730.0,1731.0,4,"[1730.0, 1730.0, 1731.0, 1731.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9118,18969
9119,1735.0,1736.0,4,"[1735.0, 1735.0, 1736.0, 1736.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9119,18969
9120,1744.0,1745.0,4,"[1744.0, 1744.0, 1745.0, 1745.0]","['Shot', 'Turnover']",other,18969_link_9120,18969
9121,1749.0,1751.0,7,"[1749.0, 1749.0, 1749.0, 1750.0, 1750.0, 1750.0, 1751.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9121,18969
9122,1759.0,1761.0,7,"[1759.0, 1759.0, 1759.0, 1760.0, 1760.0, 1760.0, 1761.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9122,18969
9123,1763.0,1765.0,3,"[1763.0, 1764.0, 1765.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9123,18969
9124,1768.0,1769.0,4,"[1768.0, 1768.0, 1769.0, 1769.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9124,18969
9125,1776.0,1777.0,8,"[1776.0, 1776.0, 1776.0, 1776.0, 1777.0, 1777.0, 1777.0, 1777.0]","['Pass', 'Turnover']",other,18969_link_9125,18969
9126,1780.0,1781.0,2,"[1780.0, 1781.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9126,18969
9127,1783.0,1785.0,9,"[1783.0, 1783.0, 1783.0, 1784.0, 1784.0, 1784.0, 1785.0, 1785.0, 1785.0]","['Pass', 'Turnover', 'Zone_Entry_Exit']",zone_transition,18969_link_9127,18969
9128,1789.0,1790.0,4,"[1789.0, 1789.0, 1790.0, 1790.0]","['Pass', 'Turnover']",other,18969_link_9128,18969
9129,1792.0,1793.0,4,"[1792.0, 1792.0, 1793.0, 1793.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9129,18969
9130,1805.0,1807.0,6,"[1805.0, 1805.0, 1806.0, 1806.0, 1807.0, 1807.0]","['Pass', 'Turnover', 'Zone_Entry_Exit']",zone_transition,18969_link_9130,18969
9131,1813.0,1814.0,2,"[1813.0, 1814.0]","['Pass', 'Turnover']",other,18969_link_9131,18969
9132,1825.0,1827.0,5,"[1825.0, 1825.0, 1826.0, 1826.0, 1827.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9132,18969
9133,1831.0,1832.0,6,"[1831.0, 1831.0, 1831.0, 1832.0, 1832.0, 1832.0]","['Pass', 'Turnover']",other,18969_link_9133,18969
9134,1842.0,1843.0,6,"[1842.0, 1842.0, 1842.0, 1843.0, 1843.0, 1843.0]","['Pass', 'Turnover']",other,18969_link_9134,18969
9135,1847.0,1849.0,9,"[1847.0, 1847.0, 1847.0, 1848.0, 1848.0, 1848.0, 1849.0, 1849.0, 1849.0]","['Pass', 'Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9135,18969
9136,1858.0,1861.0,6,"[1858.0, 1858.0, 1859.0, 1859.0, 1860.0, 1861.0]","['Shot', 'Save', 'Stoppage', 'DeadIce']",shot_sequence,18969_link_9136,18969
9137,1865.0,1866.0,6,"[1865.0, 1865.0, 1865.0, 1866.0, 1866.0, 1866.0]","['Pass', 'Turnover']",other,18969_link_9137,18969
9138,1875.0,1877.0,6,"[1875.0, 1875.0, 1876.0, 1876.0, 1877.0, 1877.0]","['Pass', 'Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9138,18969
9139,1882.0,1883.0,4,"[1882.0, 1882.0, 1883.0, 1883.0]","['Pass', 'Turnover']",other,18969_link_9139,18969
9140,1889.0,1892.0,8,"[1889.0, 1889.0, 1889.0, 1890.0, 1890.0, 1890.0, 1891.0, 1892.0]","['Shot', 'Save', 'Stoppage', 'DeadIce']",shot_sequence,18969_link_9140,18969
9141,1895.0,1896.0,4,"[1895.0, 1895.0, 1896.0, 1896.0]","['Pass', 'Turnover']",other,18969_link_9141,18969
9142,1897.0,1898.0,2,"[1897.0, 1898.0]","['Zone_Entry_Exit', 'Possession']",zone_transition,18969_link_9142,18969
9143,1922.0,1923.0,4,"[1922.0, 1922.0, 1923.0, 1923.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9143,18969
9144,1925.0,1926.0,6,"[1925.0, 1925.0, 1925.0, 1926.0, 1926.0, 1926.0]","['Pass', 'Turnover']",other,18969_link_9144,18969
