linked_event_index,first_event,last_event,event_count,event_indices,event_types,chain_type,chain_id,game_id
9166,2094.0,2096.0,4,"[2094.0, 2094.0, 2095.0, 2096.0]","['Faceoff', 'Zone_Entry_Exit']",zone_transition,18969_link_9166,18969
9167,2120.0,2121.0,6,"[2120.0, 2120.0, 2120.0, 2121.0, 2121.0, 2121.0]","['Pass', 'Turnover']",other,18969_link_9167,18969
9168,2125.0,2126.0,6,"[2125.0, 2125.0, 2125.0, 2126.0, 2126.0, 2126.0]","['Pass', 'Turnover']",other,18969_link_9168,18969
9169,2137.0,2139.0,5,"[2137.0, 2137.0, 2138.0, 2138.0, 2139.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9169,18969
9170,2141.0,2142.0,2,"[2141.0, 2142.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9170,18969
9171,2150.0,2151.0,4,"[2150.0, 2150.0, 2151.0, 2151.0]","['Pass', 'Turnover']",other,18969_link_9171,18969
9172,2165.0,2166.0,6,"[2165.0, 2165.0, 2165.0, 2166.0, 2166.0, 2166.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9172,18969
9173,2174.0,2177.0,6,"[2174.0, 2174.0, 2175.0, 2175.0, 2176.0, 2177.0]","['Shot', 'Save', 'Stoppage', 'DeadIce']",shot_sequence,18969_link_9173,18969
9174,2181.0,2183.0,9,"[2181.0, 2181.0, 2181.0, 2182.0, 2182.0, 2182.0, 2183.0, 2183.0, 2183.0]","['Pass', 'Turnover', 'Zone_Entry_Exit']",zone_transition,18969_link_9174,18969
9175,2195.0,2196.0,4,"[2195.0, 2195.0, 2196.0, 2196.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9175,18969
9176,2199.0,2200.0,4,"[2199.0, 2199.0, 2200.0, 2200.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9176,18969
9177,2207.0,2208.0,6,"[2207.0, 2207.0, 2207.0, 2208.0, 2208.0, 2208.0]","['Pass', 'Turnover']",other,18969_link_9177,18969
9178,2210.0,2213.0,6,"[2210.0, 2210.0, 2211.0, 2211.0, 2212.0, 2213.0]","['Shot', 'Save', 'Stoppage', 'DeadIce']",shot_sequence,18969_link_9178,18969
9179,2219.0,2220.0,8,"[2219.0, 2219.0, 2219.0, 2219.0, 2220.0, 2220.0, 2220.0, 2220.0]","['Pass', 'Turnover']",other,18969_link_9179,18969
9180,2222.0,2223.0,4,"[2222.0, 2222.0, 2223.0, 2223.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9180,18969
9181,2232.0,2233.0,6,"[2232.0, 2232.0, 2232.0, 2233.0, 2233.0, 2233.0]","['Pass', 'Turnover']",other,18969_link_9181,18969
9182,2236.0,2237.0,4,"[2236.0, 2236.0, 2237.0, 2237.0]","['Pass', 'Turnover']",other,18969_link_9182,18969
9183,2241.0,2242.0,4,"[2241.0, 2241.0, 2242.0, 2242.0]","['Shot', 'Turnover']",other,18969_link_9183,18969
9184,2244.0,2245.0,2,"[2244.0, 2245.0]","['Shot', 'Turnover']",other,18969_link_9184,18969
9185,2247.0,2248.0,6,"[2247.0, 2247.0, 2247.0, 2248.0, 2248.0, 2248.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9185,18969
9186,2253.0,2254.0,4,"[2253.0, 2253.0, 2254.0, 2254.0]","['Shot', 'Turnover']",other,18969_link_9186,18969
9187,2262.0,2265.0,6,"[2262.0, 2262.0, 2263.0, 2263.0, 2264.0, 2265.0]","['Shot', 'Goal', 'Stoppage', 'DeadIce']",other,18969_link_9187,18969
9188,2273.0,2276.0,6,"[2273.0, 2273.0, 2274.0, 2274.0, 2275.0, 2276.0]","['Shot', 'Save', 'Stoppage', 'DeadIce']",shot_sequence,18969_link_9188,18969
9189,2278.0,2279.0,4,"[2278.0, 2278.0, 2279.0, 2279.0]","['Pass', 'Turnover']",other,18969_link_9189,18969
9190,2288.0,2289.0,8,"[2288.0, 2288.0, 2288.0, 2288.0, 2289.0, 2289.0, 2289.0, 2289.0]","['Pass', 'Turnover']",other,18969_link_9190,18969
9191,2290.0,2291.0,2,"[2290.0, 2291.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9191,18969
9192,2293.0,2295.0,9,"[2293.0, 2293.0, 2293.0, 2294.0, 2294.0, 2294.0, 2295.0, 2295.0, 2295.0]","['Pass', 'Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9192,18969
9193,2304.0,2305.0,6,"[2304.0, 2304.0, 2304.0, 2305.0, 2305.0, 2305.0]","['Pass', 'Turnover']",other,18969_link_9193,18969
9194,2308.0,2310.0,5,"[2308.0, 2308.0, 2309.0, 2309.0, 2310.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9194,18969
9195,2311.0,2312.0,2,"[2311.0, 2312.0]","['Stoppage', 'DeadIce']",other,18969_link_9195,18969
9196,2317.0,2319.0,9,"[2317.0, 2317.0, 2317.0, 2318.0, 2318.0, 2318.0, 2319.0, 2319.0, 2319.0]","['Pass', 'Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9196,18969
9197,2328.0,2330.0,9,"[2328.0, 2328.0, 2328.0, 2329.0, 2329.0, 2329.0, 2330.0, 2330.0, 2330.0]","['Turnover', 'Zone_Entry_Exit']",zone_transition,18969_link_9197,18969
9198,2332.0,2333.0,6,"[2332.0, 2332.0, 2332.0, 2333.0, 2333.0, 2333.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9198,18969
9199,2336.0,2337.0,2,"[2336.0, 2337.0]","['Shot', 'Turnover']",other,18969_link_9199,18969
9200,2339.0,2340.0,6,"[2339.0, 2339.0, 2339.0, 2340.0, 2340.0, 2340.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9200,18969
9201,2347.0,2349.0,12,"[2347.0, 2347.0, 2347.0, 2347.0, 2348.0, 2348.0, 2348.0, 2348.0, 2349.0, 2349.0, 2349.0, 2349.0]","['Pass', 'Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9201,18969
9202,2351.0,2352.0,4,"[2351.0, 2351.0, 2352.0, 2352.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9202,18969
9203,2358.0,2359.0,4,"[2358.0, 2358.0, 2359.0, 2359.0]","['Pass', 'Zone_Entry_Exit']",zone_transition,18969_link_9203,18969
9204,2361.0,2362.0,6,"[2361.0, 2361.0, 2361.0, 2362.0, 2362.0, 2362.0]","['Pass', 'Turnover']",other,18969_link_9204,18969
9205,2364.0,2365.0,6,"[2364.0, 2364.0, 2364.0, 2365.0, 2365.0, 2365.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9205,18969
9206,2370.0,2371.0,6,"[2370.0, 2370.0, 2370.0, 2371.0, 2371.0, 2371.0]","['Pass', 'Turnover']",other,18969_link_9206,18969
9207,2380.0,2382.0,7,"[2380.0, 2380.0, 2380.0, 2381.0, 2381.0, 2381.0, 2382.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9207,18969
9208,2388.0,2389.0,4,"[2388.0, 2388.0, 2389.0, 2389.0]","['Shot', 'Turnover']",other,18969_link_9208,18969
9209,2405.0,2406.0,4,"[2405.0, 2405.0, 2406.0, 2406.0]","['Pass', 'Turnover']",other,18969_link_9209,18969
9210,2420.0,2421.0,4,"[2420.0, 2420.0, 2421.0, 2421.0]","['Zone_Entry_Exit', 'Turnover']",zone_transition,18969_link_9210,18969
9211,2439.0,2440.0,6,"[2439.0, 2439.0, 2439.0, 2440.0, 2440.0, 2440.0]","['Pass', 'Turnover']",other,18969_link_9211,18969
9212,2444.0,2446.0,7,"[2444.0, 2444.0, 2444.0, 2445.0, 2445.0, 2446.0, 2446.0]","['Shot', 'Turnover', 'Possession']",other,18969_link_9212,18969
9213,2459.0,2462.0,6,"[2459.0, 2459.0, 2460.0, 2460.0, 2461.0, 2462.0]","['Shot', 'Save', 'Stoppage', 'DeadIce']",shot_sequence,18969_link_9213,18969
9214,2464.0,2467.0,8,"[2464.0, 2464.0, 2464.0, 2465.0, 2465.0, 2465.0, 2466.0, 2467.0]","['Shot', 'Save', 'Stoppage', 'DeadIce']",shot_sequence,18969_link_9214,18969
9215,2469.0,2470.0,4,"[2469.0, 2469.0, 2470.0, 2470.0]","['Shot', 'Turnover']",other,18969_link_9215,18969
9216,2476.0,2478.0,7,"[2476.0, 2476.0, 2476.0, 2477.0, 2477.0, 2477.0, 2478.0]","['Shot', 'Save', 'Rebound']",shot_sequence,18969_link_9216,18969
9217,2480.0,2482.0,10,"[2480.0, 2480.0, 2480.0, 2480.0, 2481.0, 2481.0, 2481.0, 2481.0, 2482.0, 2482.0]","['Pass', 'Turnover', 'Zone_Entry_Exit']",zone_transition,18969_link_9217,18969
