game_id,season,season_id,game_url,home_team_game_id,away_team_game_id,date,game_time,home_team_name,away_team_name,home_team_id,away_team_id,head_to_head_id,game_type,playoff_round,last_period_type,period_length,ot_period_length,shootout_rounds,home_total_goals,away_total_goals,home_team_period1_goals,home_team_period2_goals,home_team_period3_goals,home_team_periodOT_goals,away_team_period1_goals,away_team_period2_goals,away_team_period3_goals,away_team_periodOT_goals,home_team_seeding,away_team_seeding,home_team_w,home_team_l,home_team_t,home_team_pts,away_team_w,away_team_l,away_team_t,away_team_pts,video_id,video_start_time,video_end_time,video_title,video_url
10072,20242025,,https://www.noradhockey.com/event/seed-6-vs-seed-9/,10072N10004,10072N10002,2025-03-23,,Nelson,Ace,,,N10002_N10004,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0.0,7,4,1.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,1,0,0,2,0,1,0,0,,,,,
10071,20242025,,https://www.noradhockey.com/event/seed-5-vs-seed-8/,10071N10005,10071N10007,2025-03-23,,OS Offices,Outlaws,,,N10005_N10007,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0.0,5,4,1.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,1,0,0,2,0,1,0,0,,,,,
10070,20242025,,https://www.noradhockey.com/event/seed-4-vs-seed-7/,10070N10009,10070N10006,2025-03-23,,Triple J,Orphans,,,N10006_N10009,Playoffs,RoundRobin,Regulation,00:18:00,00:00:00,0.0,5,1,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1,0,0,2,0,1,0,0,,,,,
18001,20242025,,https://www.noradhockey.com/event/18001/,18001N10004,18001N10007,2025-03-16,,Nelson,Outlaws,,,N10004_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,0,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18000,20242025,,https://www.noradhockey.com/event/18000/,18000N10001,18000N10006,2025-03-16,,Amos,Orphans,,,N10001_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,7,2,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
17999,20242025,,https://www.noradhockey.com/event/17999/,17999N10005,17999N10002,2025-03-16,,OS Offices,Ace,,,N10002_N10005,Regular,,Regulation,00:18:00,00:00:00,0.0,5,6,2.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
17998,20242025,,https://www.noradhockey.com/event/17998/,17998N10008,17998N10009,2025-03-16,,Platinum,Triple J,,,N10008_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,4,3,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18051,20242025,,https://www.noradhockey.com/event/18051/,18051N10003,18051N10006,2025-03-09,,HollowBrook,Orphans,,,N10003_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,4,3,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18050,20242025,,https://www.noradhockey.com/event/18050/,18050N10004,18050N10002,2025-03-09,,Nelson,Ace,,,N10002_N10004,Regular,,Regulation,00:18:00,00:00:00,0.0,4,4,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,,,0,0,1,1,0,0,1,1,,,,,
18049,20242025,,https://www.noradhockey.com/event/18049/,18049N10001,18049N10009,2025-03-09,,Amos,Triple J,,,N10001_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,4,6,1.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18048,20242025,,https://www.noradhockey.com/event/18048/,18048N10005,18048N10008,2025-03-09,,OS Offices,Platinum,,,N10005_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,3,6,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18046,20242025,,https://www.noradhockey.com/event/18046/,18046N10004,18046N10007,2025-03-02,,Nelson,Outlaws,,,N10004_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,6,3,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18045,20242025,,https://www.noradhockey.com/event/18045/,18045N10001,18045N10006,2025-03-02,,Amos,Orphans,,,N10001_N10006,Regular,,Regulation,00:18:00,00:00:00,0.0,7,5,2.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18044,20242025,,https://www.noradhockey.com/event/18044/,18044N10005,18044N10002,2025-03-02,,OS Offices,Ace,,,N10002_N10005,Regular,,Regulation,00:18:00,00:00:00,0.0,3,4,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,,,0,1,0,0,1,0,0,2,,,,,
18043,20242025,,https://www.noradhockey.com/event/18043/,18043N10008,18043N10009,2025-03-02,,Platinum,Triple J,,,N10008_N10009,Regular,,Regulation,00:18:00,00:00:00,0.0,3,1,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18041,20242025,,https://www.noradhockey.com/event/18041/,18041N10001,18041N10003,2025-02-23,,Amos,HollowBrook,,,N10001_N10003,Regular,,Regulation,00:18:00,00:00:00,0.0,6,5,1.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,,,1,0,0,2,0,1,0,0,,,,,
18040,20242025,,https://www.noradhockey.com/event/18040/,18040N10005,18040N10007,2025-02-23,,OS Offices,Outlaws,,,N10005_N10007,Regular,,Regulation,00:18:00,00:00:00,0.0,2,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,0,0,1,1,0,0,1,1,,,,,
18039,20242025,,https://www.noradhockey.com/event/18039/,18039N10008,18039N10006,2025-02-23,,Platinum,Orphans,,,N10006_N10008,Regular,,Regulation,00:18:00,00:00:00,0.0,5,5,1.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,,,0,0,1,1,0,0,1,1,,,,,
