giveaway_type_id,giveaway_type_code,giveaway_type_name
GA0001,Giveaway_AttemptedZoneClear_Dump,Giveaway AttemptedZoneClear Dump
GA0002,Giveaway_BattleLost,Giveaway BattleLost
GA0003,Giveaway_DumpInZone,Giveaway DumpInZone
GA0004,Giveaway_Misplayed,Giveaway Misplayed
GA0005,Giveaway_Other,Giveaway Other
GA0006,Giveaway_PassBlocked,Giveaway PassBlocked
GA0007,Giveaway_PassIntercepted,Giveaway PassIntercepted
GA0008,Giveaway_PassMissed,Giveaway PassMissed
GA0009,Giveaway_ShotBlocked,Giveaway ShotBlocked
GA0010,Giveaway_ShotMissed,Giveaway ShotMissed
GA0011,Giveaway_ZoneClear_Dump,Giveaway ZoneClear Dump
GA0012,Giveaway_ZoneEntry_ExitMisplay,Giveaway ZoneEntry ExitMisplay
GA0013,Takeaway_BattleWon,Takeaway BattleWon
GA0014,Takeaway_PassIntercepted,Takeaway PassIntercepted
GA0015,Takeaway_PokeCheck,Takeaway PokeCheck
