rink_zone_id,zone_code,zone_name,granularity,x_min,x_max,y_min,y_max,zone,danger,side,x_description,y_description
RBD13,D13,mid-high - boards,medium,-57.0,-41.00001,25.5,42.5,defensive,low,right,mid-high,boards
RBD14,D14,mid-high - interior,medium,-57.0,-41.00001,8.5,25.5,defensive,mid,right,mid-high,interior
RBD15,D15,mid-high - center,medium,-57.0,-41.00001,-8.5,8.5,defensive,mid,center,mid-high,center
RBD16,D16,mid-high - interior,medium,-57.0,-41.00001,-25.5,-8.5,defensive,mid,left,mid-high,interior
RBD17,D17,mid-high - boards,medium,-57.0,-41.00001,-42.5,-25.5,defensive,mid,left,mid-high,boards
RBD18,D18,high - boards,medium,-41.0,-25.0,25.5,42.5,defensive,low,right,high,boards
RBD19,D19,high - interior,medium,-41.0,-25.0,8.5,25.5,defensive,low,right,high,interior
RBD20,D20,high - center,medium,-41.0,-25.0,-8.5,8.5,defensive,low,center,high,center
RBD21,D21,high - interior,medium,-41.0,-25.0,-25.5,-8.5,defensive,low,left,high,interior
RBD22,D22,high - boards,medium,-41.0,-25.0,-42.5,-25.5,defensive,low,left,high,boards
RZOZ01,OZ01,behind net - boards to far hash,fine,89.0,100.0,-42.5,-7.5,offensive,low,right,behind net,boards to far hash
RZOZ02,OZ02,behind net - hash to center,fine,89.0,100.0,-7.5,0.0,offensive,low,center,behind net,hash to center
RZOZ03,OZ03,behind net - center to hash,fine,89.0,100.0,0.0,7.5,offensive,low,center,behind net,center to hash
RZOZ04,OZ04,behind net - hash to boards,fine,89.0,100.0,7.5,42.5,offensive,low,left,behind net,hash to boards
RZOZ05,OZ05,goal line to bottom circle - boards to hash,fine,84.0,89.0,-42.5,-37.5,offensive,low,right,goal line to bottom circle,boards to hash
RZOZ06,OZ06,goal line to bottom circle - hash to half way to dot,fine,84.0,89.0,-37.5,-30.0,offensive,low,right,goal line to bottom circle,hash to half way to dot
RZOZ07,OZ07,goal line to bottom circle - half way to dot to dot,fine,84.0,89.0,-30.0,-22.5,offensive,low,right,goal line to bottom circle,half way to dot to dot
RZOZ08,OZ08,goal line to bottom circle - dot to half way to dot,fine,84.0,89.0,-22.5,-15.0,offensive,low,right,goal line to bottom circle,dot to half way to dot
RZOZ09,OZ09,goal line to bottom circle - half way to dot to hash,fine,84.0,89.0,-15.0,-7.5,offensive,low,right,goal line to bottom circle,half way to dot to hash
RZOZ10,OZ10,goal line to bottom circle - hash to post,fine,84.0,89.0,-7.5,-5.5,offensive,high,center,goal line to bottom circle,hash to post
RZOZ11,OZ11,goal line to bottom circle - post to post,fine,84.0,89.0,-5.5,5.5,offensive,high,center,goal line to bottom circle,post to post
RZOZ12,OZ12,goal line to bottom circle - hash to post,fine,84.0,89.0,5.5,7.5,offensive,high,center,goal line to bottom circle,hash to post
RZOZ13,OZ13,goal line to bottom circle - hash to half way to dot,fine,84.0,89.0,7.5,15.0,offensive,low,left,goal line to bottom circle,hash to half way to dot
RZOZ14,OZ14,goal line to bottom circle - half way to dot to dot,fine,84.0,89.0,15.0,22.5,offensive,low,left,goal line to bottom circle,half way to dot to dot
RZOZ15,OZ15,goal line to bottom circle - dot to half way to dot,fine,84.0,89.0,22.5,30.0,offensive,low,left,goal line to bottom circle,dot to half way to dot
RZOZ16,OZ16,goal line to bottom circle - half way to dot to hash,fine,84.0,89.0,30.0,37.5,offensive,low,left,goal line to bottom circle,half way to dot to hash
RZOZ17,OZ17,goal line to bottom circle - hash to boards,fine,84.0,89.0,37.5,42.5,offensive,low,left,goal line to bottom circle,hash to boards
RZOZ18,OZ18,bottom of circle to half way to dot - boards to hash,fine,76.5,84.0,-42.5,-37.5,offensive,low,right,bottom of circle to half way to dot,boards to hash
RZOZ19,OZ19,bottom of circle to half way to dot - hash to half way to dot,fine,76.5,84.0,-37.5,-30.0,offensive,low,right,bottom of circle to half way to dot,hash to half way to dot
