game_id,player_id,total_shifts,dominant_position,dominant_position_pct,forward_shifts,defense_shifts,goalie_shifts
18969,P100001,49,Forward,100.0,49,0,0
18969,P100002,29,Forward,100.0,29,0,0
18969,P100016,93,Goalie,100.0,0,0,93
18969,P100022,35,Forward,100.0,35,0,0
18969,P100023,55,Defense,100.0,0,55,0
18969,P100024,26,Forward,100.0,26,0,0
18969,P100025,40,Defense,100.0,0,40,0
18969,P100027,30,Forward,100.0,30,0,0
18969,P100030,49,Defense,100.0,0,49,0
18969,P100039,36,Forward,100.0,36,0,0
18969,P100064,25,Forward,100.0,25,0,0
18969,P100070,42,Defense,100.0,0,42,0
18969,P100093,44,Defense,100.0,0,44,0
18969,P100105,30,Defense,100.0,0,30,0
18969,P100107,46,Defense,100.0,0,46,0
18969,P100108,26,Defense,100.0,0,26,0
18969,P100110,23,Forward,100.0,23,0,0
18969,P100117,38,Forward,100.0,38,0,0
18969,P100132,23,Forward,100.0,23,0,0
18969,P100161,43,Forward,100.0,43,0,0
18969,P100192,57,Forward,100.0,57,0,0
18969,P100198,48,Defense,100.0,0,48,0
18969,P100201,48,Forward,100.0,48,0,0
18969,P100202,95,Goalie,100.0,0,0,95
18969,P100210,41,Forward,100.0,41,0,0
18969,P100222,33,Forward,100.0,33,0,0
18969,P100224,32,Forward,100.0,32,0,0
18977,P100001,54,Forward,100.0,54,0,0
18977,P100002,24,Forward,100.0,24,0,0
18977,P100016,86,Goalie,100.0,0,0,86
18977,P100038,31,Defense,100.0,0,31,0
18977,P100039,32,Forward,100.0,32,0,0
18977,P100047,48,Forward,100.0,48,0,0
18977,P100049,28,Forward,100.0,28,0,0
18977,P100070,40,Defense,100.0,0,40,0
18977,P100084,58,Forward,100.0,58,0,0
18977,P100086,37,Defense,100.0,0,37,0
18977,P100088,53,Forward,100.0,53,0,0
18977,P100091,18,Forward,100.0,18,0,0
18977,P100096,85,Goalie,100.0,0,0,85
18977,P100097,24,Forward,100.0,24,0,0
18977,P100100,29,Forward,100.0,29,0,0
18977,P100105,27,Defense,100.0,0,27,0
18977,P100108,25,Defense,100.0,0,25,0
18977,P100123,51,Defense,100.0,0,51,0
18977,P100132,27,Forward,100.0,27,0,0
18977,P100159,39,Defense,100.0,0,39,0
18977,P100161,33,Forward,100.0,33,0,0
18977,P100201,32,Forward,100.0,32,0,0
18977,P100211,36,Defense,100.0,0,36,0
18977,P100224,27,Forward,100.0,27,0,0
18977,P100230,24,Forward,100.0,24,0,0
18981,P100001,36,Forward,100.0,36,0,0
18981,P100002,34,Forward,100.0,34,0,0
18981,P100016,101,Goalie,100.0,0,0,101
18981,P100039,35,Forward,100.0,35,0,0
18981,P100061,45,Defense,100.0,0,45,0
18981,P100066,44,Forward,100.0,44,0,0
18981,P100070,50,Defense,100.0,0,50,0
18981,P100071,38,Forward,100.0,38,0,0
18981,P100072,21,Forward,100.0,21,0,0
18981,P100074,52,Defense,100.0,0,52,0
18981,P100078,59,Forward,100.0,59,0,0
18981,P100079,59,Forward,100.0,59,0,0
18981,P100093,48,Defense,100.0,0,48,0
18981,P100105,31,Defense,100.0,0,31,0
18981,P100108,36,Defense,100.0,0,36,0
18981,P100111,44,Forward,100.0,44,0,0
18981,P100119,47,Defense,100.0,0,47,0
18981,P100132,30,Forward,100.0,30,0,0
18981,P100138,103,Goalie,100.0,0,0,103
18981,P100159,31,Forward,100.0,31,0,0
18981,P100161,33,Forward,100.0,33,0,0
18981,P100164,40,Forward,100.0,40,0,0
18981,P100197,62,Defense,100.0,0,62,0
18981,P100198,41,Defense,100.0,0,41,0
18981,P100201,33,Forward,100.0,33,0,0
18981,P100224,25,Forward,100.0,25,0,0
18981,P100230,38,Forward,100.0,38,0,0
18987,P100001,49,Forward,100.0,49,0,0
18987,P100002,58,Defense,98.3,1,57,0
18987,P100004,29,Forward,100.0,29,0,0
18987,P100009,103,Goalie,100.0,0,0,103
18987,P100016,104,Goalie,100.0,0,0,104
18987,P100031,39,Forward,100.0,39,0,0
18987,P100032,58,Defense,100.0,0,58,0
18987,P100033,50,Defense,100.0,0,50,0
18987,P100034,53,Defense,100.0,0,53,0
18987,P100039,27,Forward,100.0,27,0,0
18987,P100064,39,Forward,100.0,39,0,0
18987,P100080,32,Forward,100.0,32,0,0
18987,P100099,32,Forward,100.0,32,0,0
18987,P100105,43,Defense,100.0,0,43,0
18987,P100108,56,Defense,100.0,0,56,0
18987,P100128,44,Forward,100.0,44,0,0
18987,P100132,35,Forward,100.0,35,0,0
18987,P100170,47,Defense,100.0,0,47,0
18987,P100185,49,Forward,100.0,49,0,0
18987,P100198,52,Defense,100.0,0,52,0
18987,P100201,55,Forward,100.0,55,0,0
18987,P100214,31,Forward,100.0,31,0,0
18987,P100223,30,Forward,100.0,30,0,0
18987,P100224,48,Forward,100.0,48,0,0
18987,P100230,46,Forward,100.0,46,0,0
18987,P100232,22,Forward,100.0,22,0,0
