micro_stat_key,player_game_key,game_id,player_id,micro_stat,count
PG1896900001_blocked_shots_play,PG1896900001,18969,P100001,blocked_shots_play,2
PG1896900002_loose_puck_wins,PG1896900002,18969,P100002,loose_puck_wins,1
PG1896900003_dekes_successful,PG1896900003,18969,P100016,dekes_successful,1
PG1896900004_dekes_successful,PG1896900004,18969,P100022,dekes_successful,1
PG1896900004_blocked_shots_play,PG1896900004,18969,P100022,blocked_shots_play,2
PG1896900005_dekes_successful,PG1896900005,18969,P100023,dekes_successful,1
PG1896900005_blocked_shots_play,PG1896900005,18969,P100023,blocked_shots_play,1
PG1896900006_blocked_shots_play,PG1896900006,18969,P100024,blocked_shots_play,1
PG1896900007_dekes_successful,PG1896900007,18969,P100025,dekes_successful,3
PG1896900007_blocked_shots_play,PG1896900007,18969,P100025,blocked_shots_play,1
PG1896900008_dekes_successful,PG1896900008,18969,P100027,dekes_successful,1
PG1896900008_blocked_shots_play,PG1896900008,18969,P100027,blocked_shots_play,1
PG1896900008_loose_puck_losses,PG1896900008,18969,P100027,loose_puck_losses,1
PG1896900009_zone_exit_denials,PG1896900009,18969,P100030,zone_exit_denials,3
PG1896900009_loose_puck_wins,PG1896900009,18969,P100030,loose_puck_wins,1
PG1896900009_loose_puck_losses,PG1896900009,18969,P100030,loose_puck_losses,2
PG1896900010_dekes_successful,PG1896900010,18969,P100039,dekes_successful,1
PG1896900010_blocked_shots_play,PG1896900010,18969,P100039,blocked_shots_play,1
PG1896900011_dekes_successful,PG1896900011,18969,P100064,dekes_successful,1
PG1896900012_blocked_shots_play,PG1896900012,18969,P100070,blocked_shots_play,1
PG1896900012_loose_puck_wins,PG1896900012,18969,P100070,loose_puck_wins,1
PG1896900013_blocked_shots_play,PG1896900013,18969,P100093,blocked_shots_play,5
PG1896900014_dekes_successful,PG1896900014,18969,P100105,dekes_successful,2
PG1896900014_blocked_shots_play,PG1896900014,18969,P100105,blocked_shots_play,4
PG1896900014_zone_entry_denials,PG1896900014,18969,P100105,zone_entry_denials,5
PG1896900014_loose_puck_wins,PG1896900014,18969,P100105,loose_puck_wins,1
