player_season_key,player_id,season_id,player_name,games_played,goals,assists,points,shots,sog,shots_blocked,shots_missed,pass_attempts,pass_completed,fo_wins,fo_losses,fo_total,zone_entries,zone_exits,giveaways,takeaways,toi_seconds,playing_toi_seconds,stoppage_seconds,shift_count,logical_shifts,corsi_for,corsi_against,fenwick_for,fenwick_against,blocks,hits,puck_battles,puck_battle_wins,retrievals,plus_ev,minus_ev,plus_total,minus_total,plus_en_adj,minus_en_adj,gf_all_shift,ga_all_shift,cf_shift,ca_shift,gf_adj,ga_adj,cf_adj,ca_adj,player_rating,avg_opp_rating_precise,qoc_precise,qoc_rating,qot_rating,avg_shift_quality_score,games_over,games_under,games_expected,expected_pm,pm_vs_expected,toi_minutes,toi_per_game_seconds,toi_per_game_minutes,plus_minus_total,plus_minus_ev,plus_minus_en_adj,pm_all_shift,pm_adj,shooting_pct,pass_pct,fo_pct,cf_pct,ff_pct,cf_pct_adj,avg_rating_advantage,goals_per_game,assists_per_game,points_per_game,shots_per_game,pm_adj_per_game,goals_per_60,assists_per_60,points_per_60,shots_per_60,corsi_for_per_60,corsi_against_per_60,gf_adj_per_60,ga_adj_per_60,pm_adj_per_60,cf_adj_per_60,ca_adj_per_60,over_pct,under_pct
PSN20252026F_P100001,P100001,N20252026F,Sam Downs,4,1,0,1,40,17,9,13,65,41,49,28,77,52,42,30,15,6352.0,5758.0,594.0,188,42,112,107,83,83,3,0,1,0,35,4,-4,5,-4,4,-4,10.0,6.0,111.0,116.0,10.4,5.920634920634921,116.55159120046619,103.37246784446832,6.0,4.1596703712953715,4.1596703712953715,3.9425,0.0,66.22373621748622,2,2,0,3.6806592574092574,0.3193407425907422,105.86666666666666,1588.0,26.466666666666665,9,8,8,4.0,4.479365079365079,2.5,63.07692307692307,63.63636363636363,51.141552511415526,50.0,52.9962895858759,1.8403296287046285,0.25,0.0,0.25,10.0,1.1198412698412699,0.5667506297229219,0.0,0.5667506297229219,22.670025188916878,63.476070528967256,60.642317380352644,5.894206549118388,3.355523569629363,2.5386829794890247,66.05568770807278,58.58641124686491,50.0,50.0
PSN20252026F_P100002,P100002,N20252026F,Kevin White,4,1,1,2,13,9,3,1,54,28,0,0,0,12,23,34,3,4521.0,4047.0,474.0,146,38,59,74,42,55,3,0,1,1,27,3,-1,3,-1,3,-1,6.0,2.0,75.0,60.0,5.575,1.6,61.47351488095238,71.3213282147583,4.0,4.144008928571429,4.144008928571429,3.925,0.0,64.8092261904762,2,0,2,-0.2880178571428575,4.288017857142858,75.35,1130.25,18.8375,4,4,4,4.0,3.975,7.6923076923076925,51.85185185185185,0.0,44.3609022556391,43.29896907216495,46.29209496986709,-0.144008928571429,0.25,0.25,0.5,3.25,0.99375,0.79628400796284,0.79628400796284,1.59256801592568,10.351692103516921,46.98075646980757,58.92501658925016,4.439283344392834,1.2740544127405442,3.1652289316522895,48.95037681296805,56.79203308408093,50.0,0.0
PSN20252026F_P100004,P100004,N20252026F,Cesar Shinall,1,0,0,0,4,4,0,0,7,5,5,7,12,4,4,2,3,1025.0,853.0,172.0,30,10,19,18,19,12,3,0,0,0,7,0,0,0,0,0,0,0.0,0.0,28.0,10.0,0.0,0.0,17.347,19.715224534501644,4.0,3.652,3.652,3.85,0.0,72.5142857142857,0,0,1,0.1740000000000001,-0.1740000000000001,17.083333333333332,1025.0,17.083333333333332,0,0,0,0.0,0.0,0.0,71.42857142857143,41.66666666666667,51.35135135135135,61.29032258064516,46.805069630538455,0.34799999999999986,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.048780487804878,66.73170731707317,63.21951219512195,0.0,0.0,0.0,60.92604878048781,69.24371543824968,0.0,0.0
PSN20252026F_P100009,P100009,N20252026F,Graham Peters,1,0,0,0,0,0,0,0,2,1,0,1,1,0,2,1,0,3191.0,2651.0,540.0,103,3,57,44,41,30,0,0,0,0,0,0,-1,0,-1,0,-1,0.0,2.0,63.0,40.0,0.0,2.16374269005848,53.36000064524455,47.001498682019104,5.0,3.744561448789091,3.744561448789091,3.85,0.0,55.09415145368492,0,1,0,0.6277192756054546,-2.627719275605455,53.18333333333333,3191.0,53.18333333333333,1,1,1,-2.0,-2.16374269005848,0.0,50.0,0.0,56.43564356435643,57.74647887323944,53.16779940806351,1.2554385512109092,0.0,0.0,0.0,0.0,-2.16374269005848,0.0,0.0,0.0,0.0,64.30586023190223,49.63961140708242,0.0,2.4410760527140485,-2.4410760527140485,60.19931128890015,53.02582113922556,0.0,100.0
PSN20252026F_P100016,P100016,N20252026F,Wyatt Crandall,4,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,1,12789.0,11341.0,1448.0,384,13,176,264,132,202,0,0,0,0,2,8,-7,9,-8,8,-7,16.0,13.0,237.0,211.0,15.475000000000001,12.187301587301587,180.29305154450805,258.57126089463725,5.0,4.092573656466714,4.092573656466714,3.9425,0.0,64.02536463597032,2,1,1,1.8148526870665718,1.1851473129334287,213.15,3197.25,53.2875,17,15,15,3.0,3.287698412698415,0.0,80.0,0.0,40.0,39.52095808383233,41.08172991840347,0.9074263435332863,0.0,0.0,0.0,0.0,0.8219246031746037,0.0,0.0,0.0,0.0,49.542575650950035,74.31386347642506,4.3560872624912035,3.430626766305865,0.9254604961853384,50.75103491752513,72.78571735246649,50.0,25.0
PSN20252026F_P100022,P100022,N20252026F,Chris Dube,1,1,0,1,8,6,1,1,13,8,0,0,0,12,3,9,1,995.0,877.0,118.0,35,10,30,16,24,14,2,0,0,0,12,2,-1,2,-1,2,-1,3.0,1.0,19.0,26.0,2.95,1.0,30.371071428571423,15.804513223344586,4.0,4.04947619047619,4.04947619047619,3.93,0.0,64.83333333333334,1,0,0,-0.0247380952380948,2.024738095238095,16.583333333333332,995.0,16.583333333333332,3,3,3,2.0,1.9500000000000002,12.5,61.53846153846154,0.0,65.21739130434783,63.1578947368421,65.7730089559596,-0.049476190476189785,1.0,0.0,1.0,8.0,1.9500000000000002,3.618090452261306,0.0,3.618090452261306,28.94472361809045,108.54271356783919,57.8894472361809,10.673366834170855,3.618090452261306,7.055276381909548,109.88528356066041,57.182158396020604,100.0,0.0
PSN20252026F_P100023,P100023,N20252026F,Alex Considine,1,1,1,2,11,6,5,0,24,14,0,0,0,6,7,7,2,1754.0,1589.0,165.0,55,10,47,25,36,19,1,0,0,0,16,4,-1,4,-2,4,-1,5.0,2.0,32.0,35.0,4.9,2.0,46.68044607843138,25.17113906807559,4.0,3.972803921568628,3.972803921568628,3.93,0.0,68.79285714285714,1,0,0,0.0135980392156862,2.9864019607843137,29.233333333333334,1754.0,29.233333333333334,6,5,5,3.0,2.9000000000000004,9.090909090909092,58.333333333333336,0.0,65.27777777777779,65.45454545454545,64.96787229293399,0.02719607843137206,1.0,1.0,2.0,11.0,2.9000000000000004,2.0524515393386547,2.0524515393386547,4.104903078677309,22.5769669327252,96.46522234891677,51.31128848346636,10.057012542759407,4.104903078677309,5.952109464082099,95.80935341069154,51.66254312717909,100.0,0.0
PSN20252026F_P100024,P100024,N20252026F,John Thien,1,0,0,0,5,5,0,0,10,7,0,0,0,4,0,1,1,1084.0,962.0,122.0,26,11,27,13,19,10,1,0,0,0,8,1,-1,1,-2,1,-1,1.0,2.0,18.0,19.0,1.0,2.052631578947368,27.016363636363632,12.99212598425197,3.0,4.002424242424242,4.002424242424242,3.93,0.0,60.90909090909091,0,0,1,-0.501212121212121,-0.498787878787879,18.066666666666666,1084.0,18.066666666666666,3,2,2,-1.0,-1.0526315789473681,0.0,70.0,0.0,67.5,65.51724137931035,67.52657721535836,-1.002424242424242,0.0,0.0,0.0,5.0,-1.0526315789473681,0.0,0.0,0.0,16.605166051660518,89.66789667896678,43.17343173431735,3.321033210332103,6.816857642260632,-3.4958244319285288,89.72224085877221,43.14728186651946,0.0,0.0
PSN20252026F_P100025,P100025,N20252026F,Andrew Marshall,1,0,0,0,3,2,0,0,18,10,0,0,0,2,6,7,0,1566.0,1411.0,155.0,40,11,31,21,24,18,1,0,0,0,14,0,-1,0,-1,0,-1,0.0,1.0,19.0,33.0,0.0,1.0526315789473684,30.971818181818183,21.019108280254773,4.0,3.996363636363637,3.996363636363637,3.93,0.0,57.84848484848485,0,1,0,0.0018181818181817,-1.0018181818181815,26.1,1566.0,26.1,1,1,1,-1.0,-1.0526315789473684,0.0,55.55555555555556,0.0,59.61538461538461,57.14285714285714,59.57158352315942,0.0036363636363629936,0.0,0.0,0.0,3.0,-1.0526315789473684,0.0,0.0,0.0,6.8965517241379315,71.26436781609195,48.275862068965516,0.0,2.4198427102238353,-2.4198427102238353,71.19958202716823,48.319789150010976,0.0,100.0
PSN20252026F_P100027,P100027,N20252026F,Karen Zietlow,1,0,0,0,4,3,1,0,3,2,0,0,0,1,2,3,0,1225.0,1103.0,122.0,30,12,29,16,23,13,1,0,2,0,3,1,-1,1,-1,1,-1,1.0,1.0,21.0,22.0,1.0,1.0526315789473684,28.96979166666667,16.016684045881124,2.0,3.9958333333333336,3.9958333333333336,3.93,0.0,63.208333333333336,1,0,0,-0.9979166666666668,0.9979166666666668,20.416666666666668,1225.0,20.416666666666668,2,2,2,0.0,-0.05263157894736836,0.0,66.66666666666666,0.0,64.44444444444444,63.888888888888886,64.39666857163098,-1.9958333333333336,0.0,0.0,0.0,4.0,-0.05263157894736836,0.0,0.0,0.0,11.755102040816325,85.22448979591836,47.0204081632653,2.9387755102040813,3.0934479054779804,-0.15467239527389887,85.13571428571429,47.069438828711874,100.0,0.0
