chain_id,game_id,season_id,entry_event_key,shot_event_key,entry_event_index,shot_event_index,events_to_shot,entry_type,shot_result,is_goal,team_id,team_name,home_team_id,away_team_id,home_team_name,away_team_name,event_types_chain,event_details_chain,entry_player_id,entry_player_name,shot_player_id,shot_player_name,players_touched_count,sequence_key,play_key,zone_id,zone_entry_type_id,shot_result_detail_id,time_bucket_id,strength_id,shot_type_id
CH1896901748,18969,N20252026F,EV1896901748,EV1896901755,1748,1755,7,ZoneEntry-Rush,Shot_Blocked,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Pass > Possession > Shot,Zone_Entry > PuckRecovery > Pass_Completed > Shot_Blocked,P100117,Keegan Mantaro,P100023,Alex Considine,2,SQ1896900027,PL1896902708,ZN01,ZE0010,ED0033,TB02,STR0001,ST0014
CH1896901870,18969,N20252026F,EV1896901870,EV1896901873,1870,1873,3,ZoneEntry-Rush,Shot_Blocked,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Pass > Shot,Zone_Entry > Pass_Completed > Shot_Blocked,P100117,Keegan Mantaro,P100030,Jesse Chambless,2,SQ1896900028,PL1896902802,ZN01,ZE0010,ED0033,TB03,STR0001,ST0014
CH1896901940,18969,N20252026F,EV1896901940,EV1896901941,1940,1941,1,ZoneEntry-Rush,Shot_OnNetSaved,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_OnNetSaved,P100023,Alex Considine,P100023,Alex Considine,1,SQ1896900029,PL1896902910,ZN01,ZE0010,ED0040,TB04,STR0001,ST0014
CH1896902084,18969,N20252026F,EV1896902084,EV1896902085,2084,2085,1,ZoneEntry-Rush,Shot_Blocked,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Blocked,P100023,Alex Considine,P100023,Alex Considine,1,SQ1896900038,PL1896903808,ZN01,ZE0010,ED0033,TB01,STR0001,ST0014
CH1896902109,18969,N20252026F,EV1896902109,EV1896902110,2109,2110,1,ZoneEntry-Rush,Shot_OnNetSaved,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_OnNetSaved,P100198,Maxwell Donaty,P100198,Maxwell Donaty,1,SQ1896900041,PL1896904102,ZN01,ZE0010,ED0040,TB01,STR0001,ST0014
CH1896902149,18969,N20252026F,EV1896902149,EV1896902157,2149,2157,8,ZoneEntry-Rush,Shot_Missed,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Zone_Entry_Exit > Possession > Zone_Entry_Exit > Possession > Shot,Zone_Entry > PuckRetrieval > Zone_Exit > Zone_Entry > Shot_Missed,P100022,Chris Dube,P100161,Galen Wood,2,SQ1896900041,PL1896904111,ZN01,ZE0010,ED0038,TB02,STR0001,ST0014
CH1896902155,18969,N20252026F,EV1896902155,EV1896902157,2155,2157,2,ZoneEntry-Rush,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Shot,Zone_Entry > Shot_Missed,P100161,Galen Wood,P100161,Galen Wood,1,SQ1896900041,PL1896904113,ZN01,ZE0010,ED0038,TB02,STR0001,ST0014
CH1896902202,18969,N20252026F,EV1896902202,EV1896902203,2202,2203,1,ZoneEntry-Rush,Shot_Missed,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Missed,P100201,Garrett Ashcroft,P100201,Garrett Ashcroft,1,SQ1896900042,PL1896904204,ZN01,ZE0010,ED0038,TB02,STR0001,ST0014
CH1896902334,18969,N20252026F,EV1896902334,EV1896902343,2334,2343,9,ZoneEntry-Rush,Shot_OnNetSaved,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Possession > Possession > Zone_Entry_Exit > Shot,Zone_Entry > Pass_Completed > PuckRetrieval > Zone_Entry > Shot_OnNetSaved,P100161,Galen Wood,P100022,Chris Dube,3,SQ1896900048,PL1896904802,ZN01,ZE0010,ED0040,TB03,STR0001,ST0014
CH1896902342,18969,N20252026F,EV1896902342,EV1896902343,2342,2343,1,ZoneEntry-Rush,Shot_OnNetSaved,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_OnNetSaved,P100022,Chris Dube,P100022,Chris Dube,1,SQ1896900048,PL1896904803,ZN01,ZE0010,ED0040,TB03,STR0001,ST0014
CH1896902393,18969,N20252026F,EV1896902393,EV1896902400,2393,2400,7,ZoneEntry-Rush,Shot_OnNetSaved,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Possession > Turnover > Possession > Turnover > Zone_Entry_Exit > Possession > Shot,Zone_Entry > Turnover_Takeaway > PuckRetrieval > Turnover_Giveaway > Zone_Keepin > Shot_OnNetSaved,P100023,Alex Considine,P100222,Joshua Blumberg,4,SQ1896900048,PL1896904807,ZN01,ZE0010,ED0040,TB03,STR0001,ST0014
CH1896902426,18969,N20252026F,EV1896902426,EV1896902427,2426,2427,1,ZoneEntry-Rush,Shot_Missed,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Missed,P100192,Chris Premo,P100192,Chris Premo,1,SQ1896900050,PL1896905001,ZN01,ZE0010,ED0038,TB03,STR0001,ST0014
CH1896902484,18969,N20252026F,EV1896902484,EV1896902486,2484,2486,2,ZoneEntry-Rush,Shot_Missed,False,N10008,Platinum,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Shot,Zone_Entry > Pass_Completed > Shot_Missed,P100117,Keegan Mantaro,P100022,Chris Dube,2,SQ1896900054,PL1896905403,ZN01,ZE0010,ED0038,TB04,STR0001,ST0014
CH1896902505,18969,N20252026F,EV1896902505,EV1896902506,2505,2506,1,ZoneEntry-Rush,Shot_Blocked,False,N10010,Velodrome,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_Blocked,P100039,Nicole Downs,P100039,Nicole Downs,1,SQ1896900057,PL1896905701,ZN01,ZE0010,ED0033,TB04,STR0001,ST0014
CH1896909001,18969,N20252026F,EV1896909001,EV1896909004,9001,9004,3,ZoneEntry-DumpIn,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Pass > Shot,Zone_Entry > Pass_Completed > Pass_Missed > Shot_OnNetSaved,,,,,0,SQ1896900062,PL1896906202,ZN03,ZE0003,ED0040,,,
CH1896909012,18969,N20252026F,EV1896909012,EV1896909022,9012,9022,10,ZoneEntry-DumpIn,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Possession > Pass > Pass > Turnover > Zone_Entry_Exit > Stoppage > Zone_Entry_Exit > Zone_Entry_Exit > Shot,Zone_Entry > Pass_Deflected > PuckRetrieval > Pass_Missed > Pass_Completed > Turnover_Takeaway > Zone_Entryfailed > Stoppage_Play > Zone_ExitFailed > Zone_Keepin > Shot_OnNetSaved,,,,,0,SQ1896900064,PL1896906408,ZN01,ZE0003,ED0040,,,
CH1896909018,18969,N20252026F,EV1896909018,EV1896909022,9018,9022,4,ZoneEntry-Rush,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Stoppage > Zone_Entry_Exit > Zone_Entry_Exit > Shot,Zone_Entryfailed > Stoppage_Play > Zone_ExitFailed > Zone_Keepin > Shot_OnNetSaved,,,,,0,SQ1896900064,PL1896906415,ZN03,ZE0010,ED0040,,,
CH1896909035,18969,N20252026F,EV1896909035,EV1896909036,9035,9036,1,ZoneEntry-DumpIn,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Shot,Zone_Entry > Shot_OnNetSaved,,,,,0,SQ1896900071,PL1896907103,ZN01,ZE0003,ED0040,,,
CH1896909040,18969,N20252026F,EV1896909040,EV1896909050,9040,9050,10,ZoneEntry-DumpIn,Shot_OnNetSaved,False,,,N10008,N10010,Platinum,Velodrome,Zone_Entry_Exit > Pass > Zone_Entry_Exit > Pass > Pass > Pass > Zone_Entry_Exit > Pass > Pass > Pass > Shot,Zone_Entry > Pass_Missed > Zone_Entryfailed > Pass_Missed > Pass_Missed > Pass_Deflected > Zone_Keepin > Pass_Intercepted > Pass_Missed > Pass_Missed > Shot_OnNetSaved,,,,,0,SQ1896900075,PL1896907504,ZN03,ZE0003,ED0040,,,
