timestamp,game_id,season_id,player_id,player_name,category,stat,value,expected,severity,note,resolved
2026-01-05T18:30:10.378477,18969,,P100202,Francis Forte,STATISTICAL_OUTLIER,,,,INFO,Z-score=3.67 exceeds 3,False
2026-01-05T18:30:10.365859,18969,,P100161,Galen Wood,STATISTICAL_OUTLIER,,,,INFO,Z-score=3.50 exceeds 3,False
2026-01-05T18:30:10.365783,18969,,P100117,Keegan Mantaro,STATISTICAL_OUTLIER,,,,INFO,Z-score=3.50 exceeds 3,False
2026-01-05T18:30:10.365708,18969,,P100108,Robert Mayfield,STATISTICAL_OUTLIER,,,,INFO,Z-score=3.50 exceeds 3,False
2026-01-05T18:30:10.365664,18969,,P100107,Matt Quinn,STATISTICAL_OUTLIER,,,,INFO,Z-score=3.50 exceeds 3,False
2026-01-05T18:30:10.365525,18969,,P100064,James Rynearson,STATISTICAL_OUTLIER,,,,INFO,Z-score=3.50 exceeds 3,False
2026-01-05T18:30:10.365294,18969,,P100023,Alex Considine,STATISTICAL_OUTLIER,,,,INFO,Z-score=3.50 exceeds 3,False
2026-01-05T18:30:10.361608,18969,,P100132,Nick Ciampoli,STATISTICAL_OUTLIER,,,,INFO,Z-score=4.43 exceeds 3,False
2026-01-05T18:30:10.374903,18977,,P100088,Hayden Smith,STATISTICAL_OUTLIER,,,,INFO,Z-score=5.10 exceeds 3,False
2026-01-05T18:30:10.356926,18977,,P100198,Maxwell Donaty,THRESHOLD_EXCEEDED,,,,WARNING,cf_pct=0.0 exceeds <15,False
2026-01-05T18:30:10.356279,18977,,P100096,Jared Wolf,THRESHOLD_EXCEEDED,,,,WARNING,toi_seconds=3185.0 exceeds >2400,False
2026-01-05T18:30:10.356123,18977,,P100088,Hayden Smith,THRESHOLD_EXCEEDED,,,,WARNING,shots=23 exceeds >20,False
2026-01-05T18:30:10.355956,18977,,P100081,Lee Smith,THRESHOLD_EXCEEDED,,,,WARNING,cf_pct=0.0 exceeds <15,False
2026-01-05T18:30:10.368464,18987,,P100201,Garrett Ashcroft,STATISTICAL_OUTLIER,,,,INFO,Z-score=3.50 exceeds 3,False
2026-01-05T18:30:10.367832,18987,,P100002,Kevin White,STATISTICAL_OUTLIER,,,,INFO,Z-score=3.50 exceeds 3,False
