scoring_chance_key,game_id,event_id,period,is_goal,danger_level,is_rebound,is_rush,is_odd_man,event_detail,event_detail_2,time_bucket_id,strength_id,shot_type_id,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
SC18969_EV1896901336,18969,EV1896901336,1,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,2.0,0.0,1332.0,26.0,337.0,-1.0,26.0,70.0,790.0,,,,,,1126.0,,,,,,790.0,790.0,790.0,1126.0,1126.0,1126.0
SC18969_EV1896901344,18969,EV1896901344,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Backhand,,,,0.0,2.0,1320.0,14.0,349.0,-1.0,14.0,82.0,1112.0,,,,,,2012.0,511.0,,,,,1112.0,1112.0,1112.0,1261.5,511.0,2012.0
SC18969_EV1896901354,18969,EV1896901354,1,0,medium,0,0,0,Shot_Goal,,,,,0.0,0.0,145.0,1306.0,-1.0,363.0,59.0,96.0,494.0,,,,,,2094.0,,,,,,494.0,494.0,494.0,2094.0,2094.0,2094.0
SC18969_EV1896901355,18969,EV1896901355,1,1,medium,0,0,0,Goal_Scored,Goal_Wrist,,,,28.0,0.0,145.0,1306.0,-1.0,363.0,59.0,96.0,494.0,,,,,,2094.0,,,,,,494.0,494.0,494.0,2094.0,2094.0,2094.0
SC18969_EV1896901366,18969,EV1896901366,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,0.0,0.0,1268.0,107.0,401.0,38.0,21.0,38.0,1288.0,,,,,,2216.0,,,,,,1288.0,1288.0,1288.0,2216.0,2216.0,2216.0
SC18969_EV1896901370,18969,EV1896901370,1,0,medium,0,0,0,Shot_Deflected,Shot_Wrist,,,,0.0,4.0,1264.0,103.0,405.0,42.0,17.0,42.0,1116.0,,,,,,1278.0,,,,,,1116.0,1116.0,1116.0,1278.0,1278.0,1278.0
SC18969_EV1896901373,18969,EV1896901373,1,0,low,0,0,0,Shot_Blocked,Shot_Wrist,,,,4.0,0.0,1261.0,100.0,408.0,45.0,14.0,45.0,1390.0,,,,,,804.0,909.0,,,,,1390.0,1390.0,1390.0,856.5,804.0,909.0
SC18969_EV1896901375,18969,EV1896901375,1,0,low,0,0,0,Shot_Missed,Shot_Snap,,,,3.0,0.0,1257.0,96.0,412.0,49.0,10.0,49.0,1217.0,,,,,,,,,,,,1217.0,1217.0,1217.0,,,
SC18969_EV1896901383,18969,EV1896901383,1,0,medium,0,0,0,Shot_OnNetSaved,Shot_Wrist,,,,1.0,0.0,1224.0,63.0,445.0,82.0,1.0,23.0,720.0,,,,,,2494.0,909.0,,,,,720.0,720.0,720.0,1701.5,909.0,2494.0
SC18969_EV1896901388,18969,EV1896901388,1,0,low,0,0,0,Shot_Missed,Shot_Wrist,,,,7.0,0.0,1211.0,50.0,458.0,95.0,50.0,12.0,1116.0,,,,,,990.0,,,,,,1116.0,1116.0,1116.0,990.0,990.0,990.0
