play_key,play_id,game_id,season_id,period,period_id,sequence_key,first_event_key,last_event_key,event_count,start_min,start_sec,duration_seconds,video_time_start,video_time_end,time_bucket_id,strength_id,home_team,home_team_id,away_team,away_team_id,start_zone,end_zone,start_zone_id,end_zone_id,event_types,has_goal,goal_count,has_shot,shot_count,zone_entry_count,zone_exit_count,pass_count,pass_success_count,turnover_count,giveaway_count,takeaway_count,unique_player_count,player_ids
PL1896906301,PL1896906301,18969,N20252026F,1,P01,SQ1896900063,EV1896901039,EV1896901041,3,16.0,40.0,21.0,80.0,106.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Pass,Stoppage,DeadIce",False,0,False,0,0,0,1,0,0,0,0,2,"P100001,P100039"
PL1896900201,PL1896900201,18969,N20252026F,1,P01,SQ1896900002,EV1896901042,EV1896901058,12,16.0,14.0,19.0,106.0,137.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Faceoff,Possession,Possession,Pass,Possession,Pass,Possession,Possession,Pass,Possession,Pass,Zone_Entry_Exit",False,0,False,0,1,0,4,3,0,0,0,5,"P100022,P100023,P100107,P100110,P100117"
PL1896906401,PL1896906401,18969,N20252026F,1,P01,SQ1896900064,EV1896901043,EV1896901053,5,16.0,12.0,0.0,108.0,125.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Shot,Save,Rebound,Pass,Zone_Entry_Exit",False,0,True,1,0,1,1,0,0,0,0,7,"P100016,P100022,P100023,P100093,P100107,P100201,P100224"
PL1896900202,PL1896900202,18969,N20252026F,1,P01,SQ1896900002,EV1896901059,EV1896901059,1,15.0,43.0,0.0,137.0,137.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,Turnover,False,0,False,0,0,0,0,0,1,1,0,1,P100022
PL1896900203,PL1896900203,18969,N20252026F,1,P01,SQ1896900002,EV1896901060,EV1896901080,12,15.0,43.0,14.0,137.0,168.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Possession,Pass,Possession,Possession,Possession,Possession,Pass,Possession,Possession,Pass,Possession,Turnover",False,0,False,0,0,0,3,2,1,1,0,7,"P100002,P100022,P100023,P100093,P100107,P100198,P100201"
PL1896906402,PL1896906402,18969,N20252026F,1,P01,SQ1896900064,EV1896901063,EV1896901064,2,15.0,39.0,0.0,141.0,141.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Pass,Zone_Entry_Exit",False,0,False,0,0,1,1,1,0,0,0,2,"P100002,P100198"
PL1896906404,PL1896906404,18969,N20252026F,1,P01,SQ1896900064,EV1896901066,EV1896901067,2,15.0,37.0,0.0,143.0,143.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Zone_Entry_Exit,Turnover",False,0,False,0,1,0,0,0,1,1,0,1,P100002
PL1896906406,PL1896906406,18969,N20252026F,1,P01,SQ1896900064,EV1896901069,EV1896901071,3,15.0,32.0,0.0,148.0,148.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Pass,Zone_Entry_Exit,Turnover",False,0,False,0,0,1,1,0,1,1,0,2,"P100023,P100110"
PL1896906408,PL1896906408,18969,N20252026F,1,P01,SQ1896900064,EV1896901075,EV1896901076,2,15.0,23.0,0.0,157.0,157.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Zone_Entry_Exit,Turnover",False,0,False,0,1,0,0,0,1,1,0,1,P100198
PL1896900204,PL1896900204,18969,N20252026F,1,P01,SQ1896900002,EV1896901081,EV1896901086,4,15.0,8.0,7.0,172.0,181.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Possession,Possession,Possession,Turnover",False,0,False,0,0,0,0,0,1,1,0,2,"P100022,P100201"
PL1896906409,PL1896906409,18969,N20252026F,1,P01,SQ1896900064,EV1896901083,EV1896901084,2,15.0,4.0,0.0,176.0,176.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Pass,Turnover",False,0,False,0,0,0,1,0,1,1,0,2,"P100002,P100201"
PL1896906410,PL1896906410,18969,N20252026F,1,P01,SQ1896900064,EV1896901087,EV1896901090,4,14.0,57.0,6.0,183.0,186.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Possession,Zone_Entry_Exit,Pass,Turnover",False,0,False,0,0,0,1,0,1,1,0,2,"P100002,P100105"
PL1896900205,PL1896900205,18969,N20252026F,1,P01,SQ1896900002,EV1896901091,EV1896901096,4,14.0,49.0,9.0,191.0,200.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,d,o,ZN02,ZN01,"Possession,Possession,Possession,Zone_Entry_Exit",False,0,False,0,1,0,0,0,0,0,0,2,"P100117,P100210"
PL1896906411,PL1896906411,18969,N20252026F,1,P01,SQ1896900064,EV1896901093,EV1896901094,2,14.0,45.0,0.0,195.0,195.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Pass,Zone_Entry_Exit",False,0,False,0,0,1,1,1,0,0,0,2,"P100117,P100210"
PL1896906413,PL1896906413,18969,N20252026F,1,P01,SQ1896900064,EV1896901097,EV1896901098,2,14.0,40.0,0.0,200.0,200.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Turnover,Zone_Entry_Exit",False,0,False,0,0,1,0,0,1,0,1,1,P100105
PL1896900206,PL1896900206,18969,N20252026F,1,P01,SQ1896900002,EV1896901099,EV1896901100,2,14.0,36.0,2.0,204.0,206.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Possession,Turnover",False,0,False,0,0,0,0,0,1,0,1,2,"P100023,P100224"
PL1896900207,PL1896900207,18969,N20252026F,1,P01,SQ1896900002,EV1896901101,EV1896901101,1,14.0,34.0,0.0,206.0,206.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,Possession,False,0,False,0,0,0,0,0,0,0,0,1,P100210
PL1896906415,PL1896906415,18969,N20252026F,1,P01,SQ1896900064,EV1896901102,EV1896901103,2,14.0,33.0,4.0,207.0,209.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Zone_Entry_Exit,Turnover",False,0,False,0,1,0,0,0,1,0,1,2,"P100105,P100210"
PL1896906501,PL1896906501,18969,N20252026F,1,P01,SQ1896900065,EV1896901104,EV1896901105,2,14.0,31.0,23.0,209.0,232.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Stoppage,DeadIce",False,0,False,0,0,0,0,0,0,0,0,1,P100105
PL1896900301,PL1896900301,18969,N20252026F,1,P01,SQ1896900003,EV1896901106,EV1896901117,9,14.0,8.0,0.0,232.0,245.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Faceoff,Possession,Play,Possession,Play,Possession,Possession,Pass,Turnover",False,0,False,0,0,0,1,1,1,0,1,6,"P100001,P100064,P100105,P100132,P100210,P100222"
PL1896906602,PL1896906602,18969,N20252026F,1,P01,SQ1896900066,EV1896901112,EV1896901114,3,13.0,58.0,0.0,242.0,242.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,d,o,ZN02,ZN01,"Zone_Entry_Exit,Zone_Entry_Exit,Turnover",False,0,False,0,0,1,0,0,1,0,1,2,"P100030,P100105"
PL1896900302,PL1896900302,18969,N20252026F,1,P01,SQ1896900003,EV1896901118,EV1896901119,2,13.0,51.0,0.0,249.0,249.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Possession,Turnover",False,0,False,0,0,0,0,0,1,1,0,1,P100064
PL1896906603,PL1896906603,18969,N20252026F,1,P01,SQ1896900066,EV1896901120,EV1896901136,10,13.0,50.0,7.0,250.0,272.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Zone_Entry_Exit,Possession,Shot,Save,Rebound,Zone_Entry_Exit,Possession,Shot,Save,Rebound",False,0,True,2,0,0,0,0,0,0,0,4,"P100016,P100030,P100064,P100222"
PL1896900303,PL1896900303,18969,N20252026F,1,P01,SQ1896900003,EV1896901122,EV1896901122,1,13.0,47.0,0.0,253.0,253.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,Turnover,False,0,False,0,0,0,0,0,1,1,0,1,P100030
PL1896900304,PL1896900304,18969,N20252026F,1,P01,SQ1896900003,EV1896901123,EV1896901125,3,13.0,46.0,0.0,254.0,261.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Possession,Pass,Turnover",False,0,False,0,0,0,1,1,1,1,0,2,"P100070,P100105"
PL1896900305,PL1896900305,18969,N20252026F,1,P01,SQ1896900003,EV1896901126,EV1896901140,7,13.0,39.0,13.0,261.0,284.0,TB02,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Possession,Pass,Turnover,Possession,Pass,Possession,Turnover",False,0,False,0,0,0,2,1,2,0,1,6,"P100025,P100070,P100105,P100192,P100210,P100222"
