shift_quality_key,game_id,player_id,shift_index,shift_duration,shift_quality,quality_score,period,strength,situation
SH1896900025,18969,P100016,25,79.0,long,70,1.0,,
SH1896900026,18969,P100016,26,5.0,short,70,1.0,,
SH1896900027,18969,P100016,27,65.0,long,70,1.0,,
SH1896900028,18969,P100016,28,78.0,long,70,1.0,,
SH1896900029,18969,P100016,29,59.0,good,90,1.0,,
SH1896900031,18969,P100016,31,49.0,good,90,2.0,,
SH1896900032,18969,P100016,32,19.0,short,70,2.0,,
SH1896900033,18969,P100016,33,17.0,short,70,2.0,,
SH1896900034,18969,P100016,34,67.0,long,70,2.0,,
SH1896900035,18969,P100016,35,19.0,short,70,2.0,,
SH1896900036,18969,P100016,36,33.0,optimal,100,2.0,,
SH1896900037,18969,P100016,37,95.0,exhausted,40,2.0,,
SH1896900038,18969,P100016,38,11.0,short,70,2.0,,
SH1896900039,18969,P100016,39,99.0,exhausted,40,2.0,,
SH1896900040,18969,P100016,40,20.0,short,70,2.0,,
SH1896900041,18969,P100016,41,4.0,short,70,2.0,,
SH1896900042,18969,P100016,42,29.0,short,70,2.0,,
SH1896900043,18969,P100016,43,38.0,optimal,100,2.0,,
SH1896900044,18969,P100016,44,27.0,short,70,2.0,,
SH1896900045,18969,P100016,45,12.0,short,70,2.0,,
SH1896900046,18969,P100016,46,6.0,short,70,2.0,,
SH1896900047,18969,P100016,47,11.0,short,70,2.0,,
SH1896900048,18969,P100016,48,7.0,short,70,2.0,,
SH1896900049,18969,P100016,49,3.0,short,70,2.0,,
SH1896900050,18969,P100016,50,18.0,short,70,2.0,,
SH1896900051,18969,P100016,51,39.0,optimal,100,2.0,,
SH1896900052,18969,P100016,52,8.0,short,70,2.0,,
SH1896900053,18969,P100016,53,124.0,exhausted,40,2.0,,
SH1896900054,18969,P100016,54,16.0,short,70,2.0,,
SH1896900055,18969,P100016,55,14.0,short,70,2.0,,
SH1896900056,18969,P100016,56,13.0,short,70,2.0,,
SH1896900057,18969,P100016,57,78.0,long,70,2.0,,
SH1896900058,18969,P100016,58,11.0,short,70,2.0,,
SH1896900059,18969,P100016,59,32.0,optimal,100,2.0,,
SH1896900060,18969,P100016,60,52.0,good,90,2.0,,
SH1896900061,18969,P100016,61,11.0,short,70,2.0,,
SH1896900062,18969,P100016,62,4.0,short,70,2.0,,
SH1896900063,18969,P100016,63,94.0,exhausted,40,2.0,,
SH1896900065,18969,P100016,65,35.0,optimal,100,3.0,,
SH1896900066,18969,P100016,66,48.0,good,90,3.0,,
SH1896900067,18969,P100016,67,52.0,good,90,3.0,,
SH1896900068,18969,P100016,68,16.0,short,70,3.0,,
SH1896900069,18969,P100016,69,17.0,short,70,3.0,,
SH1896900070,18969,P100016,70,11.0,short,70,3.0,,
SH1896900071,18969,P100016,71,7.0,short,70,3.0,,
SH1896900072,18969,P100016,72,63.0,long,70,3.0,,
SH1896900073,18969,P100016,73,70.0,long,70,3.0,,
SH1896900074,18969,P100016,74,73.0,long,70,3.0,,
SH1896900075,18969,P100016,75,13.0,short,70,3.0,,
SH1896900076,18969,P100016,76,32.0,optimal,100,3.0,,
