momentum_key,game_id,period,events_count,goals,shots,passes
MO18969_P1,18969,1,27,7,86,241
MO18969_P2,18969,2,27,3,89,276
MO18969_P3,18969,3,27,6,90,261
MO18977_P1,18977,1,27,2,77,208
MO18977_P2,18977,2,27,4,73,197
MO18977_P3,18977,3,27,7,120,197
MO18981_P1,18981,1,27,4,61,171
MO18981_P2,18981,2,27,2,89,176
MO18981_P3,18981,3,27,0,78,164
MO18987_P1,18987,1,26,0,93,245
MO18987_P2,18987,2,26,0,76,238
MO18987_P3,18987,3,26,2,77,172
