event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,event_start_min,event_start_sec,event_end_min,event_end_sec,running_video_time,event_running_start,event_running_end,play_detail1,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_goal,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,pressured_pressurer,is_pressured,danger_level,danger_level_id,scoring_chance_key,high_danger_key
EV1896902388,18969,3,P03,Shot,ET0001,Shot_Blocked,ED0008,Shot_OneTime,ED256,u,SC02,o,ZN01,SQ1896900121,PL1896912116,EC18969002388,TV1896909208,SH1896900084,LV1896909208,Platinum,N10008,Velodrome,N10010,0.0,P100108,P100023,Robert Mayfield,N20252026F,5.0,,,,,,,,,TB03,STR0001,,0,7.0,0.0,,,2956.0,2951.0,2956.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,SO03,,,,1,1,,0,high,DL01,SC189690100,HD189691388
EV1896902415,18969,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,s,SC01,o,ZN01,SQ1896900050,PL1896905001,EC18969002415,TV1896902415,SH1896900086,,Platinum,N10008,Velodrome,N10010,0.0,P100027,P100016,Karen Zietlow,N20252026F,4.0,,,,,,,,,TB03,STR0001,,0,5.0,56.0,,,3020.0,3015.0,3020.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189690103,HD189691415
EV1897701368,18977,1,P01,Goal,ET0012,Goal_Scored,ED0003,Goal_Tip,ED219,,,,,SQ1897700020,PL1897702021,EC18977001368,TV1897701368,SH1897700022,,Velodrome,N10010,HollowBrook,N10003,0.0,P100161,P100096,Galen Wood,N20252026F,4.0,,,,,,,,,TB04,STR0001,,0,3.0,18.0,,,882.0,877.0,882.0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,SO01,,,,1,1,,0,high,DL01,SC189770151,HD189771962
EV1897701486,18977,2,P02,Shot,ET0001,Shot_Missed,ED0004,Shot_Tipped,ED261,,,,,SQ1897700029,PL1897702901,EC18977001486,TV1897701486,SH1897700034,,Velodrome,N10010,HollowBrook,N10003,0.0,P100201,,Garrett Ashcroft,N20252026F,4.0,,,,,,,,,TB01,STR0001,,0,16.0,38.0,,,1230.0,1225.0,1230.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,SO04,,,,1,1,,0,high,DL01,SC189770157,HD189772079
EV1897701612,18977,2,P02,Goal,ET0012,Goal_Scored,ED0003,Goal_Tip,ED219,,,,,SQ1897700035,PL1897703510,EC18977001612,TV1897701612,SH1897700042,,Velodrome,N10010,HollowBrook,N10003,0.0,P100108,P100096,Robert Mayfield,N20252026F,5.0,,,,,,,,,TB02,STR0001,,0,11.0,22.0,,,1546.0,1541.0,1546.0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,SO01,,,,1,1,,0,high,DL01,SC189770167,HD189772205
EV1897701713,18977,2,P02,Shot,ET0001,Shot_Missed,ED0004,Shot_Tipped,ED261,,,,,SQ1897700041,PL1897704109,EC18977001713,TV1897701713,SH1897700046,,Velodrome,N10010,HollowBrook,N10003,0.0,P100001,"P100086,P100088",Sam Downs,N20252026F,4.0,,,,,,,,,TB03,STR0001,,0,7.0,0.0,,,1808.0,1803.0,1808.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,SO04,,,,1,1,,0,high,DL01,SC189770174,HD189772305
EV1897701837,18977,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,,,,,SQ1897700049,PL1897704914,EC18977001837,TV1897701837,SH1897700055,,Velodrome,N10010,HollowBrook,N10003,0.0,P100001,P100096,Sam Downs,N20252026F,4.0,,,,,,,,,TB05,STR0001,,0,1.0,56.0,,,2112.0,2107.0,2112.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189770184,HD189772429
EV1897701871,18977,2,P02,Goal,ET0012,Goal_Scored,ED0003,Goal_Tip,ED219,,,,,SQ1897700049,PL1897704923,EC18977001871,TV1897701871,SH1897700058,,Velodrome,N10010,HollowBrook,N10003,0.0,P100002,P100096,Kevin White,N20252026F,4.0,,,,,,,,,TB05,STR0001,,0,1.0,12.0,,,2156.0,2151.0,2156.0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,SO01,,,,1,1,,0,high,DL01,SC189770189,HD189772463
EV1897701991,18977,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,,,,,SQ1897700064,PL1897706405,EC18977001991,TV1897701991,SH1897700065,,Velodrome,N10010,HollowBrook,N10003,0.0,P100097,P100016,Steve Smith,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,13.0,26.0,,,2572.0,2567.0,2572.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189770202,HD189772583
EV1897702133,18977,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,,,,,SQ1897700068,PL1897706811,EC18977002133,TV1897702133,SH1897700074,,Velodrome,N10010,HollowBrook,N10003,0.0,P100001,P100096,Sam Downs,N20252026F,4.0,,,,,,,,,TB03,STR0001,,0,8.0,54.0,,,2844.0,2839.0,2844.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189770215,HD189772725
EV1898101555,18981,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_OneTime,ED256,,,o,ZN01,SQ1898100041,PL1898104127,EC18981001555,TV1898101555,SH1898100048,,Nelson,N10004,Velodrome,N10010,0.0,P100078,P100016,Kyle Popovich,N20252026F,4.0,,,,,,,,,TB02,STR0002,,0,12.0,58.0,,,1454.0,1449.0,1454.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189810285,HD189813510
EV1898101672,18981,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,,,o,ZN01,SQ1898100048,PL1898104801,EC18981001672,TV1898101672,SH1898100057,,Nelson,N10004,Velodrome,N10010,0.0,P100066,"P100016,P100108",Brock Lofgren,N20252026F,4.0,,,,,,,,,TB03,STR0002,,0,8.0,6.0,,,1746.0,1741.0,1746.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189810297,HD189813627
EV1898101691,18981,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,,,o,ZN01,SQ1898100048,PL1898104804,EC18981001691,TV1898101691,SH1898100058,,Nelson,N10004,Velodrome,N10010,0.0,P100111,P100016,Michelle Freddolino,N20252026F,4.0,,,,,,,,,TB03,STR0002,,0,7.0,24.0,,,1788.0,1783.0,1788.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189810300,HD189813646
EV1898101876,18981,3,P03,Shot,ET0001,Shot_Missed,ED0004,Shot_Tipped,ED261,,,o,ZN01,SQ1898100060,PL1898106007,EC18981001876,TV1898101876,SH1898100075,,Nelson,N10004,Velodrome,N10010,0.0,"P100016,P100066",P100198,Wyatt Crandall,N20252026F,6.0,,,,,,,,,TB05,STR0001,,0,0.0,37.0,,,2195.0,2190.0,2195.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,SO04,,,,1,1,,0,high,DL01,SC189810313,HD189813831
EV1898102033,18981,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0001,Shot_Tip,ED260,,,o,ZN01,SQ1898100068,PL1898106805,EC18981002033,TV1898102033,SH1898100084,,Nelson,N10004,Velodrome,N10010,0.0,P100224,"P100138,P100197",Kaitlyn Shain,N20252026F,4.0,,,,,,,,,TB02,STR0001,CY189810023,1,11.0,54.0,,,2668.0,2663.0,2668.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO02,,,,1,1,,0,high,DL01,SC189810327,HD189813988
EV1898102085,18981,3,P03,Shot,ET0001,Shot_Blocked,ED0008,Shot_Tipped,ED261,,,o,ZN01,SQ1898100074,PL1898107401,EC18981002085,TV1898102085,SH1898100089,,Nelson,N10004,Velodrome,N10010,0.0,"P100119,P100159",,Josh Cronk,N20252026F,5.0,,,,,,,,,TB03,STR0001,,0,9.0,16.0,,,2826.0,2821.0,2826.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,SO03,,,,1,1,,0,high,DL01,SC189810334,HD189814040
