game_id,season_id,entry_event_index,shot_event_index,events_to_shot,is_rush,rush_type,is_goal,entry_type,zone_entry_type_id,rush_type_id,home_team_id,away_team_id
18977,N20252026F,1219,1222,3,True,rush,False,ZoneEntry-Pass,ZE0007,ZE0010,N10010,N10003
18977,N20252026F,1258,1263,5,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1267,1270,3,True,rush,False,ZoneEntry-DumpIn,ZE0003,ZE0010,N10010,N10003
18977,N20252026F,1282,1286,4,True,rush,False,ZoneEntry-DumpIn,ZE0003,ZE0010,N10010,N10003
18977,N20252026F,1306,1308,2,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1314,1315,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1340,1341,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1365,1368,3,True,rush,True,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1409,1410,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1442,1443,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1492,1493,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1523,1526,3,True,rush,False,ZoneEntry-PassMiss/Misplay,ZE0008,ZE0010,N10010,N10003
18977,N20252026F,1540,1542,2,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1566,1571,5,True,rush,False,ZoneEntry-Pass,ZE0007,ZE0010,N10010,N10003
18977,N20252026F,1588,1590,2,True,rush,False,ZoneEntry-RushBreakaway,ZE0011,ZE0010,N10010,N10003
18977,N20252026F,1607,1611,4,True,rush,True,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1624,1625,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1648,1653,5,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1707,1710,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1729,1730,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1763,1768,5,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1796,1797,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1827,1828,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1847,1848,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1860,1861,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1884,1885,1,True,rush,False,ZoneEntry-RushBreakaway,ZE0011,ZE0010,N10010,N10003
18977,N20252026F,1895,1898,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1910,1913,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1932,1933,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1969,1972,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,1989,1991,2,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2050,2052,2,True,rush,False,ZoneEntry-Pass,ZE0007,ZE0010,N10010,N10003
18977,N20252026F,2056,2059,3,True,rush,False,ZoneEntry-Pass,ZE0007,ZE0010,N10010,N10003
18977,N20252026F,2070,2073,3,True,rush,False,ZoneEntry-Pass,ZE0007,ZE0010,N10010,N10003
18977,N20252026F,2090,2093,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2101,2106,5,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2116,2117,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2131,2133,2,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2150,2153,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2192,2193,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2232,2233,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2244,2245,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2255,2257,2,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2274,2279,5,True,rush,False,ZoneEntry-DumpIn,ZE0003,ZE0010,N10010,N10003
18977,N20252026F,2294,2295,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2307,2308,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2318,2319,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18977,N20252026F,2328,2332,4,True,rush,False,ZoneEntry-DumpIn,ZE0003,ZE0010,N10010,N10003
18977,N20252026F,2358,2359,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10010,N10003
18981,N20252026F,1003,1004,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1013,1014,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1023,1024,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1070,1071,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1086,1087,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1135,1136,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1150,1151,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1238,1239,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1288,1289,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1311,1312,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1316,1317,1,True,rush,True,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1322,1323,1,True,rush,True,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1350,1351,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1371,1372,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1405,1406,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1477,1480,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1498,1501,3,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1510,1512,2,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
18981,N20252026F,1527,1528,1,True,rush,False,ZoneEntry-Rush,ZE0010,ZE0010,N10004,N10010
