shift_index,shift_duration,home_team_plus,home_team_minus,away_team_plus,away_team_minus,position_slot,player_game_number,player_venue,position_type,plus_minus,shift_key,shift_player_key,player_game_key,game_id,skill_rating
46,6.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_46,18969_46_53,18969_53,18969,
47,11.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_47,18969_47_53,18969_53,18969,
48,7.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_48,18969_48_53,18969_53,18969,
49,3.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_49,18969_49_53,18969_53,18969,
50,18.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_50,18969_50_53,18969_53,18969,
51,39.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_51,18969_51_53,18969_53,18969,
52,8.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_52,18969_52_45,18969_45,18969,
53,124.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_53,18969_53_45,18969_45,18969,
54,16.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_54,18969_54_45,18969_45,18969,
55,14.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_55,18969_55_45,18969_45,18969,
56,13.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_56,18969_56_53,18969_53,18969,
57,78.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_57,18969_57_53,18969_53,18969,
58,11.0,1.0,0.0,0.0,-1.0,home_forward_1,53.0,home,forward,1,18969_58,18969_58_53,18969_53,18969,
59,32.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_59,18969_59_53,18969_53,18969,
60,52.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_60,18969_60_53,18969_53,18969,
61,11.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_61,18969_61_53,18969_53,18969,
62,4.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_62,18969_62_53,18969_53,18969,
63,94.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_63,18969_63_45,18969_45,18969,
65,35.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_65,18969_65_45,18969_45,18969,
66,48.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_66,18969_66_53,18969_53,18969,
67,52.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_67,18969_67_53,18969_53,18969,
68,16.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_68,18969_68_53,18969_53,18969,
69,17.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_69,18969_69_53,18969_53,18969,
70,11.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_70,18969_70_53,18969_53,18969,
71,7.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_71,18969_71_53,18969_53,18969,
72,63.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_72,18969_72_53,18969_53,18969,
73,70.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_73,18969_73_45,18969_45,18969,
74,73.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_74,18969_74_45,18969_45,18969,
75,13.0,1.0,0.0,0.0,-1.0,home_forward_1,45.0,home,forward,1,18969_75,18969_75_45,18969_45,18969,
76,32.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_76,18969_76_53,18969_53,18969,
77,61.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_77,18969_77_53,18969_53,18969,
78,42.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_78,18969_78_53,18969_53,18969,
79,45.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_79,18969_79_53,18969_53,18969,
80,-25.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_80,18969_80_53,18969_53,18969,
81,50.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_81,18969_81_45,18969_45,18969,
82,2.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_82,18969_82_45,18969_45,18969,
83,34.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_83,18969_83_45,18969_45,18969,
84,22.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_84,18969_84_45,18969_45,18969,
85,16.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_85,18969_85_45,18969_45,18969,
86,45.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_86,18969_86_53,18969_53,18969,
87,24.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_87,18969_87_53,18969_53,18969,
88,58.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_88,18969_88_53,18969_53,18969,
89,27.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_89,18969_89_45,18969_45,18969,
90,42.0,1.0,0.0,0.0,-1.0,home_forward_1,45.0,home,forward,1,18969_90,18969_90_45,18969_45,18969,
91,69.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_91,18969_91_45,18969_45,18969,
92,15.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_92,18969_92_53,18969_53,18969,
93,9.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_93,18969_93_53,18969_53,18969,
94,15.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_94,18969_94_53,18969_53,18969,
95,10.0,0.0,0.0,0.0,0.0,home_forward_1,53.0,home,forward,0,18969_95,18969_95_53,18969_53,18969,
97,24.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_97,18969_97_45,18969_45,18969,
98,58.0,0.0,0.0,0.0,0.0,home_forward_1,45.0,home,forward,0,18969_98,18969_98_45,18969_45,18969,
1,82.0,0.0,0.0,0.0,0.0,home_forward_2,20.0,home,forward,0,18969_1,18969_1_20,18969_20,18969,
2,79.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_2,18969_2_82,18969_82,18969,
3,9.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_3,18969_3_47,18969_47,18969,
4,29.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_4,18969_4_47,18969_47,18969,
5,4.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_5,18969_5_47,18969_47,18969,
6,8.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_6,18969_6_47,18969_47,18969,
7,102.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_7,18969_7_47,18969_47,18969,
8,7.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_8,18969_8_47,18969_47,18969,
9,16.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_9,18969_9_47,18969_47,18969,
10,9.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_10,18969_10_47,18969_47,18969,
11,25.0,1.0,0.0,0.0,-1.0,home_forward_2,12.0,home,forward,1,18969_11,18969_11_12,18969_12,18969,
12,35.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_12,18969_12_12,18969_12,18969,
13,52.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_13,18969_13_12,18969_12,18969,
14,49.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_14,18969_14_82,18969_82,18969,
15,9.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_15,18969_15_82,18969_82,18969,
16,23.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_16,18969_16_82,18969_82,18969,
17,6.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_17,18969_17_82,18969_82,18969,
18,7.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_18,18969_18_82,18969_82,18969,
19,14.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_19,18969_19_82,18969_82,18969,
20,18.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_20,18969_20_47,18969_47,18969,
21,56.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_21,18969_21_47,18969_47,18969,
22,57.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_22,18969_22_12,18969_12,18969,
23,37.0,0.0,-1.0,1.0,0.0,home_forward_2,12.0,home,forward,-1,18969_23,18969_23_12,18969_12,18969,
24,61.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_24,18969_24_12,18969_12,18969,
25,79.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_25,18969_25_82,18969_82,18969,
26,5.0,0.0,-1.0,1.0,0.0,home_forward_2,82.0,home,forward,-1,18969_26,18969_26_82,18969_82,18969,
27,65.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_27,18969_27_47,18969_47,18969,
28,78.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_28,18969_28_47,18969_47,18969,
29,59.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_29,18969_29_12,18969_12,18969,
31,49.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_31,18969_31_12,18969_12,18969,
32,19.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_32,18969_32_12,18969_12,18969,
33,17.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_33,18969_33_12,18969_12,18969,
34,67.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_34,18969_34_82,18969_82,18969,
35,19.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_35,18969_35_82,18969_82,18969,
36,33.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_36,18969_36_47,18969_47,18969,
37,95.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_37,18969_37_47,18969_47,18969,
38,11.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_38,18969_38_47,18969_47,18969,
39,99.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_39,18969_39_12,18969_12,18969,
40,20.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_40,18969_40_12,18969_12,18969,
41,4.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_41,18969_41_12,18969_12,18969,
42,29.0,0.0,0.0,0.0,0.0,home_forward_2,12.0,home,forward,0,18969_42,18969_42_12,18969_12,18969,
43,38.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_43,18969_43_82,18969_82,18969,
44,27.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_44,18969_44_82,18969_82,18969,
45,12.0,0.0,0.0,0.0,0.0,home_forward_2,82.0,home,forward,0,18969_45,18969_45_82,18969_82,18969,
46,6.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_46,18969_46_47,18969_47,18969,
47,11.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_47,18969_47_47,18969_47,18969,
48,7.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_48,18969_48_47,18969_47,18969,
49,3.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_49,18969_49_47,18969_47,18969,
50,18.0,0.0,0.0,0.0,0.0,home_forward_2,47.0,home,forward,0,18969_50,18969_50_47,18969_47,18969,
