game_id,home_team,away_team,home_team_id,away_team_id,game_date,season_id,game_type,playoff_round,home_score,away_score,winner,_processed_timestamp
18023,Outlaws,HollowBrook,N10007,N10003,2025-01-26T00:00:00,N20242025F,Regular,,0,7,HollowBrook,2025-12-19 20:06:37
10826,Triple J,OS Offices,N10009,N10005,2025-01-26T00:00:00,N20242025F,Regular,,3,4,OS Offices,2025-12-19 20:06:37
18021,Ace,Platinum,N10002,N10008,2025-01-12T00:00:00,N20242025F,Regular,,0,10,Platinum,2025-12-19 20:06:37
18020,Orphans,OS Offices,N10006,N10005,2025-01-12T00:00:00,N20242025F,Regular,,1,2,OS Offices,2025-12-19 20:06:37
18019,Outlaws,Amos,N10007,N10001,2025-01-12T00:00:00,N20242025F,Regular,,5,3,Outlaws,2025-12-19 20:06:37
18018,HollowBrook,Nelson,N10003,N10004,2025-01-12T00:00:00,N20242025F,Regular,,6,6,TIE,2025-12-19 20:06:37
18016,Orphans,Triple J,N10006,N10009,2025-01-05T00:00:00,N20242025F,Regular,,2,5,Triple J,2025-12-19 20:06:37
18015,Outlaws,Platinum,N10007,N10008,2025-01-05T00:00:00,N20242025F,Regular,,0,4,Platinum,2025-12-19 20:06:37
18014,HollowBrook,OS Offices,N10003,N10005,2025-01-05T00:00:00,N20242025F,Regular,,2,4,OS Offices,2025-12-19 20:06:37
18013,Nelson,Amos,N10004,N10001,2025-01-05T00:00:00,N20242025F,Regular,,11,2,Nelson,2025-12-19 20:06:37
17955,Amos,Orphans,N10001,N10006,2024-12-29T00:00:00,N20242025F,Regular,,2,4,Orphans,2025-12-19 20:06:37
18011,Outlaws,Ace,N10007,N10002,2024-12-22T00:00:00,N20242025F,Regular,,5,5,TIE,2025-12-19 20:06:37
18010,HollowBrook,Triple J,N10003,N10009,2024-12-22T00:00:00,N20242025F,Regular,,3,4,Triple J,2025-12-19 20:06:37
18009,Nelson,Platinum,N10004,N10008,2024-12-22T00:00:00,N20242025F,Regular,,4,4,TIE,2025-12-19 20:06:37
18008,Amos,OS Offices,N10001,N10005,2024-12-22T00:00:00,N20242025F,Regular,,4,7,OS Offices,2025-12-19 20:06:37
18006,HollowBrook,Orphans,N10003,N10006,2024-12-15T00:00:00,N20242025F,Regular,,5,2,HollowBrook,2025-12-19 20:06:37
18005,Nelson,Ace,N10004,N10002,2024-12-15T00:00:00,N20242025F,Regular,,8,6,Nelson,2025-12-19 20:06:37
18004,Amos,Triple J,N10001,N10009,2024-12-15T00:00:00,N20242025F,Regular,,5,7,Triple J,2025-12-19 20:06:37
18003,OS Offices,Platinum,N10005,N10008,2024-12-15T00:00:00,N20242025F,Regular,,4,7,Platinum,2025-12-19 20:06:37
17996,Amos,HollowBrook,N10001,N10003,2024-11-24T00:00:00,N20242025F,Regular,,2,4,HollowBrook,2025-12-19 20:06:37
17995,OS Offices,Outlaws,N10005,N10007,2024-11-24T00:00:00,N20242025F,Regular,,2,3,Outlaws,2025-12-19 20:06:37
17994,Platinum,Orphans,N10008,N10006,2024-11-24T00:00:00,N20242025F,Regular,,4,4,TIE,2025-12-19 20:06:37
17993,Triple J,Ace,N10009,N10002,2024-11-24T00:00:00,N20242025F,Regular,,8,3,Triple J,2025-12-19 20:06:37
17991,OS Offices,Nelson,N10005,N10004,2024-11-17T00:00:00,N20242025F,Regular,,5,5,TIE,2025-12-19 20:06:37
17990,Platinum,HollowBrook,N10008,N10003,2024-11-17T00:00:00,N20242025F,Regular,,5,2,Platinum,2025-12-19 20:06:37
