event_index,X,Y
8,37.3,-12.73
29,-6.7,-5.46
39,-12.58,-7.46
110,-33,-19.34
116,-27.97,-20.55
137,35.36,12.11
154,-22.94,-21.28
163,27.48,-21.77
166,34.39,-20.73
172,-18.09,-20.25
187,-34.39,-22.37
199,21.06,-15.46
206,30.03,-20.55
211,1.42,-10.07
218,24.15,-23.58
257,-31.67,-22.43
267,-22.09,-20.19
280,2.33,-14.37
284,-33.18,-15.7
309,29.91,-21.52
325,17.06,-23.7
332,-27.12,-21.46
339,-34.33,21.33
428,-32.27,-9.95
457,-28.58,-22.49
