event_index,player_game_number,player_id,player_team,player_role,role_number,play_detail1,play_detail_2,play_detail_successful,event_key,event_player_key,player_game_key,game_id,skill_rating,is_primary_player,is_event_team,is_opp_team
1001.0,53.0,P100192,Platinum,event_team_player_1,1.0,,,,18969_1001,18969_1001_53,18969_53,18969,5.0,1,1,0
1001.0,21.0,P100025,Platinum,event_team_player_2,2.0,,,,18969_1001,18969_1001_21,18969_21,18969,4.0,0,1,0
1001.0,49.0,P100161,Velodrome,opp_team_player_1,1.0,,,,18969_1001,18969_1001_49,18969_49,18969,5.0,0,0,1
1002.0,21.0,P100025,Platinum,event_team_player_1,1.0,,,,18969_1002,18969_1002_21,18969_21,18969,4.0,1,1,0
1002.0,8.0,P100030,Platinum,event_team_player_2,2.0,,,,18969_1002,18969_1002_8,18969_8,18969,5.0,0,1,0
1003.0,8.0,P100030,Platinum,event_team_player_1,1.0,Delay,,,18969_1003,18969_1003_8,18969_8,18969,5.0,1,1,0
1003.0,49.0,P100161,Velodrome,opp_team_player_1,1.0,,,,18969_1003,18969_1003_49,18969_49,18969,5.0,0,0,1
1004.0,8.0,P100030,Platinum,event_team_player_1,1.0,,,,18969_1004,18969_1004_8,18969_8,18969,5.0,1,1,0
1004.0,20.0,P100024,Platinum,event_team_player_2,2.0,,,,18969_1004,18969_1004_20,18969_20,18969,3.0,0,1,0
1004.0,49.0,P100161,Velodrome,opp_team_player_1,1.0,,,,18969_1004,18969_1004_49,18969_49,18969,5.0,0,0,1
1005.0,20.0,P100024,Platinum,event_team_player_1,1.0,Chip,DumpChase,u,18969_1005,18969_1005_20,18969_20,18969,3.0,1,1,0
1006.0,20.0,P100024,Platinum,event_team_player_1,1.0,Chip,DumpChase,u,18969_1006,18969_1006_20,18969_20,18969,3.0,1,1,0
1007.0,52.0,P100070,Velodrome,event_team_player_1,1.0,RecoveryRetreivalDumpIn,,s,18969_1007,18969_1007_52,18969_52,18969,4.0,1,1,0
1008.0,52.0,P100070,Velodrome,event_team_player_1,1.0,Breakout,PassDeflected,s,18969_1008,18969_1008_52,18969_52,18969,4.0,1,1,0
