game_id,home_team,away_team,home_team_id,away_team_id,game_date,season_id,game_type,playoff_round,home_score,away_score,winner,video_id,video_url,_processed_timestamp,_updated_timestamp,_export_timestamp
18619,Red,Green,N10022,N10023,2025-07-13T00:00:00,N2025S,Regular,,4,5,Green,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10063,HollowBrook,Triple J,N10003,N10009,2025-04-27T00:00:00,N20242025F,Playoffs,Championship,1,2,Triple J,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10074,Platinum,HollowBrook,N10008,N10003,2025-04-13T00:00:00,N20242025F,Playoffs,SemiFinals,2,4,HollowBrook,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10073,Nelson,Triple J,N10004,N10009,2025-04-13T00:00:00,N20242025F,Playoffs,SemiFinals,4,7,Triple J,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10066,Platinum,Nelson,N10008,N10004,2025-04-06T00:00:00,N20242025F,Playoffs,RoundRobin,3,4,Nelson,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10065,HollowBrook,OS Offices,N10003,N10005,2025-04-06T00:00:00,N20242025F,Playoffs,RoundRobin,9,0,HollowBrook,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10064,Amos,Triple J,N10001,N10009,2025-04-06T00:00:00,N20242025F,Playoffs,RoundRobin,1,2,Triple J,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10069,Platinum,Ace,N10008,N10002,2025-03-30T00:00:00,N20242025F,Playoffs,RoundRobin,12,2,Platinum,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10068,HollowBrook,Outlaws,N10003,N10007,2025-03-30T00:00:00,N20242025F,Playoffs,RoundRobin,6,2,HollowBrook,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10067,Amos,Orphans,N10001,N10006,2025-03-30T00:00:00,N20242025F,Playoffs,RoundRobin,5,3,Amos,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10072,Nelson,Ace,N10004,N10002,2025-03-23T00:00:00,N20242025F,Playoffs,RoundRobin,7,4,Nelson,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10071,OS Offices,Outlaws,N10005,N10007,2025-03-23T00:00:00,N20242025F,Playoffs,RoundRobin,5,4,OS Offices,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
10070,Triple J,Orphans,N10009,N10006,2025-03-23T00:00:00,N20242025F,Playoffs,RoundRobin,5,1,Triple J,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18001,Nelson,Outlaws,N10004,N10007,2025-03-16T00:00:00,N20242025F,Regular,,0,3,Outlaws,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18000,Amos,Orphans,N10001,N10006,2025-03-16T00:00:00,N20242025F,Regular,,7,2,Amos,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
17999,OS Offices,Ace,N10005,N10002,2025-03-16T00:00:00,N20242025F,Regular,,5,6,Ace,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
17998,Platinum,Triple J,N10008,N10009,2025-03-16T00:00:00,N20242025F,Regular,,4,3,Platinum,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18051,HollowBrook,Orphans,N10003,N10006,2025-03-09T00:00:00,N20242025F,Regular,,4,3,HollowBrook,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18050,Nelson,Ace,N10004,N10002,2025-03-09T00:00:00,N20242025F,Regular,,4,4,TIE,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18049,Amos,Triple J,N10001,N10009,2025-03-09T00:00:00,N20242025F,Regular,,4,6,Triple J,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18048,OS Offices,Platinum,N10005,N10008,2025-03-09T00:00:00,N20242025F,Regular,,3,6,Platinum,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18046,Nelson,Outlaws,N10004,N10007,2025-03-02T00:00:00,N20242025F,Regular,,6,3,Nelson,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18045,Amos,Orphans,N10001,N10006,2025-03-02T00:00:00,N20242025F,Regular,,7,5,Amos,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18044,OS Offices,Ace,N10005,N10002,2025-03-02T00:00:00,N20242025F,Regular,,3,4,Ace,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18043,Platinum,Triple J,N10008,N10009,2025-03-02T00:00:00,N20242025F,Regular,,3,1,Platinum,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18041,Amos,HollowBrook,N10001,N10003,2025-02-23T00:00:00,N20242025F,Regular,,6,5,Amos,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18040,OS Offices,Outlaws,N10005,N10007,2025-02-23T00:00:00,N20242025F,Regular,,2,2,TIE,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18039,Platinum,Orphans,N10008,N10006,2025-02-23T00:00:00,N20242025F,Regular,,5,5,TIE,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18038,Triple J,Ace,N10009,N10002,2025-02-23T00:00:00,N20242025F,Regular,,4,1,Triple J,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18036,OS Offices,Nelson,N10005,N10004,2025-02-09T00:00:00,N20242025F,Regular,,2,4,Nelson,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18035,Platinum,HollowBrook,N10008,N10003,2025-02-09T00:00:00,N20242025F,Regular,,2,2,TIE,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18034,Triple J,Outlaws,N10009,N10007,2025-02-09T00:00:00,N20242025F,Regular,,4,9,Outlaws,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18033,Ace,Orphans,N10002,N10006,2025-02-09T00:00:00,N20242025F,Regular,,7,4,Ace,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18031,Platinum,Amos,N10008,N10001,2025-02-02T00:00:00,N20242025F,Regular,,3,4,Amos,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18030,Triple J,Nelson,N10009,N10004,2025-02-02T00:00:00,N20242025F,Regular,,2,5,Nelson,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18029,Ace,HollowBrook,N10002,N10003,2025-02-02T00:00:00,N20242025F,Regular,,4,8,HollowBrook,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
18028,Orphans,Outlaws,N10006,N10007,2025-02-02T00:00:00,N20242025F,Regular,,5,4,Orphans,,,2025-12-20 00:43:11,2025-12-20T00:43:12.009970,2025-12-20T00:43:13.261028
