event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,player_rating,cycle_key,is_cycle,is_rebound,is_zone_entry,is_zone_exit,is_controlled_entry,is_carried_entry,is_controlled_exit,is_carried_exit,is_rush,is_save,is_turnover,is_giveaway,is_bad_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_tipped,is_sog,is_corsi,is_fenwick,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,prev_event_id,prev_event_type,prev_event_detail,prev_event_team,prev_event_same_team,next_event_id,next_event_type,next_event_detail,next_event_team,next_event_same_team,time_since_prev,time_to_next,time_to_next_sog,time_since_last_sog,events_to_next_sog,events_since_last_sog,next_sog_result,led_to_sog,is_pre_shot_event,is_shot_assist,time_to_next_goal,time_since_last_goal,events_to_next_goal,events_since_last_goal,led_to_goal,time_since_zone_entry,events_since_zone_entry,time_since_zone_exit,sequence_event_num,sequence_total_events,sequence_duration,is_sequence_first,is_sequence_last,sequence_has_sog,sequence_has_goal,sequence_shot_count,consecutive_team_events,time_since_possession_change,events_since_possession_change,time_since_faceoff,events_since_faceoff,is_rush_calculated,time_from_entry_to_shot,high_danger_key
EV1897701611,18977,2,P02,Goal,ET0012,Goal_Scored,ED0006,Goal_Tip,ED026,,,Neutral,ZN03,SQ1897700032,PL1897703201,EC18977001611,TV1897701611,Velodrome,N10010,HollowBrook,N10003,0.0,P100108,P100096,11.0,22.0,11.0,22.0,682.0,682.0,1718.0,1718.0,2618.0,1200,900,h,,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e1,22.0,5v5,,,,,1,0,Robert Mayfield,N20252026F,5.0,ST0005,,,,,,,,TB02,STR01,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SO01,,,,1,1,0,high,DL01,SC189770094,EV1897701610,Shot,Shot_Goal,Velodrome,1,EV1897701612,DeadIce,,Velodrome,1,0.0,0.0,1.0,0.0,3.0,1.0,save,0,0,0,273.0,,363.0,,0,5.0,13.0,8.0,1.0,1.0,0.0,1,1,0,1,0.0,6,0.0,3.0,43.0,90.0,0,,HD189772067
EV1897702131,18977,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Tip,ED116,,,Neutral,ZN03,SQ1897700024,PL1897702401,EC18977002131,TV1897702131,Velodrome,N10010,HollowBrook,N10003,0.0,P100001,P100096,8.0,54.0,8.0,54.0,534.0,534.0,3066.0,3066.0,4866.0,2400,1800,h,,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e1,70.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,ST0005,,,,,,,,TB03,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,SO02,,,,1,1,0,high,DL01,SC189770119,EV1897702130,Pass,Pass_Completed,Velodrome,1,EV1897702132,Save,Save_Freeze,HollowBrook,0,0.0,0.0,20.0,26.0,26.0,32.0,save,0,0,0,125.0,148.0,188.0,175.0,0,3.0,3.0,1.0,8.0,17.0,256.0,0,0,1,0,2.0,10,8.0,10.0,39.0,51.0,0,,HD189772242
EV1897701835,18977,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Tip,ED116,,,Neutral,ZN03,SQ1897700068,PL1897706803,EC18977001835,TV1897701835,Velodrome,N10010,HollowBrook,N10003,0.0,P100001,P100096,1.0,56.0,1.0,56.0,116.0,116.0,2284.0,2284.0,3184.0,1200,900,h,,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e1,70.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,ST0005,,,,,,,,TB05,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,SO02,,,,1,1,0,high,DL01,SC189770103,EV1897701834,Pass,Pass_Completed,Velodrome,1,EV1897701836,Save,Save_Rebound,HollowBrook,0,0.0,0.0,18.0,6.0,20.0,11.0,save,1,0,0,19.0,119.0,24.0,148.0,0,4.0,6.0,5.0,48.0,68.0,926.0,0,0,1,0,5.0,3,4.0,5.0,49.0,81.0,0,,HD189772801
EV1897701869,18977,2,P02,Goal,ET0012,Goal_Scored,ED0006,Goal_Tip,ED026,,,Neutral,ZN03,SQ1897700069,PL1897706901,EC18977001869,TV1897701869,Velodrome,N10010,HollowBrook,N10003,0.0,P100002,P100096,1.0,12.0,1.0,12.0,72.0,72.0,2328.0,2328.0,3228.0,1200,900,h,,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e1,91.0,5v5,,,,,1,0,Kevin White,N20252026F,4.0,ST0005,,,,,,,,TB05,STR01,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SO01,,,,1,1,0,high,DL01,SC189770107,EV1897701868,Shot,Shot_Goal,Velodrome,1,EV1897701870,DeadIce,,Velodrome,1,0.0,0.0,10.0,0.0,12.0,1.0,save,0,0,0,,25.0,,41.0,0,1.0,4.0,10.0,1.0,1.0,0.0,1,1,0,1,0.0,3,0.0,3.0,2.0,6.0,0,,HD189772866
EV1898101554,18981,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_OneTime,ED111,,,Offensive,ZN01,SQ1898100063,PL1898106307,EC18981001554,TV1898101554,Nelson,N10004,Velodrome,N10010,0.0,P100078,P100016,12.0,58.0,12.0,58.0,778.0,778.0,1622.0,1622.0,2522.0,1200,900,h,,Nelson,Defensive,Offensive,event_player_1,Offensive,1,e1,10.0,5v5,,,,,0,0,Kyle Popovich,N20252026F,4.0,,,,,,,,,TB02,STR01,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,1,0,high,DL01,SC189810165,EV1898101553,Pass,Pass_Completed,Nelson,1,EV1898101555,Save,Save_Rebound,Velodrome,0,1.0,0.0,12.0,6.0,10.0,8.0,save,0,0,0,476.0,270.0,535.0,327.0,0,8.0,12.0,12.0,27.0,102.0,706.0,0,0,1,0,7.0,2,2.0,3.0,92.0,146.0,0,,HD189813330
EV1898102031,18981,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Tip,ED116,,,Offensive,ZN01,SQ1898100094,PL1898109401,EC18981002031,TV1898102031,Nelson,N10004,Velodrome,N10010,0.0,P100224,"P100138,P100197",11.0,54.0,11.0,54.0,714.0,714.0,2886.0,2886.0,4686.0,2400,1800,a,,Velodrome,Defensive,Offensive,event_player_1,Offensive,1,e1,61.0,5v5,,,,,0,0,Kaitlyn Shain,N20252026F,4.0,ST0005,,,,,,,,TB02,STR01,3.0,CY189810029,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,SO02,,,,1,1,0,high,DL01,SC189810184,EV1898102030,Pass,Pass_Completed,Velodrome,1,EV1898102032,Save,Save_Freeze,Nelson,0,2.0,0.0,36.0,20.0,46.0,22.0,save,0,0,0,412.0,334.0,465.0,397.0,0,5.0,8.0,9.0,4.0,6.0,41.0,0,0,1,0,1.0,2,3.0,3.0,5.0,9.0,0,,HD189813400
EV1898101671,18981,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Tip,ED116,,,Offensive,ZN01,SQ1898100072,PL1898107201,EC18981001671,TV1898101671,Nelson,N10004,Velodrome,N10010,0.0,P100066,"P100016,P100108",8.0,6.0,8.0,6.0,486.0,486.0,1914.0,1914.0,2814.0,1200,900,h,,Nelson,Defensive,Offensive,event_player_1,Offensive,1,e1,79.0,5v5,,,,,0,0,Brock Lofgren,N20252026F,4.0,ST0005,,,,,,,,TB03,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,SO02,,,,1,1,0,high,DL01,SC189810172,EV1898101670,Pass,Pass_Completed,Nelson,1,EV1898101672,Save,Save_Rebound,Velodrome,0,0.0,0.0,4.0,6.0,5.0,9.0,save,0,0,0,184.0,562.0,207.0,655.0,0,8.0,10.0,8.0,3.0,5.0,2.0,0,0,1,0,1.0,3,3.0,5.0,3.0,5.0,0,,HD189813658
EV1898101690,18981,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Tip,ED116,,,Offensive,ZN01,SQ1898100067,PL1898106712,EC18981001690,TV1898101690,Nelson,N10004,Velodrome,N10010,0.0,P100111,P100016,7.0,24.0,7.0,24.0,444.0,444.0,1956.0,1956.0,2856.0,1200,900,h,,Nelson,Defensive,Offensive,event_player_1,Offensive,1,e1,3.0,5v5,,,,,0,0,Michelle Freddolino,N20252026F,4.0,ST0005,,,,,,,,TB03,STR01,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,SO02,,,,1,1,0,high,DL01,SC189810173,EV1898101689,Pass,Pass_Completed,Nelson,1,EV1898101691,Save,Save_Freeze,Velodrome,0,1.0,0.0,28.0,31.0,35.0,33.0,save,0,0,0,142.0,604.0,155.0,707.0,0,1.0,3.0,13.0,42.0,58.0,703.0,0,0,1,0,2.0,9,1.0,2.0,5.0,6.0,0,,HD189813710
EV1898701062,18987,1,P01,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_OneTime,ED111,True,SC01,Offensive,ZN01,SQ1898700004,PL1898700419,EC18987001062,TV1898701062,Outlaws,N10007,Velodrome,N10010,0.0,P100004,P100016,16.0,39.0,16.0,39.0,999.0,999.0,201.0,201.0,201.0,0,0,h,,Outlaws,Defensive,Offensive,event_player_1,Offensive,1,e1,3.0,5v5,,,,,0,0,Cesar Shinall,N20252026F,5.0,,,,,,,,,TB01,STR01,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,1,0,high,DL01,SC189870195,EV1898702141,Possession,PuckRetrieval,Velodrome,0,EV1898701063,Save,Save_Rebound,Velodrome,0,1.0,0.0,24.0,31.0,32.0,56.0,save,1,0,0,644.0,,941.0,,0,6.0,13.0,5.0,39.0,91.0,234.0,0,0,1,0,5.0,1,3.0,4.0,19.0,36.0,0,,HD189874396
EV1898701288,18987,1,P01,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Tip,ED116,True,SC01,Offensive,ZN01,SQ1898700013,PL1898701301,EC18987001288,TV1898701288,Outlaws,N10007,Velodrome,N10010,0.0,P100214,"P100016,P100198",10.0,20.0,10.0,20.0,620.0,620.0,580.0,580.0,580.0,0,0,h,,Outlaws,Defensive,Offensive,event_player_1,Offensive,1,e1,12.0,5v5,OffensivePlay_Possession_FrontofNet,,,1.0,0,0,Ryan Kiehl,N20252026F,4.0,ST0005,,,,,,,,TB02,STR01,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,SO02,,,,1,1,1,high,DL01,SC189870204,EV1898701287,Pass,Pass_Deflected,Outlaws,1,EV1898701289,Save,Save_Freeze,Velodrome,0,1.0,0.0,22.0,2.0,14.0,6.0,save,0,0,0,265.0,,380.0,,0,9.0,13.0,12.0,3.0,42.0,852.0,0,0,1,0,1.0,3,5.0,10.0,51.0,74.0,0,,HD189874957
EV1898702303,18987,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_OneTime,ED111,True,SC01,Neutral,ZN03,SQ1898700051,PL1898705101,EC18987002303,TV1898702303,Outlaws,N10007,Velodrome,N10010,0.0,P100004,P100016,9.0,58.0,9.0,58.0,598.0,598.0,3002.0,3002.0,4802.0,2400,1800,h,,Outlaws,Neutral,Neutral,event_player_1,Offensive,1,e1,3.0,5v5,,,,,0,0,Cesar Shinall,N20252026F,5.0,,,,,,,,,TB03,STR01,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,1,0,high,DL01,SC189870232,EV1898701796,Faceoff,Faceoff_AfterStoppage,Velodrome,0,EV1898702304,Save,Save_Rebound,Velodrome,0,0.0,0.0,8.0,22.0,11.0,14.0,save,0,0,0,243.0,,366.0,,0,31.0,27.0,34.0,10.0,11.0,368.0,0,0,1,0,1.0,1,0.0,1.0,0.0,1.0,0,,HD189874971
EV1898701957,18987,2,P02,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_Tip,ED116,True,SC01,Neutral,ZN03,SQ1898700061,PL1898706102,EC18987001957,TV1898701957,Outlaws,N10007,Velodrome,N10010,0.0,"P100004,P100034",P100016,4.0,48.0,4.0,48.0,288.0,288.0,2112.0,2112.0,3012.0,1200,900,h,,Outlaws,Neutral,Neutral,event_player_1,Offensive,1,e1,3.0,5v5,,,s,1.0,0,0,Cesar Shinall,N20252026F,5.0,ST0005,,,,,,,,TB04,STR01,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,SO02,,,,1,1,1,high,DL01,SC189870223,EV1898701956,Pass,Pass_Completed,Outlaws,1,EV1898701958,Save,Save_Rebound,Velodrome,0,0.0,0.0,3.0,13.0,4.0,11.0,save,0,0,0,,67.0,,75.0,0,1.0,3.0,13.0,56.0,64.0,951.0,0,0,1,0,3.0,11,1.0,4.0,1.0,4.0,0,,HD189875412
EV1898702524,18987,3,P03,Shot,ET0001,Shot_OnNetSaved,ED0040,Shot_OneTime,ED111,True,SC01,Neutral,ZN03,SQ1898700112,PL1898711201,EC18987002524,TV1898702524,Outlaws,N10007,Velodrome,N10010,0.0,P100032,P100016,1.0,34.0,1.0,34.0,94.0,94.0,3506.0,3506.0,5306.0,2400,1800,h,,Outlaws,Neutral,Neutral,event_player_1,Offensive,1,e1,4.0,5v5,,,,,0,0,Trevor Chavez,N20252026F,5.0,,,,,,,,,TB05,STR01,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,SO02,,,,1,1,0,high,DL01,SC189870243,EV1898702523,Pass,Pass_Completed,Outlaws,1,EV1898702525,Save,Save_Freeze,Velodrome,0,1.0,0.0,12.0,54.0,18.0,81.0,save,0,0,0,,261.0,,344.0,0,2.0,3.0,10.0,16.0,31.0,781.0,0,0,1,0,2.0,2,11.0,15.0,11.0,15.0,0,,HD189875681
