scoring_chance_key,game_id,event_id,period,season_id,is_goal,event_detail,event_detail_2,danger_level,is_rush,is_rebound,is_odd_man,shot_type,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
SC_EV1896902109,18969,EV1896902109,3,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,111.0,-1.0,589.0,226.0,36.0,59.0,1383.98,,,,,,2858.9700000000003,,,,,,1383.98,1383.98,1383.98,2858.9700000000003,2858.9700000000003,2858.9700000000003
SC_EV1896901574,18969,EV1896901574,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,112.0,-1.0,588.0,225.0,37.0,58.0,1046.0,1222.99,,,,,1311.99,737.0,2858.9700000000003,,,,1134.495,1046.0,1222.99,1635.986666666667,737.0,2858.9700000000003
SC_EV1896902116,18969,EV1896902116,3,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,1.0,118.0,-1.0,582.0,219.0,43.0,52.0,1512.97,,,,,,1545.98,,,,,,1512.97,1512.97,1512.97,1545.98,1545.98,1545.98
SC_EV1896901582,18969,EV1896901582,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,1.0,-1.0,120.0,217.0,580.0,45.0,50.0,1353.97,,,,,,2693.98,1383.98,,,,,1353.97,1353.97,1353.97,2038.98,1383.98,2693.98
SC_EV1896901591,18969,EV1896901591,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,136.0,-1.0,564.0,201.0,61.0,34.0,1122.99,,,,,,2758.9700000000003,,,,,,1122.99,1122.99,1122.99,2758.9700000000003,2758.9700000000003,2758.9700000000003
SC_EV1896901605,18969,EV1896901605,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,0.0,-1.0,157.0,180.0,543.0,82.0,13.0,1233.99,,,,,,2568.98,,,,,,1233.99,1233.99,1233.99,2568.98,2568.98,2568.98
SC_EV1896902136,18969,EV1896902136,3,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,0.0,162.0,-1.0,538.0,175.0,87.0,8.0,1371.99,,,,,,2650.9700000000003,,,,,,1371.99,1371.99,1371.99,2650.9700000000003,2650.9700000000003,2650.9700000000003
SC_EV1896901616,18969,EV1896901616,2,N20252026F,False,Shot_Deflected,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,0.0,170.0,-1.0,530.0,167.0,95.0,7.0,1393.97,,,,,,1328.98,,,,,,1393.97,1393.97,1393.97,1328.98,1328.98,1328.98
SC_EV1896902156,18969,EV1896902156,3,N20252026F,False,Shot_Missed,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,1.0,2.0,183.0,-1.0,517.0,154.0,6.0,23.0,1052.99,,,,,,1442.98,,,,,,1052.99,1052.99,1052.99,1442.98,1442.98,1442.98
SC_EV1896902173,18969,EV1896902173,3,N20252026F,False,Shot_OnNetSaved,Shot_OneTime,perimeter,False,False,False,Shot_OneTime,0.0,0.0,-1.0,212.0,125.0,488.0,6.0,1.0,1328.98,,,,,,2493.98,,,,,,1328.98,1328.98,1328.98,2493.98,2493.98,2493.98
SC_EV1896901637,18969,EV1896901637,2,N20252026F,False,Shot_OnNetSaved,Shot_Snap,perimeter,False,False,False,Shot_Snap,2.0,0.0,-1.0,234.0,103.0,466.0,21.0,42.0,1265.98,1159.99,,,,,785.98,2493.98,,,,,1212.985,1159.99,1265.98,1639.98,785.98,2493.98
SC_EV1896901128,18969,EV1896901128,1,N20252026F,False,Shot_OnNetSaved,Shot_Tip,high,False,False,False,Shot_Tip,0.0,0.0,-1.0,235.0,102.0,465.0,22.0,41.0,996.0,,,,,,2493.98,,,,,,996.0,996.0,996.0,2493.98,2493.98,2493.98
SC_EV1896901134,18969,EV1896901134,1,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,-1.0,240.0,97.0,460.0,27.0,36.0,1379.98,,,,,,2493.98,804.0,,,,,1379.98,1379.98,1379.98,1648.99,804.0,2493.98
SC_EV1896901650,18969,EV1896901650,2,N20252026F,False,Shot_OnNetSaved,Shot_Wrist,perimeter,False,False,False,Shot_Wrist,0.0,0.0,251.0,-1.0,449.0,86.0,38.0,25.0,747.98,,,,,,2575.9700000000003,,,,,,747.98,747.98,747.98,2575.9700000000003,2575.9700000000003,2575.9700000000003
