qoc_key,game_id,player_id,avg_opp_rating,avg_own_rating,rating_diff,shifts_tracked,_export_timestamp
P100119_18981,18981,P100119,3.8,5.0,1.2,47,2026-01-12T23:36:32.470892
P100132_18981,18981,P100132,4.04,4.0,-0.04,30,2026-01-12T23:36:32.471285
P100138_18981,18981,P100138,3.83,3.0,-0.83,103,2026-01-12T23:36:32.471698
P100159_18981,18981,P100159,4.16,5.0,0.84,31,2026-01-12T23:36:32.472063
P100161_18981,18981,P100161,4.07,5.0,0.93,33,2026-01-12T23:36:32.472447
P100164_18981,18981,P100164,3.84,4.0,0.16,40,2026-01-12T23:36:32.472830
P100197_18981,18981,P100197,3.86,5.0,1.14,62,2026-01-12T23:36:32.473223
P100198_18981,18981,P100198,4.17,4.0,-0.17,41,2026-01-12T23:36:32.473601
P100201_18981,18981,P100201,4.04,5.0,0.96,33,2026-01-12T23:36:32.473970
P100224_18981,18981,P100224,4.09,3.0,-1.09,25,2026-01-12T23:36:32.474349
P100230_18981,18981,P100230,4.03,2.0,-2.03,38,2026-01-12T23:36:32.474717
P100001_18987,18987,P100001,4.12,6.0,1.88,49,2026-01-12T23:36:32.476386
P100002_18987,18987,P100002,4.06,4.0,-0.06,58,2026-01-12T23:36:32.476859
P100004_18987,18987,P100004,3.66,4.0,0.34,29,2026-01-12T23:36:32.477288
P100009_18987,18987,P100009,3.74,5.0,1.26,103,2026-01-12T23:36:32.477688
P100016_18987,18987,P100016,3.99,5.0,1.01,104,2026-01-12T23:36:32.478163
P100031_18987,18987,P100031,3.79,5.0,1.21,39,2026-01-12T23:36:32.478558
P100032_18987,18987,P100032,3.76,5.0,1.24,58,2026-01-12T23:36:32.478969
P100033_18987,18987,P100033,3.72,3.0,-0.71,50,2026-01-12T23:36:32.479412
P100034_18987,18987,P100034,3.73,3.0,-0.73,53,2026-01-12T23:36:32.479831
P100039_18987,18987,P100039,4.33,2.0,-2.33,27,2026-01-12T23:36:32.480238
P100064_18987,18987,P100064,4.18,3.0,-1.18,39,2026-01-12T23:36:32.480586
P100080_18987,18987,P100080,3.72,2.0,-1.72,32,2026-01-12T23:36:32.480942
P100099_18987,18987,P100099,3.65,4.0,0.35,32,2026-01-12T23:36:32.481354
P100105_18987,18987,P100105,4.02,4.0,-0.02,43,2026-01-12T23:36:32.481718
P100108_18987,18987,P100108,3.86,3.0,-0.86,56,2026-01-12T23:36:32.482096
P100128_18987,18987,P100128,3.81,5.0,1.19,44,2026-01-12T23:36:32.482478
P100132_18987,18987,P100132,3.96,4.0,0.04,35,2026-01-12T23:36:32.482832
P100170_18987,18987,P100170,3.74,4.0,0.26,47,2026-01-12T23:36:32.483219
P100185_18987,18987,P100185,3.82,6.0,2.18,49,2026-01-12T23:36:32.483589
P100198_18987,18987,P100198,4.05,4.0,-0.05,52,2026-01-12T23:36:32.483956
P100201_18987,18987,P100201,3.88,5.0,1.12,55,2026-01-12T23:36:32.484388
P100214_18987,18987,P100214,3.66,4.0,0.34,31,2026-01-12T23:36:32.484759
P100223_18987,18987,P100223,3.76,3.0,-0.76,30,2026-01-12T23:36:32.485132
P100224_18987,18987,P100224,3.81,3.0,-0.81,48,2026-01-12T23:36:32.485537
P100230_18987,18987,P100230,3.75,2.0,-1.75,46,2026-01-12T23:36:32.485905
P100232_18987,18987,P100232,3.68,2.0,-1.68,22,2026-01-12T23:36:32.486295
