shift_quality_key,game_id,player_id,shift_index,shift_duration,period,quality_score,shift_quality,strength
SQ_18969_P100016_6,18969,P100016,6,8.0,1,0.45,average,5v5
SQ_18969_P100016_7,18969,P100016,7,102.0,1,0.45,average,5v5
SQ_18969_P100016_8,18969,P100016,8,7.0,1,0.45,average,5v5
SQ_18969_P100016_9,18969,P100016,9,16.0,1,0.45,average,5v5
SQ_18969_P100016_10,18969,P100016,10,9.0,1,0.45,average,5v5
SQ_18969_P100016_11,18969,P100016,11,25.0,1,0.45,average,5v5
SQ_18969_P100016_12,18969,P100016,12,35.0,1,0.6,good,5v5
SQ_18969_P100016_13,18969,P100016,13,52.0,1,0.75,good,5v5
SQ_18969_P100016_14,18969,P100016,14,49.0,1,0.75,good,5v5
SQ_18969_P100016_15,18969,P100016,15,9.0,1,0.45,average,5v5
SQ_18969_P100016_16,18969,P100016,16,23.0,1,0.45,average,5v5
SQ_18969_P100016_17,18969,P100016,17,6.0,1,0.45,average,5v5
SQ_18969_P100016_18,18969,P100016,18,7.0,1,0.45,average,5v5
SQ_18969_P100016_19,18969,P100016,19,14.0,1,0.45,average,5v5
SQ_18969_P100016_20,18969,P100016,20,18.0,1,0.45,average,5v5
SQ_18969_P100016_21,18969,P100016,21,56.0,1,0.75,good,5v5
SQ_18969_P100016_22,18969,P100016,22,57.0,1,0.75,good,5v5
SQ_18969_P100016_23,18969,P100016,23,37.0,1,0.6,good,5v5
SQ_18969_P100016_24,18969,P100016,24,61.0,1,0.6,good,5v5
SQ_18969_P100016_25,18969,P100016,25,79.0,1,0.6,good,5v5
SQ_18969_P100016_26,18969,P100016,26,5.0,1,0.45,average,5v5
SQ_18969_P100016_27,18969,P100016,27,65.0,1,0.6,good,5v5
SQ_18969_P100016_28,18969,P100016,28,78.0,1,0.6,good,5v5
SQ_18969_P100016_29,18969,P100016,29,58.99,1,0.75,good,5v5
SQ_18969_P100016_31,18969,P100016,31,49.0,2,0.75,good,5v5
SQ_18969_P100016_32,18969,P100016,32,19.0,2,0.45,average,5v5
SQ_18969_P100016_33,18969,P100016,33,17.0,2,0.45,average,5v5
SQ_18969_P100016_34,18969,P100016,34,67.0,2,0.6,good,5v5
SQ_18969_P100016_35,18969,P100016,35,19.0,2,0.45,average,5v5
SQ_18969_P100016_36,18969,P100016,36,33.0,2,0.6,good,5v5
SQ_18969_P100016_37,18969,P100016,37,95.0,2,0.45,average,5v5
SQ_18969_P100016_38,18969,P100016,38,11.0,2,0.45,average,5v5
SQ_18969_P100016_39,18969,P100016,39,99.0,2,0.45,average,5v5
SQ_18969_P100016_40,18969,P100016,40,20.0,2,0.45,average,5v5
SQ_18969_P100016_41,18969,P100016,41,4.0,2,0.45,average,5v5
SQ_18969_P100016_42,18969,P100016,42,29.0,2,0.45,average,5v5
SQ_18969_P100016_43,18969,P100016,43,38.0,2,0.6,good,5v5
SQ_18969_P100016_44,18969,P100016,44,27.0,2,0.45,average,5v5
SQ_18969_P100016_45,18969,P100016,45,12.0,2,0.45,average,5v5
SQ_18969_P100016_46,18969,P100016,46,6.0,2,0.45,average,5v5
SQ_18969_P100016_47,18969,P100016,47,11.0,2,0.45,average,5v5
SQ_18969_P100016_48,18969,P100016,48,7.0,2,0.45,average,5v5
SQ_18969_P100016_49,18969,P100016,49,3.0,2,0.45,average,5v5
SQ_18969_P100016_50,18969,P100016,50,18.0,2,0.45,average,5v5
SQ_18969_P100016_51,18969,P100016,51,39.0,2,0.6,good,5v5
SQ_18969_P100016_52,18969,P100016,52,8.0,2,0.45,average,5v5
SQ_18969_P100016_53,18969,P100016,53,124.0,2,0.45,average,5v5
SQ_18969_P100016_54,18969,P100016,54,16.0,2,0.45,average,5v5
SQ_18969_P100016_55,18969,P100016,55,14.0,2,0.45,average,5v5
SQ_18969_P100016_56,18969,P100016,56,13.0,2,0.45,average,5v5
SQ_18969_P100016_57,18969,P100016,57,78.0,2,0.6,good,5v5
SQ_18969_P100016_58,18969,P100016,58,11.0,2,0.45,average,5v5
SQ_18969_P100016_59,18969,P100016,59,32.0,2,0.6,good,5v5
SQ_18969_P100016_60,18969,P100016,60,52.0,2,0.75,good,5v5
SQ_18969_P100016_61,18969,P100016,61,11.0,2,0.45,average,5v5
SQ_18969_P100016_62,18969,P100016,62,4.0,2,0.45,average,5v5
SQ_18969_P100016_63,18969,P100016,63,93.99,2,0.45,average,4v5
SQ_18969_P100016_65,18969,P100016,65,35.0,3,0.6,good,4v5
SQ_18969_P100016_66,18969,P100016,66,48.0,3,0.75,good,5v5
SQ_18969_P100016_67,18969,P100016,67,52.0,3,0.75,good,5v5
SQ_18969_P100016_68,18969,P100016,68,16.0,3,0.45,average,5v5
SQ_18969_P100016_69,18969,P100016,69,17.0,3,0.45,average,5v5
SQ_18969_P100016_70,18969,P100016,70,11.0,3,0.45,average,5v5
SQ_18969_P100016_71,18969,P100016,71,7.0,3,0.45,average,5v5
SQ_18969_P100016_72,18969,P100016,72,63.0,3,0.6,good,5v5
SQ_18969_P100016_73,18969,P100016,73,70.0,3,0.6,good,5v5
SQ_18969_P100016_74,18969,P100016,74,73.0,3,0.6,good,5v5
SQ_18969_P100016_75,18969,P100016,75,13.0,3,0.45,average,5v5
SQ_18969_P100016_76,18969,P100016,76,32.0,3,0.6,good,5v5
SQ_18969_P100016_77,18969,P100016,77,61.0,3,0.6,good,5v5
SQ_18969_P100016_78,18969,P100016,78,42.0,3,0.75,good,5v5
SQ_18969_P100016_79,18969,P100016,79,9.0,3,0.45,average,5v5
SQ_18969_P100016_80,18969,P100016,80,11.0,3,0.45,average,5v5
SQ_18969_P100016_81,18969,P100016,81,50.0,3,0.75,good,5v5
SQ_18969_P100016_82,18969,P100016,82,2.0,3,0.45,average,5v5
SQ_18969_P100016_83,18969,P100016,83,34.0,3,0.6,good,5v5
SQ_18969_P100016_84,18969,P100016,84,22.0,3,0.45,average,5v5
SQ_18969_P100016_85,18969,P100016,85,16.0,3,0.45,average,5v5
