player_position_key,game_id,player_id,logical_shifts,dominant_position,dominant_position_pct,forward_shifts,defense_shifts,goalie_shifts,player_name
PP1898700003,18987,P100004,10,Forward,96.7,9,0,0,Cesar Shinall
PP1898700004,18987,P100009,3,Goalie,100.0,0,0,3,Graham Peters
PP1898700005,18987,P100016,3,Goalie,100.0,0,0,3,Wyatt Crandall
PP1898700006,18987,P100031,11,Forward,100.0,11,0,0,Christopher Mihlon
PP1898700007,18987,P100032,10,Defense,100.0,0,10,0,Trevor Chavez
PP1898700008,18987,P100033,11,Defense,100.0,0,11,0,Taylor Rogalsky
PP1898700009,18987,P100034,11,Defense,100.0,0,11,0,Colin Brewster
PP1898700010,18987,P100039,9,Forward,100.0,9,0,0,Nicole Downs
PP1898700011,18987,P100064,10,Forward,100.0,10,0,0,James Rynearson
PP1898700012,18987,P100080,8,Forward,100.0,8,0,0,Steve Klyn
PP1898700013,18987,P100099,10,Forward,100.0,10,0,0,Colby Rasplicka
PP1898700014,18987,P100105,10,Defense,100.0,0,10,0,Ronnie Pinnell
PP1898700015,18987,P100108,10,Defense,100.0,0,10,0,Robert Mayfield
PP1898700016,18987,P100128,12,Forward,100.0,12,0,0,Brody Keene
PP1898700017,18987,P100132,11,Forward,100.0,11,0,0,Nick Ciampoli
PP1898700018,18987,P100170,10,Defense,100.0,0,10,0,Kennen Newsham
PP1898700019,18987,P100185,12,Forward,100.0,12,0,0,Samson Leifer
PP1898700020,18987,P100198,10,Defense,100.0,0,10,0,Maxwell Donaty
PP1898700021,18987,P100201,11,Forward,100.0,11,0,0,Garrett Ashcroft
PP1898700022,18987,P100214,10,Forward,100.0,10,0,0,Ryan Kiehl
PP1898700023,18987,P100223,8,Forward,100.0,8,0,0,Richie Villanueva
PP1898700024,18987,P100224,9,Forward,100.0,9,0,0,Kaitlyn Shain
PP1898700025,18987,P100230,9,Forward,100.0,9,0,0,Jennifer Valente
PP1898700026,18987,P100232,7,Forward,100.0,7,0,0,Philip Kerchner
