event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,puck_x_start,puck_y_start,puck_x_end,puck_y_end,player_x,player_y,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,penalty_key
EV1898102220,18981,3,P03,Penalty,ET0008,Penalty_Minor,,Penalty_Tripping,ED244,,,,,SQ1898100084,PL1898108413,EC18981002220,TV1898102220,SH1898100102,,Nelson,N10004,Velodrome,N10010,0.0,P100079,,3.0,20.0,,,200.0,200.0,3177.0,3182.0,3182.0,2302.0,142.0,Home,h,Nelson,,,event_player_1,Offensive,1,e,44.0,5v5,,,,,,,,,,,0,,Joe Lopez,N20252026F,4.0,,,,,,,,,TB04,STR0004,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,,,,PN189814175
EV1898102223,18981,3,P03,Faceoff,ET0004,Faceoff_AfterPenalty,,,,,,,,SQ1898100087,PL1898108701,EC18981002223,TV1898102223,SH1898100102,,Nelson,N10004,Velodrome,N10010,0.0,"P100066,P100074",P100001,2.0,54.0,,,174.0,174.0,3203.0,3208.0,3208.0,2302.0,142.0,Home,h,Nelson,,,event_player_1,Offensive,1,e,79.0,5v5,,,,,,,,,,,0,,Brock Lofgren,N20252026F,4.0,,,,,,,,,TB04,STR0004,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0,0,0,,,,PN189814178
EV1898102270,18981,3,P03,Penalty,ET0008,Penalty_Minor,,Penalty_Roughing,ED243,,,,,SQ1898100089,PL1898108905,EC18981002270,TV1898102270,SH1898100104,,Nelson,N10004,Velodrome,N10010,0.0,P100159,,0.0,46.0,,,46.0,46.0,3331.0,3336.0,3336.0,2302.0,142.0,Away,a,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,87.0,5v5,,,,,,,,,,,0,,Josh Cronk,N20252026F,5.0,,,,,,,,,TB05,STR0004,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,,,,PN189814225
EV1898102271,18981,3,P03,Penalty,ET0008,Penalty_Minor,,Penalty_Roughing,ED243,,,,,SQ1898100090,PL1898109001,EC18981002271,TV1898102271,SH1898100104,,Nelson,N10004,Velodrome,N10010,0.0,P100197,,0.0,46.0,,,46.0,46.0,3331.0,3336.0,3336.0,2302.0,142.0,Home,h,Nelson,,,event_player_1,Offensive,1,e,80.0,5v5,,,,,,,,,,,0,,Samuel Yetsko,N20252026F,5.0,,,,,,,,,TB05,STR0004,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,,,,PN189814226
EV1898102274,18981,3,P03,Faceoff,ET0004,Faceoff_AfterPenalty,,,,,,,,SQ1898100093,PL1898109301,EC18981002274,TV1898102274,SH1898100105,,Nelson,N10004,Velodrome,N10010,0.0,"P100001,P100201",P100078,0.0,46.0,,,46.0,46.0,3393.0,3398.0,3398.0,2364.0,204.0,Away,a,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,42.0,5v5,,,,,,,,,,,0,,Garrett Ashcroft,N20252026F,4.0,,,,,,,,,TB05,STR0004,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0,0,0,,,,PN189814229
EV1898701422,18987,1,P01,Penalty,ET0008,Penalty_Minor,,Penalty_Tripping,ED244,,,,,SQ1898700082,PL1898708201,EC18987001422,TV1898709075,,LV1898709075,Outlaws,N10007,Velodrome,N10010,0.0,P100002,P100185,6.0,25.0,,,385.0,385.0,690.0,695.0,695.0,0.0,0.0,Away,h,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,91.0,5v5,,,,1.0,,,,,,,0,,Kevin White,N20252026F,4.0,,,,,,,,,TB03,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,1,,,,PN189874672
EV1898701425,18987,1,P01,Faceoff,ET0004,Faceoff_AfterPenalty,,,,,,,,SQ1898700009,PL1898700901,EC18987001425,TV1898701425,SH1898700032,,Outlaws,N10007,Velodrome,N10010,0.0,P100185,P100201,5.0,50.0,,,350.0,350.0,725.0,730.0,730.0,0.0,0.0,Away,a,Outlaws,Neutral,Neutral,event_player_1,Offensive,1,e,77.0,5v5,,,,,,,,,,,0,,Samson Leifer,N20252026F,4.0,,,,,,,,,TB03,STR0004,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0,0,0,,,,PN189874675
EV1898702323,18987,3,P03,Penalty,ET0008,Penalty_Minor,,Penalty_Tripping,ED244,,,,,SQ1898700123,PL1898712301,EC18987002323,TV1898709202,SH1898700089,LV1898709202,Outlaws,N10007,Velodrome,N10010,0.0,P100064,P100185,10.0,49.0,,,649.0,649.0,2729.0,2734.0,2734.0,2303.0,143.0,Away,h,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,55.0,5v5,Defensive_PlayZone_PuckRecoveryPass,,u,1.0,,,,,,,0,,James Rynearson,N20252026F,4.0,,,,,,,,,TB02,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,1,,,,PN189875551
EV1898702325,18987,3,P03,Faceoff,ET0004,Faceoff_AfterPenalty,,,,,,,,SQ1898700056,PL1898705601,EC18987002325,TV1898702325,SH1898700090,,Outlaws,N10007,Velodrome,N10010,0.0,"P100001,P100108",P100004,10.0,10.0,,,610.0,610.0,2768.0,2773.0,2773.0,2303.0,143.0,Away,h,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,70.0,5v5,,,,,,,,,,,0,,Sam Downs,N20252026F,4.0,,,,,,,,,TB02,STR0004,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0,0,0,,,,PN189875553
EV1898702601,18987,3,P03,Penalty,ET0008,Penalty_Minor,,Penalty_Tripping,ED244,,,,,SQ1898700145,PL1898714501,EC18987002601,TV1898709248,SH1898700106,LV1898709248,Outlaws,N10007,Velodrome,N10010,0.0,P100198,,0.0,11.0,,,11.0,11.0,3367.0,3372.0,3372.0,2303.0,143.0,Away,h,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e,84.0,5v5,,,,,,,,,,,0,,Maxwell Donaty,N20252026F,5.0,,,,,,,,,TB05,STR0001,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,,,,PN189875828
