special_teams_key,team_id,games_played,total_corsi_for,total_corsi_against,total_cf_pct,total_xg_for
ST10010,N10010,4,938,1238,171.8,11.16
ST10008,N10008,1,350,213,62.2,4.5
ST10003,N10003,1,335,295,53.2,4.02
ST10004,N10004,1,295,184,61.6,3.72
ST10007,N10007,1,294,240,55.1,3.66
