rink_zone_id,zone_code,zone_name,granularity,x_min,x_max,y_min,y_max,zone,danger,side,x_description,y_description
GZ160,grid_170_60,"Grid (170,60)",grid,170,180,60.0,70.0,O,medium,right,170-180ft,60-70ft
GZ161,grid_170_70,"Grid (170,70)",grid,170,180,70.0,80.0,O,low,right,170-180ft,70-80ft
GZ162,grid_170_80,"Grid (170,80)",grid,170,180,80.0,85.0,O,low,right,170-180ft,80-85ft
GZ163,grid_180_0,"Grid (180,0)",grid,180,190,0.0,10.0,O,low,left,180-190ft,0-10ft
GZ164,grid_180_10,"Grid (180,10)",grid,180,190,10.0,20.0,O,low,left,180-190ft,10-20ft
GZ165,grid_180_20,"Grid (180,20)",grid,180,190,20.0,30.0,O,low,left,180-190ft,20-30ft
GZ166,grid_180_30,"Grid (180,30)",grid,180,190,30.0,40.0,O,medium,center,180-190ft,30-40ft
GZ167,grid_180_40,"Grid (180,40)",grid,180,190,40.0,50.0,O,high,center,180-190ft,40-50ft
GZ168,grid_180_50,"Grid (180,50)",grid,180,190,50.0,60.0,O,high,right,180-190ft,50-60ft
GZ169,grid_180_60,"Grid (180,60)",grid,180,190,60.0,70.0,O,medium,right,180-190ft,60-70ft
GZ170,grid_180_70,"Grid (180,70)",grid,180,190,70.0,80.0,O,low,right,180-190ft,70-80ft
GZ171,grid_180_80,"Grid (180,80)",grid,180,190,80.0,85.0,O,low,right,180-190ft,80-85ft
GZ172,grid_190_0,"Grid (190,0)",grid,190,200,0.0,10.0,O,low,left,190-200ft,0-10ft
GZ173,grid_190_10,"Grid (190,10)",grid,190,200,10.0,20.0,O,low,left,190-200ft,10-20ft
GZ174,grid_190_20,"Grid (190,20)",grid,190,200,20.0,30.0,O,low,left,190-200ft,20-30ft
GZ175,grid_190_30,"Grid (190,30)",grid,190,200,30.0,40.0,O,medium,center,190-200ft,30-40ft
GZ176,grid_190_40,"Grid (190,40)",grid,190,200,40.0,50.0,O,high,center,190-200ft,40-50ft
GZ177,grid_190_50,"Grid (190,50)",grid,190,200,50.0,60.0,O,high,right,190-200ft,50-60ft
GZ178,grid_190_60,"Grid (190,60)",grid,190,200,60.0,70.0,O,medium,right,190-200ft,60-70ft
GZ179,grid_190_70,"Grid (190,70)",grid,190,200,70.0,80.0,O,low,right,190-200ft,70-80ft
GZ180,grid_190_80,"Grid (190,80)",grid,190,200,80.0,85.0,O,low,right,190-200ft,80-85ft
