shot_player_key,event_id,game_id,player_id,player_name,player_role,is_shooter_team,is_shooter,player_x,player_y,distance_to_shooter,distance_to_puck,distance_to_net,is_in_vision_cone,is_in_puck_path,distance_to_goalie,distance_to_shot_path,angular_coverage_degrees,distance_factor,screen_score,is_screening,screen_type,_export_timestamp
SHP18969013360070,EV1896901336,18969,P100070,Hayden Perea,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.058278
SHP18969013120001,EV1896901312,18969,P100001,Sam Downs,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.058520
SHP18969013120025,EV1896901312,18969,P100025,Andrew Marshall,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.058550
SHP18969013060030,EV1896901306,18969,P100030,Jesse Chambless,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.058783
SHP18969013060222,EV1896901306,18969,P100222,Joshua Blumberg,event_player_2,True,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.058813
SHP18969013020030,EV1896901302,18969,P100030,Jesse Chambless,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.059055
SHP18969013020224,EV1896901302,18969,P100224,Kaitlyn Shain,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.059089
SHP18969013020002,EV1896901302,18969,P100002,Kevin White,opp_player_2,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.059121
SHP18969012960192,EV1896901296,18969,P100192,Chris Premo,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.059362
SHP18969012960105,EV1896901296,18969,P100105,Ronnie Pinnell,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.059396
SHP18969012860210,EV1896901286,18969,P100210,Josh Simonds,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.059665
SHP18969012860016,EV1896901286,18969,P100016,Wyatt Crandall,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.059703
SHP18969012860093,EV1896901286,18969,P100093,Pat Major,opp_player_2,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.059732
SHP18969012840192,EV1896901284,18969,P100192,Chris Premo,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.059967
SHP18969012840105,EV1896901284,18969,P100105,Ronnie Pinnell,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.059997
SHP18969012260070,EV1896901226,18969,P100070,Hayden Perea,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.060244
SHP18969012260202,EV1896901226,18969,P100202,Francis Forte,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.060275
SHP18969012260022,EV1896901226,18969,P100022,Chris Dube,opp_player_2,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.060306
SHP18969012180201,EV1896901218,18969,P100201,Garrett Ashcroft,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.060555
SHP18969012180202,EV1896901218,18969,P100202,Francis Forte,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.060585
SHP18969012180107,EV1896901218,18969,P100107,Matt Quinn,opp_player_2,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.060615
SHP18969012030039,EV1896901203,18969,P100039,Nicole Downs,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.060869
SHP18969012030023,EV1896901203,18969,P100023,Alex Considine,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.060899
SHP18969011890117,EV1896901189,18969,P100117,Keegan Mantaro,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.061146
SHP18969011890016,EV1896901189,18969,P100016,Wyatt Crandall,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.061174
SHP18969011890198,EV1896901189,18969,P100198,Maxwell Donaty,opp_player_2,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.061201
SHP18969011900117,EV1896901190,18969,P100117,Keegan Mantaro,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.061459
SHP18969011900016,EV1896901190,18969,P100016,Wyatt Crandall,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.061490
SHP18969011900198,EV1896901190,18969,P100198,Maxwell Donaty,opp_player_2,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.061522
SHP18969011760024,EV1896901176,18969,P100024,John Thien,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.061773
SHP18969011760016,EV1896901176,18969,P100016,Wyatt Crandall,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.061804
SHP18969011580001,EV1896901158,18969,P100001,Sam Downs,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.062043
SHP18969011580202,EV1896901158,18969,P100202,Francis Forte,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.062073
SHP18969011580030,EV1896901158,18969,P100030,Jesse Chambless,opp_player_2,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.062102
SHP18969011510192,EV1896901151,18969,P100192,Chris Premo,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.062333
SHP18969011510105,EV1896901151,18969,P100105,Ronnie Pinnell,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.062365
SHP18969011340030,EV1896901134,18969,P100030,Jesse Chambless,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.062619
SHP18969011340016,EV1896901134,18969,P100016,Wyatt Crandall,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.062648
SHP18969011340064,EV1896901134,18969,P100064,James Rynearson,opp_player_2,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.062674
SHP18969011280222,EV1896901128,18969,P100222,Joshua Blumberg,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.062927
SHP18969011280016,EV1896901128,18969,P100016,Wyatt Crandall,opp_player_1,False,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.062957
SHP18969010430023,EV1896901043,18969,P100023,Alex Considine,event_player_1,True,True,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063196
SHP18969010430022,EV1896901043,18969,P100022,Chris Dube,event_player_2,True,False,,,,,,False,False,,,,,0.0,False,none,2026-01-13T11:03:21.063226
