box_id,box_id_rev,x_min,x_max,y_min,y_max,y_description,x_description,danger,slot,zone,side,dotside,depth
OZ46,DZ46,61.5,69.0,-30.0,-22.5,half way to dot to dot,dot to half way to dot,low,outside wide,offensive,right,outside dots,below top of circle
OZ47,DZ47,61.5,69.0,-22.5,-15.0,dot to half way to dot,dot to half way to dot,mid,outer slot,offensive,right,inside dots,below top of circle
OZ48,DZ48,61.5,69.0,-15.0,-7.5,half way to dot to hash,dot to half way to dot,mid,outer slot,offensive,right,inside dots,below top of circle
OZ49,DZ49,61.5,69.0,-7.5,-5.5,hash to post,dot to half way to dot,mid,high inner slot,offensive,center,inside hash marks,below top of circle
OZ50,DZ50,61.5,69.0,-5.5,5.5,post to post,dot to half way to dot,mid,high inner slot,offensive,center,inside hash marks,below top of circle
OZ51,DZ51,61.5,69.0,5.5,7.5,hash to post,dot to half way to dot,mid,high inner slot,offensive,center,inside dots,below top of circle
OZ52,DZ52,61.5,69.0,7.5,15.0,hash to half way to dot,dot to half way to dot,mid,outer slot,offensive,left,inside dots,below top of circle
OZ53,DZ53,61.5,69.0,15.0,22.5,half way to dot to dot,dot to half way to dot,mid,outer slot,offensive,left,outside dots,below top of circle
OZ54,DZ54,61.5,69.0,22.5,30.0,dot to half way to dot,dot to half way to dot,low,outside wide,offensive,left,outside dots,below top of circle
OZ55,DZ55,61.5,69.0,30.0,37.5,half way to dot to hash,dot to half way to dot,low,outside wide,offensive,left,outside dots,below top of circle
OZ56,DZ56,61.5,69.0,37.5,42.5,hash to boards,dot to half way to dot,low,outside wide,offensive,left,outside dots,below top of circle
OZ57,DZ57,54.0,61.5,-42.5,-37.5,boards to hash,half way to dot to top of circle,low,outside wide,offensive,right,outside dots,below top of circle
OZ58,DZ58,54.0,61.5,-37.5,-30.0,hash to half way to dot,half way to dot to top of circle,low,outside wide,offensive,right,outside dots,below top of circle
OZ59,DZ59,54.0,61.5,-30.0,-22.5,half way to dot to dot,half way to dot to top of circle,low,outside wide,offensive,right,outside dots,below top of circle
OZ60,DZ60,54.0,61.5,-22.5,-15.0,dot to half way to dot,half way to dot to top of circle,mid,outer slot,offensive,right,inside dots,below top of circle
OZ61,DZ61,54.0,61.5,-15.0,-7.5,half way to dot to hash,half way to dot to top of circle,mid,outer slot,offensive,right,inside dots,below top of circle
OZ62,DZ62,54.0,61.5,-7.5,-5.5,hash to post,half way to dot to top of circle,mid,high inner slot,offensive,center,inside hash marks,below top of circle
OZ63,DZ63,54.0,61.5,-5.5,5.5,post to post,half way to dot to top of circle,mid,high inner slot,offensive,center,inside hash marks,below top of circle
