shot_event_key,event_id,game_id,period,event_type,event_detail,is_goal,shooter_player_id,shooter_name,shooter_team_id,shot_x,shot_y,shot_distance,shot_angle,friendly_screen_score,own_team_screen_score,total_screen_score,screen_count,is_screened,net_target_x,net_target_y,net_location_id,_export_timestamp
SHE1896901151,EV1896901151,18969,1,Shot,Shot_Missed,False,P100192,Chris Premo,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.606174
SHE1896901134,EV1896901134,18969,1,Shot,Shot_OnNetSaved,False,P100030,Jesse Chambless,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.608595
SHE1896901128,EV1896901128,18969,1,Shot,Shot_OnNetSaved,False,P100222,Joshua Blumberg,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.611040
SHE1896901043,EV1896901043,18969,1,Shot,Shot_OnNetSaved,False,P100023,Alex Considine,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.613366
SHE1896901032,EV1896901032,18969,1,Shot,Shot_OnNetSaved,False,P100024,John Thien,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.615628
SHE1896901029,EV1896901029,18969,1,Shot,Shot_BlockedSameTeam,False,P100030,Jesse Chambless,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.617891
SHE1896901027,EV1896901027,18969,1,Shot,Shot_Missed,False,P100192,Chris Premo,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.620163
SHE1896901012,EV1896901012,18969,1,Shot,Shot_Blocked,False,P100161,Galen Wood,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.622481
SHE1896902030,EV1896902030,18969,2,Shot,Shot_Blocked,False,P100108,Robert Mayfield,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.624742
SHE1896901974,EV1896901974,18969,2,Shot,Shot_Goal,False,P100022,Chris Dube,,,,,,0.0,0.0,0.0,0,False,,,,2026-01-12T23:37:15.627001
