game_id,season,season_id,game_url,date,game_time,home_team_name,away_team_name,home_team_id,away_team_id,head_to_head_id,game_type,playoff_round,last_period_type,period_length,ot_period_length,shootout_rounds,home_total_goals,away_total_goals,home_team_period1_goals,home_team_period2_goals,home_team_period3_goals,home_team_periodOT_goals,away_team_period1_goals,away_team_period2_goals,away_team_period3_goals,away_team_periodOT_goals,home_team_seeding,away_team_seeding,home_team_w,home_team_l,home_team_t,home_team_pts,away_team_w,away_team_l,away_team_t,away_team_pts
18048,20242025,N20242025F,https://www.noradhockey.com/event/18048/,2025-03-09 00:00:00,,OS Offices,Platinum,N10005,N10008,N10005_N10008,Regular,,Regulation,00:18:00,00:00:00,0,3,6,3,0,0,0,3,3,0,0,,,0,1,0,0,1,0,0,2
18046,20242025,N20242025F,https://www.noradhockey.com/event/18046/,2025-03-02 00:00:00,,Nelson,Outlaws,N10004,N10007,N10004_N10007,Regular,,Regulation,00:18:00,00:00:00,0,6,3,2,1,3,0,1,1,1,0,,,1,0,0,2,0,1,0,0
18045,20242025,N20242025F,https://www.noradhockey.com/event/18045/,2025-03-02 00:00:00,,AMOS,Orphans,N10001,N10006,N10001_N10006,Regular,,Regulation,00:18:00,00:00:00,0,7,5,2,2,3,0,4,1,0,0,,,1,0,0,2,0,1,0,0
18044,20242025,N20242025F,https://www.noradhockey.com/event/18044/,2025-03-02 00:00:00,,OS Offices,Ace,N10005,N10002,N10002_N10005,Regular,,Regulation,00:18:00,00:00:00,0,3,4,1,0,2,0,2,1,1,0,,,0,1,0,0,1,0,0,2
18043,20242025,N20242025F,https://www.noradhockey.com/event/18043/,2025-03-02 00:00:00,,Platinum,Triple J,N10008,N10009,N10008_N10009,Regular,,Regulation,00:18:00,00:00:00,0,3,1,3,0,0,0,0,1,0,0,,,1,0,0,2,0,1,0,0
18041,20242025,N20242025F,https://www.noradhockey.com/event/18041/,2025-02-23 00:00:00,,AMOS,HollowBrook,N10001,N10003,N10001_N10003,Regular,,Regulation,00:18:00,00:00:00,0,6,5,1,3,2,0,3,0,2,0,,,1,0,0,2,0,1,0,0
18040,20242025,N20242025F,https://www.noradhockey.com/event/18040/,2025-02-23 00:00:00,,OS Offices,Outlaws,N10005,N10007,N10005_N10007,Regular,,Regulation,00:18:00,00:00:00,0,2,2,1,0,1,0,1,1,0,0,,,0,0,1,1,0,0,1,1
18039,20242025,N20242025F,https://www.noradhockey.com/event/18039/,2025-02-23 00:00:00,,Platinum,Orphans,N10008,N10006,N10006_N10008,Regular,,Regulation,00:18:00,00:00:00,0,5,5,1,2,2,0,2,2,1,0,,,0,0,1,1,0,0,1,1
18038,20242025,N20242025F,https://www.noradhockey.com/event/18038/,2025-02-23 00:00:00,,Triple J,Ace,N10009,N10002,N10002_N10009,Regular,,Regulation,00:18:00,00:00:00,0,4,1,3,0,1,0,0,1,0,0,,,1,0,0,2,0,1,0,0
18036,20242025,N20242025F,https://www.noradhockey.com/event/18036/,2025-02-09 00:00:00,,OS Offices,Nelson,N10005,N10004,N10004_N10005,Regular,,Regulation,00:18:00,00:00:00,0,2,4,1,1,0,0,1,3,0,0,,,0,1,0,0,1,0,0,2
18035,20242025,N20242025F,https://www.noradhockey.com/event/18035/,2025-02-09 00:00:00,,Platinum,HollowBrook,N10008,N10003,N10003_N10008,Regular,,Regulation,00:18:00,00:00:00,0,2,2,1,0,1,0,1,0,1,0,,,0,0,1,1,0,0,1,1
18034,20242025,N20242025F,https://www.noradhockey.com/event/18034/,2025-02-09 00:00:00,,Triple J,Outlaws,N10009,N10007,N10007_N10009,Regular,,Regulation,00:18:00,00:00:00,0,4,9,2,1,1,0,6,2,1,0,,,0,1,0,0,1,0,0,2
18033,20242025,N20242025F,https://www.noradhockey.com/event/18033/,2025-02-09 00:00:00,,Ace,Orphans,N10002,N10006,N10002_N10006,Regular,,Regulation,00:18:00,00:00:00,0,7,4,1,3,3,0,2,1,1,0,,,1,0,0,2,0,1,0,0
18031,20242025,N20242025F,https://www.noradhockey.com/event/18031/,2025-02-02 00:00:00,,Platinum,AMOS,N10008,N10001,N10001_N10008,Regular,,Regulation,00:18:00,00:00:00,0,3,4,1,1,1,0,2,2,0,0,,,0,1,0,0,1,0,0,2
18030,20242025,N20242025F,https://www.noradhockey.com/event/18030/,2025-02-02 00:00:00,,Triple J,Nelson,N10009,N10004,N10004_N10009,Regular,,Regulation,00:18:00,00:00:00,0,2,5,2,0,0,0,1,0,4,0,,,0,1,0,0,1,0,0,2
18029,20242025,N20242025F,https://www.noradhockey.com/event/18029/,2025-02-02 00:00:00,,Ace,HollowBrook,N10002,N10003,N10002_N10003,Regular,,Regulation,00:18:00,00:00:00,0,4,8,1,0,3,0,2,4,2,0,,,0,1,0,0,1,0,0,2
18028,20242025,N20242025F,https://www.noradhockey.com/event/18028/,2025-02-02 00:00:00,,Orphans,Outlaws,N10006,N10007,N10006_N10007,Regular,,Regulation,00:18:00,00:00:00,0,5,4,1,1,3,0,2,1,1,0,,,1,0,0,2,0,1,0,0
18025,20242025,N20242025F,https://www.noradhockey.com/event/18025/,2025-01-26 00:00:00,,Ace,AMOS,N10002,N10001,N10001_N10002,Regular,,Regulation,00:18:00,00:00:00,0,2,8,2,0,0,0,5,1,2,0,,,0,1,0,0,1,0,0,2
