qa_key,game_id,has_events,has_shifts,has_rosters,is_complete,check_date
QA_COMPLETE_18969,18969,True,True,True,True,2026-01-13T11:03:10.470932
QA_COMPLETE_18977,18977,True,True,True,True,2026-01-13T11:03:10.470935
QA_COMPLETE_18981,18981,True,True,True,True,2026-01-13T11:03:10.470936
QA_COMPLETE_18987,18987,True,True,True,True,2026-01-13T11:03:10.470936
