play_detail_id,play_detail_code,play_detail_name,play_category,skill_level,description
PD0053,Defensive_PlayZone-PuckRetrievalShot,Defensive PlayZone PuckRetrievalShot,Other,Standard,Micro-play action describing HOW the event was executed
PD0054,Defensive_PlayZone-ZoneEntryDenial,Defensive PlayZone ZoneEntryDenial,Other,Standard,Micro-play action describing HOW the event was executed
PD0055,Defensive_Zone-AttemptedBreakOutClear,Defensive Zone AttemptedBreakOutClear,Other,Standard,Micro-play action describing HOW the event was executed
PD0056,Defensive_Zone-AttemptedBreakOutPass,Defensive Zone AttemptedBreakOutPass,Other,Standard,Micro-play action describing HOW the event was executed
PD0057,Defensive_Zone-AttemptedBreakOutRush,Defensive Zone AttemptedBreakOutRush,Transition,Standard,Micro-play action describing HOW the event was executed
PD0058,Defensive_Zone-CededZoneEntry,Defensive Zone CededZoneEntry,Other,Standard,Micro-play action describing HOW the event was executed
PD0059,DeflectedShot,DeflectedShot,Other,Standard,Micro-play action describing HOW the event was executed
PD0060,Deke,Deke,Offensive,High,Micro-play action describing HOW the event was executed
PD0061,Delay,Delay,Other,Standard,Micro-play action describing HOW the event was executed
PD0062,DriveCorner,DriveCorner,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0063,DriveMiddle,DriveMiddle,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0064,DriveNetMiddle,DriveNetMiddle,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0065,DriveWide,DriveWide,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0066,Dump/RimInZone,Dump/RimInZone,Other,Standard,Micro-play action describing HOW the event was executed
PD0067,DumpChase,DumpChase,Other,Standard,Micro-play action describing HOW the event was executed
PD0068,DumpInAttempt,DumpInAttempt,Other,Standard,Micro-play action describing HOW the event was executed
PD0069,ForceWide,ForceWide,Other,Standard,Micro-play action describing HOW the event was executed
PD0070,ForcedDumpin/Clear,ForcedDumpin/Clear,Other,Standard,Micro-play action describing HOW the event was executed
PD0071,ForcedTurnover,ForcedTurnover,Other,Standard,Micro-play action describing HOW the event was executed
PD0072,FrontofNet,FrontofNet,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0073,GiveAndGo,GiveAndGo,Other,Standard,Micro-play action describing HOW the event was executed
PD0074,InShotPassLane,InShotPassLane,Other,Standard,Micro-play action describing HOW the event was executed
PD0075,LoosePuckBattleLost,LoosePuckBattleLost,Other,Standard,Micro-play action describing HOW the event was executed
PD0076,LoosePuckBattleWon,LoosePuckBattleWon,Other,Standard,Micro-play action describing HOW the event was executed
PD0077,LostPuck,LostPuck,Other,Standard,Micro-play action describing HOW the event was executed
PD0078,ManOnMan,ManOnMan,Other,Standard,Micro-play action describing HOW the event was executed
PD0079,OffensivePlay_Pass-AssistPrimary,OffensivePlay Pass AssistPrimary,Other,Standard,Micro-play action describing HOW the event was executed
PD0080,OffensivePlay_Pass-AssistSecondary,OffensivePlay Pass AssistSecondary,Other,Standard,Micro-play action describing HOW the event was executed
PD0081,OffensivePlay_Pass-GiveAndGo,OffensivePlay Pass GiveAndGo,Other,Standard,Micro-play action describing HOW the event was executed
PD0082,OffensivePlay_Pass-QuickUp,OffensivePlay Pass QuickUp,Other,Medium,Micro-play action describing HOW the event was executed
PD0083,OffensivePlay_Pass-ReceiverMissed,OffensivePlay Pass ReceiverMissed,Other,Standard,Micro-play action describing HOW the event was executed
PD0084,OffensivePlay_Pass-Reverse,OffensivePlay Pass Reverse,Other,Standard,Micro-play action describing HOW the event was executed
PD0085,OffensivePlay_Pass-SecondTouch,OffensivePlay Pass SecondTouch,Other,Standard,Micro-play action describing HOW the event was executed
PD0086,OffensivePlay_Possession-Chip,OffensivePlay Possession Chip,Other,Standard,Micro-play action describing HOW the event was executed
PD0087,OffensivePlay_Possession-CrashNet,OffensivePlay Possession CrashNet,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0088,OffensivePlay_Possession-CutBack,OffensivePlay Possession CutBack,Other,Standard,Micro-play action describing HOW the event was executed
PD0089,OffensivePlay_Possession-Deke,OffensivePlay Possession Deke,Offensive,High,Micro-play action describing HOW the event was executed
PD0090,OffensivePlay_Possession-Delay,OffensivePlay Possession Delay,Other,Standard,Micro-play action describing HOW the event was executed
PD0091,OffensivePlay_Possession-DriveCorner,OffensivePlay Possession DriveCorner,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0092,OffensivePlay_Possession-DriveMiddle,OffensivePlay Possession DriveMiddle,Offensive,Standard,Micro-play action describing HOW the event was executed
PD0093,OffensivePlay_Possession-DriveNetMiddle,OffensivePlay Possession DriveNetMiddle,Offensive,Standard,Micro-play action describing HOW the event was executed
