position_code,position_name,position_type,is_forward,is_defense,is_goalie,_updated_timestamp,_export_timestamp
C,Center,Forward,1,0,0,2025-12-20T00:43:12.607677,2025-12-20T01:05:41.297944
LW,Left Wing,Forward,1,0,0,2025-12-20T00:43:12.607677,2025-12-20T01:05:41.297944
RW,Right Wing,Forward,1,0,0,2025-12-20T00:43:12.607677,2025-12-20T01:05:41.297944
F,Forward,Forward,1,0,0,2025-12-20T00:43:12.607677,2025-12-20T01:05:41.297944
D,Defense,Defense,0,1,0,2025-12-20T00:43:12.607677,2025-12-20T01:05:41.297944
LD,Left Defense,Defense,0,1,0,2025-12-20T00:43:12.607677,2025-12-20T01:05:41.297944
RD,Right Defense,Defense,0,1,0,2025-12-20T00:43:12.607677,2025-12-20T01:05:41.297944
G,Goalie,Goalie,0,0,1,2025-12-20T00:43:12.607677,2025-12-20T01:05:41.297944
