event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,player_rating,cycle_key,is_cycle,is_rebound,is_zone_entry,is_zone_exit,is_controlled_entry,is_carried_entry,is_controlled_exit,is_carried_exit,is_rush,is_save,is_turnover,is_giveaway,is_bad_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_tipped,is_sog,is_corsi,is_fenwick,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,prev_event_id,prev_event_type,prev_event_detail,prev_event_team,prev_event_same_team,next_event_id,next_event_type,next_event_detail,next_event_team,next_event_same_team,time_since_prev,time_to_next,time_to_next_sog,time_since_last_sog,events_to_next_sog,events_since_last_sog,next_sog_result,led_to_sog,is_pre_shot_event,is_shot_assist,time_to_next_goal,time_since_last_goal,events_to_next_goal,events_since_last_goal,led_to_goal,time_since_zone_entry,events_since_zone_entry,time_since_zone_exit,sequence_event_num,sequence_total_events,sequence_duration,is_sequence_first,is_sequence_last,sequence_has_sog,sequence_has_goal,sequence_shot_count,consecutive_team_events,time_since_possession_change,events_since_possession_change,time_since_faceoff,events_since_faceoff,is_rush_calculated,time_from_entry_to_shot,faceoff_key,faceoff_type,time_to_next_event,time_from_last_event,time_to_next_goal_for,time_to_next_goal_against,time_from_last_goal_for,time_from_last_goal_against,time_to_next_stoppage,time_from_last_stoppage,event_player_1_toi,event_player_2_toi,event_player_3_toi,event_player_4_toi,event_player_5_toi,event_player_6_toi,opp_player_1_toi,opp_player_2_toi,opp_player_3_toi,opp_player_4_toi,opp_player_5_toi,opp_player_6_toi,team_on_ice_toi_avg,team_on_ice_toi_min,team_on_ice_toi_max,opp_on_ice_toi_avg,opp_on_ice_toi_min,opp_on_ice_toi_max
EV1896901387,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Offensive,ZN01,SQ1896900033,PL1896903301,EC18969001387,TV1896901387,Platinum,N10008,Velodrome,N10010,0.0,"P100107,P100192",P100201,4.0,13.0,4.0,13.0,253.0,253.0,947.0,947.0,947.0,0,0,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,53.0,5v5,,,,,0,0,Chris Premo,N20252026F,4.0,,,,,,,,,TB04,STR01,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901943,DeadIce,,Velodrome,0,EV1896901388,Shot,Shot_Missed,Platinum,1,7.0,0.0,5.0,7.0,3.0,4.0,save,0,0,0,50.0,95.0,85.0,125.0,0,10.0,5.0,14.0,2.0,2.0,12.0,0,1,0,0,0.0,1,13.0,11.0,13.0,11.0,0,,FO189691249,after_stoppage,0.0,5.0,423.0,95.0,52.0,50.0,7.0,6.0,404.99,321.0,,,,,380.99,,,,,,362.995,321.0,404.99,380.99,380.99,380.99
EV1896902462,18969,3,P03,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Offensive,ZN01,SQ1896900127,PL1896912701,EC18969002462,TV1896902462,Platinum,N10008,Velodrome,N10010,0.0,"P100022,P100117",P100201,4.0,8.0,4.0,8.0,248.0,248.0,3352.0,3352.0,5152.0,2400,1800,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,45.0,5v5,,,,,0,0,Keegan Mantaro,N20252026F,5.0,,,,,,,,,TB04,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901388,Shot,Shot_Missed,Platinum,1,EV1896902463,Shot,Shot_OnNetSaved,Platinum,1,5.0,0.0,0.0,12.0,1.0,6.0,save,0,0,0,45.0,100.0,83.0,127.0,0,15.0,7.0,19.0,2.0,2.0,24.0,0,1,0,0,0.0,3,5.0,2.0,5.0,2.0,0,,FO189691251,after_stoppage,5.0,0.0,428.0,100.0,47.0,45.0,12.0,1.0,368.99,515.97,,,,,380.99,,,,,,442.48,368.99,515.97,380.99,380.99,380.99
EV1896901944,18969,2,P02,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Offensive,ZN01,SQ1896900075,PL1896907501,EC18969001944,TV1896901944,Platinum,N10008,Velodrome,N10010,0.0,P100192,P100201,3.0,57.0,3.0,57.0,237.0,237.0,2163.0,2163.0,3063.0,1200,900,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,53.0,5v5,,,,,0,0,Chris Premo,N20252026F,4.0,,,,,,,,,TB04,STR01,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901397,Turnover,Turnover_Takeaway,Velodrome,0,EV1896901945,Pass,Pass_Completed,Platinum,1,0.0,1.0,8.0,6.0,12.0,8.0,save,0,0,0,34.0,111.0,69.0,141.0,0,26.0,21.0,30.0,2.0,2.0,23.0,0,1,0,0,0.0,1,0.0,1.0,11.0,14.0,0,,FO189691265,after_stoppage,2.0,0.0,439.0,111.0,36.0,34.0,10.0,34.0,321.0,,,,,,196.99,,,,,,321.0,321.0,321.0,196.99,196.99,196.99
EV1896902467,18969,3,P03,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Offensive,ZN01,SQ1896900124,PL1896912401,EC18969002467,TV1896902467,Platinum,N10008,Velodrome,N10010,0.0,"P100022,P100117",P100001,3.0,46.0,3.0,46.0,226.0,226.0,3374.0,3374.0,5174.0,2400,1800,h,,Platinum,Defensive,Offensive,event_player_1,Offensive,1,e1,45.0,5v5,,,,,0,0,Keegan Mantaro,N20252026F,5.0,,,,,,,,,TB04,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901408,Zone_Entry_Exit,Zone_Entry,Platinum,1,EV1896902468,Shot,Shot_Blocked,Platinum,1,0.0,0.0,8.0,3.0,15.0,10.0,save,0,0,0,23.0,122.0,47.0,163.0,0,0.0,1.0,0.0,2.0,2.0,21.0,0,1,0,0,0.0,2,0.0,2.0,11.0,22.0,0,,FO189691287,after_stoppage,0.0,0.0,450.0,122.0,25.0,23.0,21.0,23.0,184.99,488.97,,,,,537.97,,,,,,336.98,184.99,488.97,537.97,537.97,537.97
EV1896901426,18969,1,P01,Faceoff,ET0004,Faceoff_AfterGoal,ED0002,,,,,Neutral,ZN03,SQ1896900039,PL1896903901,EC18969001426,TV1896901426,Platinum,N10008,Velodrome,N10010,0.0,"P100030,P100117",P100001,2.0,57.0,2.0,57.0,177.0,177.0,1023.0,1023.0,1023.0,0,0,h,,Platinum,Neutral,Neutral,event_player_1,Offensive,1,e1,45.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,,,,,,,,,TB04,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901977,DeadIce,,Platinum,1,EV1896901427,Possession,,Platinum,1,17.0,0.0,7.0,17.0,4.0,4.0,save,0,0,0,,17.0,,3.0,0,29.0,29.0,34.0,1.0,3.0,7.0,1,0,0,0,0.0,6,38.0,48.0,49.0,71.0,0,,FO189691358,after_goal,17.0,0.0,17.0,26.0,-1.0,-1.0,17.0,7.0,431.98,446.97,,,,,495.97,,,,,,439.475,431.98,446.97,495.97,495.97,495.97
EV1896902498,18969,3,P03,Faceoff,ET0004,Faceoff_AfterGoal,ED0002,,,,,Neutral,ZN03,SQ1896900134,PL1896913401,EC18969002498,TV1896902498,Platinum,N10008,Velodrome,N10010,0.0,P100001,P100117,2.0,50.0,2.0,50.0,170.0,170.0,3430.0,3430.0,5230.0,2400,1800,a,,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e1,70.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,,,,,,,,,TB04,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896901433,DeadIce,,Velodrome,1,EV1896902499,Possession,PuckRecovery,Velodrome,1,0.0,2.0,26.0,0.0,31.0,4.0,save,0,0,0,,24.0,,11.0,0,2.0,5.0,41.0,2.0,2.0,30.0,0,1,0,0,0.0,5,7.0,8.0,7.0,8.0,0,,FO189691366,after_goal,0.0,0.0,33.0,24.0,-1.0,-1.0,24.0,30.0,495.97,,,,,,446.97,,,,,,495.97,495.97,495.97,446.97,446.97,446.97
EV1896901978,18969,2,P02,Faceoff,ET0004,Faceoff_AfterGoal,ED0002,,,,,Neutral,ZN03,SQ1896900078,PL1896907801,EC18969001978,TV1896901978,Platinum,N10008,Velodrome,N10010,0.0,"P100093,P100201",P100192,2.0,47.0,2.0,47.0,167.0,167.0,2233.0,2233.0,3133.0,1200,900,a,,Velodrome,Neutral,Neutral,event_player_1,Offensive,1,e1,42.0,5v5,,,,,0,0,Garrett Ashcroft,N20252026F,4.0,,,,,,,,,TB04,STR01,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896902499,Possession,PuckRecovery,Velodrome,1,EV1896901979,Possession,,Velodrome,1,1.0,0.0,23.0,3.0,29.0,6.0,save,0,0,0,,27.0,,13.0,0,5.0,7.0,44.0,2.0,2.0,27.0,0,1,0,0,0.0,7,3.0,2.0,3.0,2.0,0,,FO189691368,after_goal,1.0,0.0,36.0,27.0,-1.0,-1.0,3.0,27.0,118.0,180.99,,,,,148.0,,,,,,149.495,118.0,180.99,148.0,148.0,148.0
EV1896901434,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Defensive,ZN02,SQ1896900044,PL1896904401,EC18969001434,TV1896901434,Platinum,N10008,Velodrome,N10010,0.0,P100001,P100117,2.0,30.0,2.0,30.0,150.0,150.0,1050.0,1050.0,1050.0,0,0,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,70.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,,,,,,,,,TB04,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896902509,Turnover,,Velodrome,1,EV1896901986,Possession,PuckRetrieval,Velodrome,1,2.0,0.0,6.0,20.0,11.0,24.0,save,0,0,0,,44.0,,31.0,0,9.0,9.0,6.0,2.0,2.0,20.0,0,1,0,0,0.0,5,2.0,1.0,17.0,18.0,0,,FO189691386,after_stoppage,2.0,0.0,53.0,44.0,-1.0,-1.0,20.0,10.0,495.97,,,,,,446.97,,,,,,495.97,495.97,495.97,446.97,446.97,446.97
EV1896901438,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Neutral,ZN03,SQ1896900041,PL1896904101,EC18969001438,TV1896901438,Platinum,N10008,Velodrome,N10010,0.0,P100117,,1.0,59.0,1.0,59.0,119.0,119.0,1081.0,1081.0,1081.0,0,0,h,,Platinum,Neutral,Neutral,event_player_1,Offensive,1,e1,45.0,5v5,,,,,0,0,Keegan Mantaro,N20252026F,5.0,,,,,,,,,TB05,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896902529,Pass,Pass_Completed,Velodrome,0,EV1896901439,LoosePuck,LoosePuck_Battle,Velodrome,0,1.0,0.0,6.0,25.0,12.0,31.0,save,0,0,0,,75.0,,73.0,0,14.0,13.0,14.0,2.0,2.0,21.0,0,1,0,0,0.0,1,5.0,5.0,31.0,42.0,0,,FO189691428,after_stoppage,0.0,1.0,75.0,84.0,-1.0,-1.0,21.0,15.0,312.97,,,,,,,,,,,,312.97,312.97,312.97,,,
EV1896901455,18969,1,P01,Faceoff,ET0004,Faceoff_AfterStoppage,,,,,,Defensive,ZN02,SQ1896900055,PL1896905501,EC18969001455,TV1896901455,Platinum,N10008,Velodrome,N10010,0.0,"P100001,P100105",P100117,1.0,24.0,1.0,24.0,84.0,84.0,1116.0,1116.0,1116.0,0,0,a,,Velodrome,Offensive,Defensive,event_player_1,Offensive,1,e1,70.0,5v5,,,,,0,0,Sam Downs,N20252026F,4.0,,,,,,,,,TB05,STR01,6.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,EV1896902552,Save,Save_Freeze,Platinum,0,EV1896901456,Pass,Pass_Completed,Velodrome,1,2.0,0.0,43.0,2.0,43.0,2.0,save,0,0,0,,110.0,,129.0,0,14.0,12.0,17.0,4.0,4.0,920.0,0,1,0,0,0.0,1,20.0,20.0,35.0,56.0,0,,FO189691484,after_stoppage,0.0,0.0,119.0,110.0,-1.0,-1.0,11.0,18.0,244.97000000000003,78.0,,,,,312.97,,,,,,161.485,78.0,244.97000000000003,312.97,312.97,312.97
