game_id,game_date,home_team,away_team,official_home_goals,official_away_goals,official_total_goals,game_url,tracking_status,tracking_pct,events_row_count,shifts_row_count,player_id_fill_pct,goal_events,periods_covered,tracking_start_period,tracking_start_time,tracking_end_period,tracking_end_time,is_loaded,goals_in_stats,goal_match,player_count,issues,suspicious_stats_flag,suspicious_stats_count,suspicious_stats_summary
18035,2025-02-09 00:00:00,Platinum,HollowBrook,2,2,4,https://www.noradhockey.com/event/18035/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18034,2025-02-09 00:00:00,Triple J,Outlaws,4,9,13,https://www.noradhockey.com/event/18034/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18033,2025-02-09 00:00:00,Ace,Orphans,7,4,11,https://www.noradhockey.com/event/18033/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18031,2025-02-02 00:00:00,Platinum,AMOS,3,4,7,https://www.noradhockey.com/event/18031/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18030,2025-02-02 00:00:00,Triple J,Nelson,2,5,7,https://www.noradhockey.com/event/18030/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18029,2025-02-02 00:00:00,Ace,HollowBrook,4,8,12,https://www.noradhockey.com/event/18029/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18028,2025-02-02 00:00:00,Orphans,Outlaws,5,4,9,https://www.noradhockey.com/event/18028/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18025,2025-01-26 00:00:00,Ace,AMOS,2,8,10,https://www.noradhockey.com/event/18025/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18024,2025-01-26 00:00:00,Orphans,Nelson,7,1,8,https://www.noradhockey.com/event/18024/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18023,2025-01-26 00:00:00,Outlaws,HollowBrook,0,7,7,https://www.noradhockey.com/event/18023/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
10826,2025-01-26 00:00:00,Triple J,OS Offices,3,4,7,https://www.noradhockey.com/event/10826/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18021,2025-01-12 00:00:00,Ace,Platinum,0,10,10,https://www.noradhockey.com/event/18021/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18020,2025-01-12 00:00:00,Orphans,OS Offices,1,2,3,https://www.noradhockey.com/event/18020/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18019,2025-01-12 00:00:00,Outlaws,AMOS,5,3,8,https://www.noradhockey.com/event/18019/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18018,2025-01-12 00:00:00,HollowBrook,Nelson,6,6,12,https://www.noradhockey.com/event/18018/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18016,2025-01-05 00:00:00,Orphans,Triple J,2,5,7,https://www.noradhockey.com/event/18016/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
18015,2025-01-05 00:00:00,Outlaws,Platinum,0,4,4,https://www.noradhockey.com/event/18015/,NO_FILE,0.0,0,0,0.0,0,,,,,,False,0,,0,No tracking file,False,0,
