player_game_key,game_id,player_id,player_name,xg_for,xg_against,xg_diff,xg_pct,goals_above_expected,shots_high_danger,shots_medium_danger,shots_low_danger,scoring_chances,high_danger_chances,xg_per_shot,shot_quality_avg
PG1898700008,18987,P100033,Taylor Rogalsky,0.72,0.175,0.545,80.4,-0.72,2.0,4.0,4.0,6.0,2.0,0.09,1.8
PG1898700009,18987,P100034,Colin Brewster,0.18,0.18,0.0,50.0,-0.18,1.0,2.0,2.0,3.0,1.0,0.09,1.8
PG1898700010,18987,P100039,Nicole Downs,0.0,0.117,-0.117,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
PG1898700011,18987,P100064,James Rynearson,0.09,0.138,-0.048,39.5,-0.09,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1898700012,18987,P100080,Steve Klyn,0.0,0.11,-0.11,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
PG1898700013,18987,P100099,Colby Rasplicka,0.18,0.146,0.034,55.2,-0.18,1.0,1.0,2.0,2.0,1.0,0.09,1.75
PG1898700014,18987,P100105,Ronnie Pinnell,0.09,0.184,-0.094,32.8,-0.09,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1898700015,18987,P100108,Robert Mayfield,0.27,0.215,0.055,55.7,-0.27,1.0,2.0,3.0,3.0,1.0,0.09,1.67
PG1898700016,18987,P100128,Brody Keene,0.09,0.148,-0.058,37.8,-0.09,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1898700017,18987,P100132,Nick Ciampoli,0.09,0.147,-0.057,38.0,-0.09,1.0,0.0,1.0,1.0,1.0,0.09,2.0
PG1898700018,18987,P100170,Kennen Newsham,0.27,0.211,0.059,56.1,-0.27,1.0,2.0,2.0,3.0,1.0,0.09,1.8
PG1898700019,18987,P100185,Samson Leifer,0.81,0.177,0.633,82.1,-0.81,2.0,5.0,7.0,7.0,2.0,0.09,1.64
PG1898700020,18987,P100198,Maxwell Donaty,0.09,0.192,-0.102,31.9,-0.09,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1898700021,18987,P100201,Garrett Ashcroft,0.27,0.189,0.081,58.8,-0.27,1.0,1.0,1.0,2.0,1.0,0.09,2.0
PG1898700022,18987,P100214,Ryan Kiehl,0.27,0.144,0.126,65.2,-0.27,1.0,1.0,2.0,2.0,1.0,0.09,1.75
PG1898700023,18987,P100223,Richie Villanueva,0.0,0.108,-0.108,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
PG1898700024,18987,P100224,Kaitlyn Shain,0.36,0.166,0.194,68.4,0.64,1.0,2.0,4.0,3.0,1.0,0.09,1.57
PG1898700025,18987,P100230,Jennifer Valente,0.09,0.165,-0.075,35.3,-0.09,1.0,1.0,2.0,2.0,1.0,0.09,1.75
PG1898700026,18987,P100232,Philip Kerchner,0.0,0.083,-0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
