player_game_key,game_id,player_id,player_name,goals,assists,points,shots,sog,shots_blocked,shots_missed,shooting_pct,blocks,hits,puck_battles,puck_battle_wins,retrievals
PG1897700011,18977,P100086,Beau Kelly,0,0,0,7,3,0,3,0.0,0,0,0,0,0
PG1897700012,18977,P100088,Hayden Smith,1,0,1,23,18,4,1,4.3,0,0,0,0,0
PG1897700013,18977,P100091,Bert Loper,0,0,0,2,0,1,1,0.0,0,0,0,0,0
PG1897700014,18977,P100096,Jared Wolf,0,0,0,0,0,0,0,0.0,0,0,0,0,0
PG1897700015,18977,P100097,Steve Smith,0,0,0,1,1,0,0,0.0,0,0,0,0,0
PG1897700016,18977,P100100,Nate Flint,0,0,0,1,0,0,0,0.0,0,0,0,0,0
PG1897700017,18977,P100105,Ronnie Pinnell,0,0,0,4,4,0,0,0.0,0,0,0,0,0
PG1897700018,18977,P100108,Robert Mayfield,1,0,1,3,1,1,1,33.3,0,0,0,0,0
PG1897700019,18977,P100123,Todd Heffner,0,0,0,7,3,2,1,0.0,0,0,0,0,0
PG1897700020,18977,P100132,Nick Ciampoli,0,0,0,3,2,0,1,0.0,0,0,0,0,0
PG1897700021,18977,P100159,Josh Cronk,1,0,1,4,1,2,1,25.0,0,0,0,0,0
PG1897700022,18977,P100161,Galen Wood,1,0,1,3,2,1,0,33.3,0,0,0,0,0
PG1897700023,18977,P100198,Maxwell Donaty,0,0,0,4,2,0,1,0.0,0,0,0,0,0
PG1897700024,18977,P100201,Garrett Ashcroft,0,0,0,6,1,3,2,0.0,0,0,0,0,0
PG1897700025,18977,P100211,Noel Black,0,0,0,2,1,1,0,0.0,0,0,0,0,0
PG1897700026,18977,P100224,Kaitlyn Shain,0,0,0,5,3,2,0,0.0,0,0,0,0,0
PG1897700027,18977,P100230,Jennifer Valente,0,0,0,2,0,1,1,0.0,0,0,0,0,0
PG1898100001,18981,P100001,Sam Downs,1,0,1,7,5,1,1,14.3,0,0,0,0,0
PG1898100002,18981,P100002,Kevin White,0,0,0,2,1,1,0,0.0,0,0,0,0,0
PG1898100003,18981,P100016,Wyatt Crandall,0,0,0,0,0,0,0,0.0,0,0,0,0,0
PG1898100004,18981,P100039,Nicole Downs,0,0,0,1,0,1,0,0.0,0,0,0,0,0
PG1898100005,18981,P100061,Eric Larson,0,0,0,3,0,2,1,0.0,0,0,0,0,0
PG1898100006,18981,P100066,Brock Lofgren,0,0,0,5,3,0,1,0.0,0,0,0,0,0
PG1898100007,18981,P100070,Hayden Perea,0,0,0,4,0,2,2,0.0,0,0,0,0,0
PG1898100008,18981,P100071,Andy Alm,0,0,0,3,2,1,0,0.0,0,0,0,0,0
PG1898100009,18981,P100072,Bobby Dickinson,0,0,0,0,0,0,0,0.0,0,0,0,0,0
PG1898100010,18981,P100074,Marko Somersalmi,0,0,0,4,1,1,1,0.0,0,0,0,0,0
PG1898100011,18981,P100078,Kyle Popovich,1,0,1,5,4,1,0,20.0,0,0,0,0,0
PG1898100012,18981,P100079,Joe Lopez,0,0,0,8,4,1,3,0.0,0,0,0,0,0
PG1898100013,18981,P100093,Pat Major,0,0,0,3,0,1,2,0.0,0,0,0,0,0
PG1898100014,18981,P100105,Ronnie Pinnell,0,0,0,5,2,3,0,0.0,0,0,0,0,0
PG1898100015,18981,P100108,Robert Mayfield,0,0,0,3,1,0,1,0.0,0,0,0,0,0
PG1898100016,18981,P100111,Michelle Freddolino,0,0,0,2,2,0,0,0.0,0,0,0,0,0
PG1898100017,18981,P100119,Eric Elliott,0,0,0,9,4,4,1,0.0,0,0,0,0,0
PG1898100018,18981,P100132,Nick Ciampoli,0,0,0,1,0,1,0,0.0,0,0,0,0,0
PG1898100019,18981,P100138,Thane Gilmore,0,0,0,0,0,0,0,0.0,0,0,0,0,0
PG1898100020,18981,P100159,Josh Cronk,0,0,0,6,3,1,2,0.0,0,0,0,0,0
PG1898100021,18981,P100161,Galen Wood,0,0,0,0,0,0,0,0.0,0,0,0,0,0
PG1898100022,18981,P100164,Zachary Coleman,1,0,1,10,7,2,1,10.0,0,0,0,0,0
PG1898100023,18981,P100197,Samuel Yetsko,0,0,0,11,7,2,2,0.0,0,0,0,0,0
PG1898100024,18981,P100198,Maxwell Donaty,0,0,0,1,0,0,1,0.0,0,0,0,0,0
PG1898100025,18981,P100201,Garrett Ashcroft,0,0,0,1,1,0,0,0.0,0,0,0,0,0
PG1898100026,18981,P100224,Kaitlyn Shain,0,0,0,2,1,0,1,0.0,0,0,0,0,0
PG1898100027,18981,P100230,Jennifer Valente,0,0,0,0,0,0,0,0.0,0,0,0,0,0
PG1898700001,18987,P100001,Sam Downs,0,0,0,10,1,3,6,0.0,1,0,0,0,15
PG1898700002,18987,P100002,Kevin White,0,1,1,1,0,1,0,0.0,3,0,0,0,16
PG1898700003,18987,P100004,Cesar Shinall,0,0,0,4,4,0,0,0.0,3,0,0,0,7
PG1898700004,18987,P100009,Graham Peters,0,0,0,0,0,0,0,0.0,0,0,0,0,0
PG1898700005,18987,P100016,Wyatt Crandall,0,0,0,0,0,0,0,0.0,0,0,0,0,0
PG1898700006,18987,P100031,Christopher Mihlon,0,0,0,2,0,1,1,0.0,0,0,0,0,6
PG1898700007,18987,P100032,Trevor Chavez,0,0,0,5,4,0,1,0.0,2,0,0,0,38
PG1898700008,18987,P100033,Taylor Rogalsky,0,0,0,11,8,1,1,0.0,7,0,0,0,20
PG1898700009,18987,P100034,Colin Brewster,0,0,0,6,2,2,1,0.0,2,0,0,0,17
PG1898700010,18987,P100039,Nicole Downs,0,0,0,1,0,0,1,0.0,0,0,0,0,1
PG1898700011,18987,P100064,James Rynearson,0,0,0,3,1,1,1,0.0,0,0,0,0,3
PG1898700012,18987,P100080,Steve Klyn,0,0,0,1,0,1,0,0.0,0,0,0,0,4
PG1898700013,18987,P100099,Colby Rasplicka,0,0,0,4,2,0,2,0.0,0,0,0,0,12
PG1898700014,18987,P100105,Ronnie Pinnell,0,0,0,3,1,2,0,0.0,3,0,1,1,24
PG1898700015,18987,P100108,Robert Mayfield,0,0,0,6,3,2,1,0.0,2,0,0,0,19
PG1898700016,18987,P100128,Brody Keene,0,0,0,3,1,1,1,0.0,0,0,0,0,11
PG1898700017,18987,P100132,Nick Ciampoli,0,0,0,2,1,0,1,0.0,0,0,0,0,4
PG1898700018,18987,P100170,Kennen Newsham,0,0,0,5,3,2,0,0.0,1,0,1,0,21
PG1898700019,18987,P100185,Samson Leifer,0,0,0,14,9,5,0,0.0,1,0,0,0,12
PG1898700020,18987,P100198,Maxwell Donaty,0,0,0,3,1,1,1,0.0,5,0,0,0,21
PG1898700021,18987,P100201,Garrett Ashcroft,0,1,1,3,3,0,0,0.0,0,0,0,0,15
PG1898700022,18987,P100214,Ryan Kiehl,0,0,0,4,3,1,0,0.0,0,0,0,0,5
PG1898700023,18987,P100223,Richie Villanueva,0,0,0,2,0,0,2,0.0,2,0,0,0,6
PG1898700024,18987,P100224,Kaitlyn Shain,1,0,1,7,4,2,1,14.3,0,0,0,0,6
PG1898700025,18987,P100230,Jennifer Valente,0,0,0,4,1,2,1,0.0,0,0,0,0,3
PG1898700026,18987,P100232,Philip Kerchner,0,0,0,0,0,0,0,0.0,1,0,0,0,4
