game_id,season_id,entry_event_id,shot_event_id,events_to_shot,is_rush,entry_type,rush_type,is_goal,zone_entry_type_id,rush_key,video_time_start,video_time_end
18977,N20252026F,EV1897701030,EV1897701031,1,True,other,other,False,ZE0009,RU1897701030,200.0,201.0
18977,N20252026F,EV1897701065,EV1897701067,2,True,other,other,False,ZE0009,RU1897701065,319.0,326.0
18977,N20252026F,EV1897701075,EV1897701076,3,True,other,other,False,ZE0009,RU1897701075,345.0,345.0
18977,N20252026F,EV1897701086,EV1897701087,1,True,other,other,False,ZE0009,RU1897701086,382.0,385.0
18977,N20252026F,EV1897701102,EV1897701103,1,True,other,other,False,ZE0009,RU1897701102,443.0,444.0
18977,N20252026F,EV1897701146,EV1897701150,4,True,other,other,False,ZE0009,RU1897701146,512.0,521.0
18977,N20252026F,EV1897701173,EV1897701174,1,True,other,other,False,ZE0009,RU1897701173,555.0,556.0
18977,N20252026F,EV1897701197,EV1897701198,1,True,other,other,False,ZE0009,RU1897701197,640.0,643.0
18977,N20252026F,EV1897701219,EV1897701222,3,True,other,other,False,ZE0009,RU1897701219,683.0,686.0
18977,N20252026F,EV1897701258,EV1897701263,5,True,other,other,False,ZE0009,RU1897701258,772.0,783.0
18977,N20252026F,EV1897701267,EV1897701270,3,True,dump,dump_chase,False,,RU1897701267,790.0,794.0
18977,N20252026F,EV1897701282,EV1897701286,4,True,dump,dump_chase,False,,RU1897701282,805.0,816.0
18977,N20252026F,EV1897701306,EV1897701308,2,True,other,other,False,ZE0009,RU1897701306,880.0,885.0
18977,N20252026F,EV1897701314,EV1897701315,1,True,other,other,False,ZE0009,RU1897701314,898.0,903.0
18977,N20252026F,EV1897701340,EV1897701341,1,True,other,other,False,ZE0009,RU1897701340,939.0,941.0
18977,N20252026F,EV1897701365,EV1897701368,3,True,other,other,False,ZE0009,RU1897701365,1000.0,1002.0
18977,N20252026F,EV1897701408,EV1897701409,1,True,other,other,False,ZE0009,RU1897701408,1106.0,1108.0
18977,N20252026F,EV1897701437,EV1897701442,5,True,other,other,False,ZE0009,RU1897701437,1156.0,1169.0
18977,N20252026F,EV1897701441,EV1897701442,1,True,other,other,False,ZE0009,RU1897701441,1166.0,1169.0
18977,N20252026F,EV1897701491,EV1897701492,1,True,other,other,False,ZE0009,RU1897701491,2314.0,2317.0
18977,N20252026F,EV1897701522,EV1897701525,3,True,other,other,False,ZE0009,RU1897701522,2380.0,2389.0
18977,N20252026F,EV1897701539,EV1897701541,2,True,other,other,False,ZE0009,RU1897701539,2447.0,2455.0
18977,N20252026F,EV1897701565,EV1897701570,5,True,other,other,False,ZE0009,RU1897701565,2496.0,2538.0
18977,N20252026F,EV1897701587,EV1897701589,2,True,other,other,False,ZE0009,RU1897701587,2581.0,2583.0
18977,N20252026F,EV1897701606,EV1897701610,4,True,other,other,False,ZE0009,RU1897701606,2613.0,2618.0
18977,N20252026F,EV1897701623,EV1897701624,1,True,other,other,False,ZE0009,RU1897701623,2669.0,2671.0
18977,N20252026F,EV1897701647,EV1897701652,5,True,other,other,False,ZE0009,RU1897701647,2732.0,2740.0
18977,N20252026F,EV1897701705,EV1897701708,3,True,other,other,False,ZE0009,RU1897701705,2871.0,2876.0
18977,N20252026F,EV1897701727,EV1897701728,1,True,other,other,False,ZE0009,RU1897701727,2912.0,2915.0
18977,N20252026F,EV1897701761,EV1897701766,5,True,other,other,False,ZE0009,RU1897701761,3002.0,3007.0
18977,N20252026F,EV1897701794,EV1897701795,1,True,other,other,False,ZE0009,RU1897701794,3088.0,3091.0
18977,N20252026F,EV1897701825,EV1897701826,1,True,other,other,False,ZE0009,RU1897701825,3165.0,3167.0
18977,N20252026F,EV1897701845,EV1897701846,1,True,other,other,False,ZE0009,RU1897701845,3201.0,3202.0
18977,N20252026F,EV1897701858,EV1897701859,1,True,other,other,False,ZE0009,RU1897701858,3213.0,3216.0
18977,N20252026F,EV1897701882,EV1897701883,1,True,other,other,False,ZE0009,RU1897701882,3293.0,3295.0
18977,N20252026F,EV1897701893,EV1897701896,4,True,other,other,False,ZE0009,RU1897701893,4325.0,4329.0
18977,N20252026F,EV1897701908,EV1897701911,3,True,other,other,False,ZE0009,RU1897701908,4350.0,4357.0
18977,N20252026F,EV1897701930,EV1897701931,1,True,other,other,False,ZE0009,RU1897701930,4412.0,4416.0
18977,N20252026F,EV1897701967,EV1897701970,3,True,other,other,False,ZE0009,RU1897701967,4495.0,4507.0
18977,N20252026F,EV1897701987,EV1897701989,2,True,other,other,False,ZE0009,RU1897701987,4590.0,4594.0
18977,N20252026F,EV1897702048,EV1897702050,2,True,other,other,False,ZE0009,RU1897702048,4701.0,4704.0
18977,N20252026F,EV1897702054,EV1897702057,3,True,other,other,False,ZE0009,RU1897702054,4711.0,4715.0
18977,N20252026F,EV1897702068,EV1897702071,3,True,other,other,False,ZE0009,RU1897702068,4726.0,4731.0
18977,N20252026F,EV1897702088,EV1897702091,3,True,other,other,False,ZE0009,RU1897702088,4773.0,4775.0
18977,N20252026F,EV1897702099,EV1897702104,5,True,other,other,False,ZE0009,RU1897702099,4788.0,4798.0
18977,N20252026F,EV1897702114,EV1897702115,1,True,other,other,False,ZE0009,RU1897702114,4837.0,4840.0
18977,N20252026F,EV1897702129,EV1897702131,2,True,other,other,False,ZE0009,RU1897702129,4863.0,4866.0
18977,N20252026F,EV1897702148,EV1897702151,3,True,other,other,False,ZE0009,RU1897702148,4902.0,4907.0
18977,N20252026F,EV1897702190,EV1897702191,1,True,other,other,False,ZE0009,RU1897702190,4980.0,4981.0
18977,N20252026F,EV1897702230,EV1897702231,1,True,other,other,False,ZE0009,RU1897702230,5085.0,5087.0
18977,N20252026F,EV1897702242,EV1897702243,1,True,other,other,False,ZE0009,RU1897702242,5102.0,5105.0
18977,N20252026F,EV1897702253,EV1897702255,2,True,other,other,False,ZE0009,RU1897702253,5142.0,5146.0
18977,N20252026F,EV1897702272,EV1897702277,5,True,dump,dump_chase,False,,RU1897702272,5193.0,5204.0
18977,N20252026F,EV1897702292,EV1897702293,1,True,other,other,False,ZE0009,RU1897702292,5234.0,5237.0
