comparison_key,game_id,metric,events_value,stats_value,match,difference,_export_timestamp
18969_goals,18969,goals,7,7,True,0,2026-01-13T11:03:06.636398
18977_goals,18977,goals,5,5,True,0,2026-01-13T11:03:06.637561
18981_goals,18981,goals,3,3,True,0,2026-01-13T11:03:06.639009
18987_goals,18987,goals,1,1,True,0,2026-01-13T11:03:06.640215
