shift_player_id,shift_id,game_id,shift_index,player_game_number,player_id,venue,position,period,shift_duration,shift_start_total_seconds,shift_end_total_seconds,stoppage_time,playing_time,running_toi_game,logical_shift_number,shift_segment,is_first_segment,is_last_segment,logical_shift_duration,gf,ga,pm,gf_ev,ga_ev,gf_pp,ga_pp,gf_pk,ga_pk,pm_ev,cf,ca,cf_pct,ff,fa,ff_pct,sf,sa,shot_diff,zone_entries,zone_exits,giveaways,takeaways,fo_won,fo_lost,situation,situation_id,strength,strength_id,start_zone,end_zone,player_rating,team_avg_rating,opp_avg_rating,rating_differential,qoc_rating,qot_rating,competition_tier_id,opp_multiplier,player_rating_diff,expected_cf_pct,cf_pct_vs_expected,performance,cf_adj,ca_adj,cf_pct_adj,team_id,opp_team_id,season_id,period_id,scf,sca,hdf,hda,event_count,home_avg_rating,away_avg_rating,home_min_rating,away_min_rating,home_max_rating,away_max_rating,home_rating_advantage,home_team_id,away_team_id,game_state,score_differential,is_close_game,home_gf_all,home_ga_all,home_gf_ev,home_ga_ev,home_gf_pp,home_ga_pp,home_gf_pk,home_ga_pk,home_pm_all,home_pm_ev,away_gf_all,away_ga_all,away_gf_ev,away_ga_ev,away_gf_pp,away_ga_pp,away_gf_pk,away_ga_pk,away_pm_all,away_pm_ev,home_zone_entries,away_zone_entries,home_zone_exits,away_zone_exits,home_giveaways,away_giveaways,home_bad_giveaways,away_bad_giveaways,home_takeaways,away_takeaways,fo_pct,bad_giveaways,venue_id,shift_duration_id
SP1896900001P100001,SH1896900001,18969,1,70,P100001,away,F1,1,82.0,1080.0,998.0,0,82.0,82.0,1,1,True,True,82.0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,25.0,0.0,2.0,0.0,0.0,1.0,-1.0,1.0,2.0,2.0,1.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Neutral,Neutral,6.0,0.0,0.0,,0.0,0.0,TI04,0.0,6.0,50.0,-25.0,Under,0.0,3.0,0.0,N10010,N10008,N20252026F,P01,0.0,1.0,0.0,1.0,39.0,,,,,,,False,N10008,N10010,home_leading,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,VN02,SD04
SP1896900007P100001,SH1896900007,18969,7,70,P100001,away,F1,1,102.0,869.0,767.0,0,102.0,184.0,2,1,True,False,159.0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,-2.0,1.0,2.0,3.0,1.0,1.0,1.0,Full Strength,SIT0001,5v5,STR01,Offensive,Defensive,6.0,0.0,0.0,,0.0,0.0,TI04,0.0,6.0,50.0,-50.0,Under,0.0,3.0,0.0,N10010,N10008,N20252026F,P01,0.0,2.0,0.0,1.0,52.0,,,,,,,False,N10008,N10010,home_leading,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,50.0,2.0,VN02,SD05
SP1896900008P100001,SH1896900008,18969,8,70,P100001,away,F1,1,7.0,767.0,760.0,0,7.0,191.0,2,2,False,False,159.0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Neutral,Offensive,6.0,0.0,0.0,,0.0,0.0,TI04,0.0,6.0,50.0,50.0,Over,0.0,0.0,50.0,N10010,N10008,N20252026F,P01,1.0,0.0,0.0,0.0,6.0,,,,,,,False,N10008,N10010,home_leading,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VN02,SD01
SP1896900009P100001,SH1896900009,18969,9,70,P100001,away,F1,1,16.0,760.0,744.0,0,16.0,207.0,2,3,False,False,159.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Offensive,Neutral,6.0,0.0,0.0,,0.0,0.0,TI04,0.0,6.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P01,0.0,0.0,0.0,0.0,9.0,,,,,,,False,N10008,N10010,home_leading,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,VN02,SD01
SP1896900010P100001,SH1896900010,18969,10,70,P100001,away,F1,1,9.0,744.0,735.0,0,9.0,216.0,2,4,False,False,159.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Offensive,Offensive,6.0,0.0,0.0,,0.0,0.0,TI04,0.0,6.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P01,0.0,0.0,0.0,0.0,4.0,,,,,,,False,N10008,N10010,home_leading,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,VN02,SD01
SP1896900011P100001,SH1896900011,18969,11,70,P100001,away,F1,1,25.0,735.0,710.0,0,25.0,241.0,2,5,False,True,159.0,0,1,-1,0,1,0,0,0,0,-1,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Offensive,Offensive,6.0,0.0,0.0,,0.0,0.0,TI04,0.0,6.0,50.0,-50.0,Under,0.0,2.0,0.0,N10010,N10008,N20252026F,P01,0.0,3.0,0.0,1.0,19.0,,,,,,,False,N10008,N10010,home_leading,2,False,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VN02,SD01
SP1896900017P100001,SH1896900017,18969,17,70,P100001,away,F1,1,6.0,542.0,536.0,0,6.0,247.0,3,1,True,False,158.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Defensive,Defensive,6.0,0.0,0.0,,0.0,0.0,TI04,0.0,6.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P01,0.0,0.0,0.0,0.0,7.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,VN02,SD01
SP1896900018P100001,SH1896900018,18969,18,70,P100001,away,F1,1,7.0,536.0,529.0,0,7.0,254.0,3,2,False,False,158.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Offensive,Defensive,6.0,0.0,0.0,,0.0,0.0,TI04,0.0,6.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P01,0.0,0.0,0.0,0.0,5.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VN02,SD01
SP1896900019P100001,SH1896900019,18969,19,70,P100001,away,F1,1,14.0,529.0,515.0,0,14.0,268.0,3,3,False,False,158.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Neutral,Defensive,6.0,0.0,0.0,,0.0,0.0,TI04,0.0,6.0,50.0,0.0,Expected,0.0,0.0,50.0,N10010,N10008,N20252026F,P01,0.0,0.0,0.0,0.0,12.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,VN02,SD01
SP1896900020P100001,SH1896900020,18969,20,70,P100001,away,F1,1,18.0,515.0,497.0,0,18.0,286.0,3,4,False,False,158.0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,SIT0001,5v5,STR01,Defensive,Offensive,6.0,0.0,0.0,,0.0,0.0,TI04,0.0,6.0,50.0,-50.0,Under,0.0,2.0,0.0,N10010,N10008,N20252026F,P01,0.0,1.0,0.0,0.0,9.0,,,,,,,False,N10008,N10010,tied,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VN02,SD01
