event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,event_start_min,event_start_sec,event_end_min,event_end_sec,time_start_total_seconds,time_end_total_seconds,event_running_start,event_running_end,running_video_time,period_start_total_running_seconds,running_intermission_duration,team_venue,team_venue_abv,player_team,home_team_zone,away_team_zone,player_role,side_of_puck,role_number,role_abrev,player_game_number,strength,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,puck_x_start,puck_y_start,puck_x_end,puck_y_end,player_x,player_y,is_goal,is_highlight,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,is_pressured,danger_level,danger_level_id,scoring_chance_key,zone_exit_key,exit_method
EV1898101840,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_PassMiss_Misplay,ED2108,,,d,ZN02,SQ1898100056,PL1898105622,EC18981001840,TV1898101840,SH1898100069,,Nelson,N10004,Velodrome,N10010,0.0,"P100070,P100132",,1.0,44.0,,,104.0,104.0,2123.0,2128.0,2128.0,1152.0,72.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,52.0,5v5,,,,,,,,,,,0,,Hayden Perea,N20252026F,5.0,,,ZX0007,,,,,,TB05,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813795,other
EV1898101846,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,,,d,ZN02,SQ1898100056,PL1898105625,EC18981001846,TV1898101846,SH1898100070,,Nelson,N10004,Velodrome,N10010,2.0,P100119,,1.0,35.0,1.0,33.0,95.0,93.0,2132.0,2139.0,2137.0,1152.0,72.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,37.0,5v5,,,,,,,,,,,0,,Eric Elliott,N20252026F,4.0,,,ZX0010,,,,,,TB05,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813801,rush
EV1898101852,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Clear,ED2103,,,d,ZN02,SQ1898100056,PL1898105628,EC18981001852,TV1898101852,SH1898100070,,Nelson,N10004,Velodrome,N10010,0.0,P100070,,1.0,22.0,,,82.0,82.0,2145.0,2150.0,2150.0,1152.0,72.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,52.0,5v5,,,,,,,,,,,0,,Hayden Perea,N20252026F,5.0,,,ZX0003,,,,,,TB05,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813807,clear
EV1898101859,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Clear,ED2103,,,d,ZN02,SQ1898100056,PL1898105632,EC18981001859,TV1898101859,SH1898100070,,Nelson,N10004,Velodrome,N10010,0.0,P100072,,1.0,6.0,,,66.0,66.0,2161.0,2166.0,2166.0,1152.0,72.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,7.0,5v5,,,,,,,,,,,0,,Bobby Dickinson,N20252026F,4.0,,,ZX0003,,,,,,TB05,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813814,clear
EV1898101869,18981,2,P02,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_PassMiss_Misplay,ED2108,,,d,ZN02,SQ1898100060,PL1898106002,EC18981001869,TV1898101869,SH1898100071,,Nelson,N10004,Velodrome,N10010,0.0,"P100001,P100039,P100078,P100119",P100164,0.0,53.0,,,53.0,53.0,2174.0,2179.0,2179.0,1152.0,72.0,Home,h,Nelson,d,Neutral,event_player_1,Offensive,1,e,37.0,5v5,,,,,,,,,,,0,,Eric Elliott,N20252026F,4.0,,,ZX0007,,GT0005,,TO0007,,TB05,STR0001,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813824,other
EV1898101887,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Chip,ED2102,,,d,ZN02,SQ1898100062,PL1898106201,EC18981001887,TV1898101887,SH1898100075,,Nelson,N10004,Velodrome,N10010,0.0,P100001,P100197,17.0,24.0,,,1044.0,1044.0,2333.0,2338.0,2338.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,70.0,5v5,,,,,,,,,,,0,,Sam Downs,N20252026F,4.0,,,ZX0002,,,,,,TB01,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813842,other
EV1898101897,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Clear,ED2103,,,d,ZN02,SQ1898100062,PL1898106206,EC18981001897,TV1898101897,SH1898100075,,Nelson,N10004,Velodrome,N10010,0.0,P100074,,17.0,9.0,,,1029.0,1029.0,2348.0,2353.0,2353.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,8.0,5v5,,,,,,,,,,,0,,Marko Somersalmi,N20252026F,5.0,,,ZX0003,,,,,,TB01,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813852,clear
EV1898101903,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,,,d,ZN02,SQ1898100062,PL1898106210,EC18981001903,TV1898101903,SH1898100076,,Nelson,N10004,Velodrome,N10010,9.0,P100164,P100159,16.0,57.0,16.0,48.0,1017.0,1008.0,2360.0,2374.0,2365.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,16.0,5v5,,,,,,,,,,,0,,Zachary Coleman,N20252026F,4.0,,,ZX0010,,,,,,TB01,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813858,rush
EV1898101908,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,,,d,ZN02,SQ1898100062,PL1898106213,EC18981001908,TV1898101908,SH1898100076,,Nelson,N10004,Velodrome,N10010,2.0,P100198,,16.0,40.0,16.0,38.0,1000.0,998.0,2377.0,2384.0,2382.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,84.0,5v5,,,,,,,,,,,0,,Maxwell Donaty,N20252026F,5.0,,,ZX0010,,,,,,TB01,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813863,rush
EV1898101923,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,,,d,ZN02,SQ1898100062,PL1898106218,EC18981001923,TV1898101923,SH1898100079,,Nelson,N10004,Velodrome,N10010,0.0,"P100074,P100079",,16.0,8.0,,,968.0,968.0,2409.0,2414.0,2414.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,8.0,5v5,,,,,,,,,,,0,,Marko Somersalmi,N20252026F,5.0,,,ZX0007,,,,,,TB01,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813878,other
EV1898101928,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,,,d,ZN02,SQ1898100062,PL1898106220,EC18981001928,TV1898101928,SH1898100080,,Nelson,N10004,Velodrome,N10010,1.0,P100001,,15.0,48.0,15.0,47.0,948.0,947.0,2429.0,2435.0,2434.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,70.0,5v5,,,,,,,,,,,0,,Sam Downs,N20252026F,4.0,,,ZX0010,,,,,,TB01,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813883,rush
EV1898101946,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,,,d,ZN02,SQ1898100064,PL1898106401,EC18981001946,TV1898101946,SH1898100081,,Nelson,N10004,Velodrome,N10010,0.0,"P100072,P100078",,14.0,56.0,,,896.0,896.0,2481.0,2486.0,2486.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,7.0,5v5,,,,,,,,,,,0,,Bobby Dickinson,N20252026F,4.0,,,ZX0007,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813901,other
EV1898101956,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,,,d,ZN02,SQ1898100064,PL1898106404,EC18981001956,TV1898101956,SH1898100081,,Nelson,N10004,Velodrome,N10010,0.0,"P100002,P100201",,14.0,35.0,,,875.0,875.0,2502.0,2507.0,2507.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,42.0,5v5,,,,,,,,,,,0,,Garrett Ashcroft,N20252026F,4.0,,,ZX0007,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813911,other
EV1898101963,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,,,d,ZN02,SQ1898100064,PL1898106407,EC18981001963,TV1898101963,SH1898100082,,Nelson,N10004,Velodrome,N10010,0.0,"P100072,P100119",,14.0,25.0,,,865.0,865.0,2512.0,2517.0,2517.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,37.0,5v5,,,,,,,,,,,0,,Eric Elliott,N20252026F,4.0,,,ZX0007,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813918,other
EV1898101971,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_PassMiss_Misplay,ED2108,,,d,ZN02,SQ1898100064,PL1898106410,EC18981001971,TV1898101971,SH1898100082,,Nelson,N10004,Velodrome,N10010,0.0,"P100002,P100201",,14.0,13.0,,,853.0,853.0,2524.0,2529.0,2529.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,42.0,5v5,,,,,,,,,,,0,,Garrett Ashcroft,N20252026F,4.0,,,ZX0007,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813926,other
EV1898101980,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,,,d,ZN02,SQ1898100064,PL1898106413,EC18981001980,TV1898101980,SH1898100082,,Nelson,N10004,Velodrome,N10010,2.0,P100201,,13.0,53.0,13.0,51.0,833.0,831.0,2544.0,2551.0,2549.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,42.0,5v5,,,,,,,,,,,0,,Garrett Ashcroft,N20252026F,4.0,,,ZX0010,,,,,,TB02,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813935,rush
EV1898102000,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_PassMiss_Misplay,ED2108,,,d,ZN02,SQ1898100064,PL1898106420,EC18981002000,TV1898102000,SH1898100082,,Nelson,N10004,Velodrome,N10010,0.0,"P100061,P100079",,13.0,22.0,,,802.0,802.0,2575.0,2580.0,2580.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,23.0,5v5,,,,,,,,,,,0,,Eric Larson,N20252026F,5.0,,,ZX0007,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813955,other
EV1898102025,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Pass,ED2107,,,d,ZN02,SQ1898100068,PL1898106803,EC18981002025,TV1898102025,SH1898100084,,Nelson,N10004,Velodrome,N10010,0.0,"P100132,P100161",P100071,12.0,15.0,,,735.0,735.0,2642.0,2647.0,2647.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,14.0,5v5,,,,,,,,,,,0,,Nick Ciampoli,N20252026F,4.0,,,ZX0007,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813980,other
EV1898102040,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,,,d,ZN02,SQ1898100070,PL1898107002,EC18981002040,TV1898102040,SH1898100085,,Nelson,N10004,Velodrome,N10010,1.0,P100066,,11.0,33.0,11.0,32.0,693.0,692.0,2684.0,2690.0,2689.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,79.0,5v5,,,,,,,,,,,0,,Brock Lofgren,N20252026F,4.0,,,ZX0010,,,,,,TB02,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813995,rush
EV1898102044,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_OppTeam,ED2105,,,d,ZN02,SQ1898100070,PL1898107004,EC18981002044,TV1898102044,SH1898100085,,Nelson,N10004,Velodrome,N10010,0.0,P100016,P100066,11.0,26.0,,,686.0,686.0,2691.0,2696.0,2696.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,39.0,5v5,,,,,,,,,,,0,,Wyatt Crandall,N20252026F,6.0,,,ZX0005,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189813999,other
EV1898102047,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,,,d,ZN02,SQ1898100070,PL1898107007,EC18981002047,TV1898102047,SH1898100085,,Nelson,N10004,Velodrome,N10010,4.0,P100198,P100164,11.0,16.0,11.0,12.0,676.0,672.0,2701.0,2710.0,2706.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,84.0,5v5,,,,,,,,,,,0,,Maxwell Donaty,N20252026F,5.0,,,ZX0010,,,,,,TB02,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189814002,rush
EV1898102053,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Lob,ED2104,,,d,ZN02,SQ1898100070,PL1898107012,EC18981002053,TV1898102053,SH1898100085,,Nelson,N10004,Velodrome,N10010,0.0,"P100066,P100164",,11.0,3.0,,,663.0,663.0,2714.0,2719.0,2719.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,79.0,5v5,,,,,,,,,,,0,,Brock Lofgren,N20252026F,4.0,,,ZX0004,,,,,,TB02,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189814008,other
EV1898102065,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,,,d,ZN02,SQ1898100070,PL1898107015,EC18981002065,TV1898102065,SH1898100086,,Nelson,N10004,Velodrome,N10010,1.0,P100132,,10.0,39.0,10.0,38.0,639.0,638.0,2738.0,2744.0,2743.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,14.0,5v5,,,,,,,,,,,0,,Nick Ciampoli,N20252026F,4.0,,,ZX0010,,,,,,TB02,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189814020,rush
EV1898102093,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Chip,ED2102,,,d,ZN02,SQ1898100076,PL1898107602,EC18981002093,TV1898102093,SH1898100089,,Nelson,N10004,Velodrome,N10010,0.0,P100079,P100070,8.0,33.0,,,513.0,513.0,2864.0,2869.0,2869.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,44.0,5v5,,,,,,,,,,,0,,Joe Lopez,N20252026F,4.0,,,ZX0002,,,,,,TB03,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189814048,other
EV1898102102,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED2110,,,d,ZN02,SQ1898100076,PL1898107604,EC18981002102,TV1898102102,SH1898100090,,Nelson,N10004,Velodrome,N10010,2.0,P100108,,8.0,19.0,8.0,17.0,499.0,497.0,2878.0,2885.0,2883.0,2302.0,142.0,Away,a,Velodrome,o,,event_player_1,Offensive,1,e,22.0,5v5,,,,,,,,,,,0,,Robert Mayfield,N20252026F,5.0,,,ZX0010,,,,,,TB03,STR0001,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189814057,rush
EV1898102124,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Clear,ED2103,,,d,ZN02,SQ1898100078,PL1898107803,EC18981002124,TV1898102124,SH1898100092,,Nelson,N10004,Velodrome,N10010,0.0,P100197,P100105,7.0,13.0,,,433.0,433.0,2944.0,2949.0,2949.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,80.0,5v5,,,,,,,,,,,0,,Samuel Yetsko,N20252026F,5.0,,,ZX0003,,,,,,TB03,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189814079,clear
EV1898102137,18981,3,P03,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Clear,ED2103,,,d,ZN02,SQ1898100078,PL1898107808,EC18981002137,TV1898102137,SH1898100093,,Nelson,N10004,Velodrome,N10010,0.0,P100074,,6.0,52.0,,,412.0,412.0,2965.0,2970.0,2970.0,2302.0,142.0,Home,h,Nelson,d,,event_player_1,Offensive,1,e,8.0,5v5,,,,,,,,,,,0,,Marko Somersalmi,N20252026F,5.0,,,ZX0003,,,,,,TB03,STR0001,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,0,,,,ZX189814092,clear
