season_id,season,session,norad,csah,league_id,league,start_date
SN0001,20212022,F,Y,N,N,NORAD,2021-08-01 00:00:00
SN0002,20222023,F,Y,N,N,NORAD,2022-08-01 00:00:00
SN0003,20232024,F,Y,N,N,NORAD,2023-08-01 00:00:00
SN0004,20242025,F,Y,N,N,NORAD,2024-08-01 00:00:00
SN0005,20242025,F,N,Y,C,CSAHA,2024-08-01 00:00:00
SN0006,20252026,F,N,Y,C,CSAHA,2025-08-01 00:00:00
SN0007,20252026,F,Y,N,N,NORAD,2025-08-01 00:00:00
SN0008,2025,S,Y,N,N,NORAD,2025-06-01 00:00:00
SN0009,2025,S,N,Y,C,CSAHA,2025-06-01 00:00:00
