event_id,game_id,period,period_id,event_type,event_type_id,event_detail,event_detail_id,event_detail_2,event_detail_2_id,event_successful,success_id,event_team_zone,event_zone_id,sequence_key,play_key,event_chain_key,tracking_event_key,shift_key,linked_event_key,home_team,home_team_id,away_team,away_team_id,duration,event_player_ids,opp_player_ids,player_name,season_id,position_id,shot_type_id,zone_entry_type_id,zone_exit_type_id,stoppage_type_id,giveaway_type_id,takeaway_type_id,turnover_type_id,pass_type_id,time_bucket_id,strength_id,cycle_key,is_cycle,event_start_min,event_start_sec,event_end_min,event_end_sec,running_video_time,event_running_start,event_running_end,play_detail1,is_rush,is_rebound,is_breakout,is_zone_entry,is_zone_exit,is_shot,is_goal,is_save,is_turnover,is_giveaway,is_takeaway,is_faceoff,is_penalty,is_blocked_shot,is_missed_shot,is_deflected,is_sog,shot_outcome_id,pass_outcome_id,save_outcome_id,zone_outcome_id,is_scoring_chance,is_high_danger,pressured_pressurer,is_pressured,danger_level,danger_level_id,scoring_chance_key,rush_key,rush_outcome
EV1898101197,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100013,PL1898101317,EC18981001197,TV1898101197,SH1898100019,,Nelson,N10004,Velodrome,N10010,1.0,"P100002,P100230","P100061,P100197",Jennifer Valente,N20252026F,4.0,,ZE0010,,,,,,,TB02,STR0001,,0,10.0,29.0,10.0,28.0,451.0,446.0,452.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813153,zone_entry
EV1898101201,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100013,PL1898101319,EC18981001201,TV1898101201,SH1898100020,,Nelson,N10004,Velodrome,N10010,3.0,P100164,,Zachary Coleman,N20252026F,4.0,,,ZX0010,,,,,,TB02,STR0001,,0,10.0,17.0,10.0,14.0,463.0,458.0,466.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813157,other
EV1898101203,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100013,PL1898101320,EC18981001203,TV1898101203,SH1898100020,,Nelson,N10004,Velodrome,N10010,3.0,"P100072,P100164","P100093,P100198",Zachary Coleman,N20252026F,4.0,,,ZX0010,,,,,,TB02,STR0001,,0,10.0,12.0,10.0,9.0,468.0,463.0,471.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813159,other
EV1898101212,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100013,PL1898101324,EC18981001212,TV1898101212,SH1898100022,,Nelson,N10004,Velodrome,N10010,4.0,P100093,P100066,Pat Major,N20252026F,5.0,,,ZX0010,,,,,,TB03,STR0001,,0,9.0,54.0,9.0,50.0,486.0,481.0,490.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813168,other
EV1898101236,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Exit,,ZoneExit_Rush,ED295,,,d,ZN02,SQ1898100015,PL1898101504,EC18981001236,TV1898101236,SH1898100023,,Nelson,N10004,Velodrome,N10010,1.0,P100119,,Eric Elliott,N20252026F,4.0,,,ZX0010,,,,,,TB03,STR0001,,0,8.0,46.0,8.0,45.0,554.0,549.0,555.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO03,0,0,,0,,,,RU189813192,other
EV1898101238,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100015,PL1898101505,EC18981001238,TV1898101238,SH1898100024,,Nelson,N10004,Velodrome,N10010,2.0,"P100066,P100119","P100002,P100093,P100198",Eric Elliott,N20252026F,4.0,,ZE0010,,,,,,,TB03,STR0001,,0,8.0,43.0,8.0,41.0,557.0,552.0,559.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813194,zone_entry
EV1898101252,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100017,PL1898101704,EC18981001252,TV1898101252,SH1898100025,,Nelson,N10004,Velodrome,N10010,2.0,"P100071,P100119","P100070,P100132,P100161",Eric Elliott,N20252026F,4.0,,ZE0010,,,,,,,TB03,STR0001,,0,8.0,3.0,8.0,1.0,597.0,592.0,599.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813208,zone_entry
EV1898101263,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100017,PL1898101707,EC18981001263,TV1898101263,SH1898100025,,Nelson,N10004,Velodrome,N10010,1.0,"P100132,P100161,P100224","P100061,P100079,P100119",Kaitlyn Shain,N20252026F,4.0,,ZE0010,,,,,,,TB03,STR0001,,0,7.0,41.0,7.0,40.0,619.0,614.0,620.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813219,zone_entry
EV1898101288,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100017,PL1898101718,EC18981001288,TV1898101288,SH1898100027,,Nelson,N10004,Velodrome,N10010,5.0,"P100111,P100164,P100197","P100070,P100105,P100132",Samuel Yetsko,N20252026F,5.0,,ZE0010,,,,,,,TB03,STR0001,,0,6.0,57.0,6.0,52.0,663.0,658.0,668.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813244,zone_entry
EV1898101298,18981,1,P01,Zone_Entry_Exit,ET0006,Zone_Entry,,ZoneEntry_Rush,ED284,,,o,ZN01,SQ1898100019,PL1898101903,EC18981001298,TV1898101298,SH1898100028,,Nelson,N10004,Velodrome,N10010,2.0,P100159,"P100074,P100111",Josh Cronk,N20252026F,5.0,,ZE0010,,,,,,,TB03,STR0001,,0,6.0,12.0,6.0,10.0,708.0,703.0,710.0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ZO01,0,0,,0,,,,RU189813254,zone_entry
