event_index,Team,Player,X,Y,X2,Y2,X3,Y3,Distance,game_id,home_team,away_team
81,e,70,-89.08,10.45,-91.23,5.91,,,5.02,18977,Velodrome,HollowBrook
82,e,70,-89.77,8.91,-46.77,0.91,,,43.74,18977,Velodrome,HollowBrook
83,e,70,-46.62,1.14,-19.08,38.22,,,46.19,18977,Velodrome,HollowBrook
84,e,70,-46.77,0.84,-19.23,38.38,,,46.56,18977,Velodrome,HollowBrook
84,o,40,-24.69,26.45,,,,,69.54,18977,Velodrome,HollowBrook
83,o,40,-24.15,26.30,,,,,69.98,18977,Velodrome,HollowBrook
83,e,9,-38.00,36.38,-18.46,38.22,,,19.63,18977,Velodrome,HollowBrook
84,e,9,-38.00,36.76,-18.77,38.14,,,19.28,18977,Velodrome,HollowBrook
85,e,9,-18.85,38.61,25.46,38.53,,,44.31,18977,Velodrome,HollowBrook
86,e,9,25.31,38.61,77.46,34.30,,,52.33,18977,Velodrome,HollowBrook
86,e,14,23.38,29.68,65.38,23.99,,,42.38,18977,Velodrome,HollowBrook
86,e,61,24.62,-19.78,75.31,-7.93,,,52.06,18977,Velodrome,HollowBrook
86,o,5,22.46,23.99,70.85,31.68,,,48.99,18977,Velodrome,HollowBrook
86,o,11,20.69,6.68,65.92,6.91,,,45.23,18977,Velodrome,HollowBrook
86,o,27,42.00,10.76,79.15,9.14,,,37.19,18977,Velodrome,HollowBrook
87,e,9,77.54,33.91,88.00,2.07,,,33.52,18977,Velodrome,HollowBrook
87,o,99,88.85,2.30,,,,,2.30,18977,Velodrome,HollowBrook
87,o,27,82.77,10.68,,,,,12.37,18977,Velodrome,HollowBrook
88,e,99,88.23,2.38,,,,,2.50,18977,Velodrome,HollowBrook
88,o,9,77.92,33.68,88.15,3.30,,,32.06,18977,Velodrome,HollowBrook
89,e,99,87.92,3.14,89.38,6.38,,,3.55,18977,Velodrome,HollowBrook
90,e,27,90.46,6.22,,,,,6.39,18977,Velodrome,HollowBrook
92,e,11,69.54,-22.86,88.23,-35.32,,,22.47,18977,Velodrome,HollowBrook
92,o,70,69.15,-22.24,,,,,29.81,18977,Velodrome,HollowBrook
