event_index,Team,Player,X,Y,X2,Y2,X3,Y3,Distance,game_id,home_team,away_team
37,o,13,-31.83,-27.07,,,,,63.26,18977,Velodrome,HollowBrook
38,e,22,-34.26,-25.24,,,,,60.28,18977,Velodrome,HollowBrook
39,o,13,-32.26,-26.63,,,,,62.68,18977,Velodrome,HollowBrook
40,e,22,-31.83,-26.63,93.3,-26.98,,,125.13,18977,Velodrome,HollowBrook
40,e,,-69.39,-22.37,-67.57,-23.59,,,2.19,18977,Velodrome,HollowBrook
41,e,42,-69.3,-22.54,-68,-38.46,,,15.97,18977,Velodrome,HollowBrook
41,e,24,-67.3,-38.89,,,,,44.53,18977,Velodrome,HollowBrook
41,o,26,-68.7,-21.93,,,,,29.89,18977,Velodrome,HollowBrook
42,e,13,-66.96,-39.41,-98.26,-2.46,,,48.43,18977,Velodrome,HollowBrook
43,e,22,-97.3,-1.67,-97.83,-1.41,,,0.58,18977,Velodrome,HollowBrook
44,e,42,-98,-16.37,,,,,18.68,18977,Velodrome,HollowBrook
44,o,26,-57.57,-16.02,-29.48,-34.11,,,33.41,18977,Velodrome,HollowBrook
45,e,42,-25.48,-37.76,24.26,-37.67,,,49.74,18977,Velodrome,HollowBrook
46,e,42,24,-37.41,91.57,-17.93,,,70.32,18977,Velodrome,HollowBrook
46,e,24,22.61,-10.46,67.91,-5.76,,,45.55,18977,Velodrome,HollowBrook
46,e,91,22.87,11.2,78.52,12.67,,,55.67,18977,Velodrome,HollowBrook
46,o,13,25.22,-21.5,87.48,-18.28,,,62.34,18977,Velodrome,HollowBrook
46,o,2,34.09,-32.02,82.61,-16.37,,,50.98,18977,Velodrome,HollowBrook
46,o,18,84.26,2.93,73.48,-1.5,,,11.66,18977,Velodrome,HollowBrook
