event_index,Team,Player,X,Y,X2,Y2,X3,Y3,Distance,game_id,home_team,away_team
179,e,33,91.92,30.07,30.15,39.22,,,62.44,18977,Velodrome,HollowBrook
178,e,26,69.46,21.61,75.15,37.45,,,16.84,18977,Velodrome,HollowBrook
178,o,42,68.46,22.38,,,,,30.37,18977,Velodrome,HollowBrook
180,e,87,28.46,39.45,,,,,72.26,18977,Velodrome,HollowBrook
181,e,26,35.46,35.07,2.38,34.38,,,33.08,18977,Velodrome,HollowBrook
182,e,26,35.38,34.84,2.38,34.38,,,33.00,18977,Velodrome,HollowBrook
183,e,22,-0.62,31.53,-9.31,41.30,,,13.08,18977,Velodrome,HollowBrook
184,e,22,-9.23,41.14,5.62,41.53,,,14.85,18977,Velodrome,HollowBrook
184,o,26,5.85,40.61,,,,,92.54,18977,Velodrome,HollowBrook
185,e,26,6.08,39.91,,,,,92.03,18977,Velodrome,HollowBrook
186,e,49,-18.31,11.91,-19.46,-41.24,,,53.17,18977,Velodrome,HollowBrook
187,e,13,-23.31,-41.01,-58.62,-40.86,,,35.31,18977,Velodrome,HollowBrook
187,e,26,-24.69,-8.32,-57.15,-10.39,,,32.53,18977,Velodrome,HollowBrook
187,o,49,-29.62,-25.70,-57.69,-39.24,,,31.17,18977,Velodrome,HollowBrook
187,o,75,-22.15,-38.01,-44.23,-38.24,,,22.08,18977,Velodrome,HollowBrook
188,o,13,-60.77,-39.70,,,,,48.72,18977,Velodrome,HollowBrook
188,e,49,-58.46,-39.32,,,,,49.78,18977,Velodrome,HollowBrook
189,e,49,-60.23,-39.24,,,,,48.66,18977,Velodrome,HollowBrook
190,e,42,-71.69,-23.93,-90.77,-32.01,,,20.72,18977,Velodrome,HollowBrook
190,e,87,-89.69,-31.16,,,,,31.17,18977,Velodrome,HollowBrook
190,o,11,-69.00,-23.78,,,,,31.07,18977,Velodrome,HollowBrook
191,e,87,-90.46,-31.78,89.38,-11.63,,,180.97,18977,Velodrome,HollowBrook
192,e,87,-90.23,-31.32,89.38,-11.63,,,180.69,18977,Velodrome,HollowBrook
193,e,18,95.69,2.91,68.31,21.91,,,33.33,18977,Velodrome,HollowBrook
194,e,18,68.77,21.99,-8.85,-29.47,,,93.13,18977,Velodrome,HollowBrook
195,e,18,68.62,21.84,-8.69,-29.70,,,92.91,18977,Velodrome,HollowBrook
