table_name,table_type,column_name,data_type
dim_event_detail,BASE TABLE,danger_potential,text
dim_event_detail_2,BASE TABLE,event_detail_2_id,text
dim_event_detail_2,BASE TABLE,event_detail_2_code,text
dim_event_detail_2,BASE TABLE,event_detail_2_name,text
dim_event_detail_2,BASE TABLE,event_type,text
dim_event_detail_2,BASE TABLE,event_type_macro,text
dim_event_detail_2,BASE TABLE,category,text
dim_event_detail_2,BASE TABLE,description,text
dim_event_detail_2,BASE TABLE,is_shot_on_goal,boolean
dim_event_detail_2,BASE TABLE,is_goal,boolean
dim_event_detail_2,BASE TABLE,is_miss,boolean
dim_event_detail_2,BASE TABLE,is_block,boolean
dim_event_detail_2,BASE TABLE,danger_potential,text
dim_event_type,BASE TABLE,event_type_id,text
dim_event_type,BASE TABLE,event_type_code,text
dim_event_type,BASE TABLE,event_type_name,text
dim_event_type,BASE TABLE,event_category,text
dim_event_type,BASE TABLE,description,text
dim_event_type,BASE TABLE,is_corsi,boolean
dim_event_type,BASE TABLE,is_fenwick,boolean
dim_game_state,BASE TABLE,game_state_id,text
dim_game_state,BASE TABLE,game_state_code,text
dim_game_state,BASE TABLE,game_state_name,text
dim_game_state,BASE TABLE,goal_diff_min,bigint
dim_game_state,BASE TABLE,goal_diff_max,bigint
dim_game_state,BASE TABLE,description,text
dim_giveaway_type,BASE TABLE,giveaway_type_id,text
dim_giveaway_type,BASE TABLE,giveaway_type_code,text
dim_giveaway_type,BASE TABLE,giveaway_type_name,text
dim_giveaway_type,BASE TABLE,is_bad,boolean
dim_league,BASE TABLE,league_id,text
dim_league,BASE TABLE,league,text
dim_micro_stat,BASE TABLE,micro_stat_id,text
dim_micro_stat,BASE TABLE,stat_code,text
dim_micro_stat,BASE TABLE,stat_name,text
dim_micro_stat,BASE TABLE,category,text
dim_net_location,BASE TABLE,net_location_id,text
dim_net_location,BASE TABLE,net_location_code,text
dim_net_location,BASE TABLE,net_location_name,text
dim_net_location,BASE TABLE,x_pct,double precision
dim_net_location,BASE TABLE,y_pct,double precision
