event_index,Team,Player,X,Y,X2,Y2,X3,Y3,Distance,game_id,home_team,away_team
123,e,27,55.08,19.61,65.92,2.30,,,20.43,18977,Velodrome,HollowBrook
124,e,27,65.46,2.53,-3.46,-7.24,,,69.61,18977,Velodrome,HollowBrook
124,e,11,-13.62,8.14,-4.15,-6.93,,,17.80,18977,Velodrome,HollowBrook
126,e,27,-3.92,-6.93,-35.62,-11.39,,,32.00,18977,Velodrome,HollowBrook
125,e,27,66.00,2.45,-3.38,-7.47,,,70.09,18977,Velodrome,HollowBrook
127,e,27,-4.38,-7.09,-35.62,-11.09,,,31.49,18977,Velodrome,HollowBrook
127,o,87,-35.69,-11.55,,,,,54.54,18977,Velodrome,HollowBrook
128,e,87,-35.54,-11.86,-48.69,-2.93,,,15.89,18977,Velodrome,HollowBrook
129,e,87,-48.46,-2.47,18.38,35.07,,,76.67,18977,Velodrome,HollowBrook
129,e,49,8.31,14.30,17.85,34.61,,,22.44,18977,Velodrome,HollowBrook
129,o,22,-19.46,19.30,,,,,72.17,18977,Velodrome,HollowBrook
130,o,22,-19.38,19.84,,,,,72.39,18977,Velodrome,HollowBrook
130,e,87,-48.77,-3.09,18.08,34.91,,,76.89,18977,Velodrome,HollowBrook
130,e,49,8.00,13.91,17.77,35.38,,,23.58,18977,Velodrome,HollowBrook
131,e,49,18.38,35.30,25.77,41.68,,,9.76,18977,Velodrome,HollowBrook
131,o,5,22.85,31.53,29.77,37.76,,,9.31,18977,Velodrome,HollowBrook
132,e,49,25.92,41.14,56.31,30.53,,,32.19,18977,Velodrome,HollowBrook
132,e,75,24.23,-24.93,49.15,-22.09,,,25.09,18977,Velodrome,HollowBrook
132,o,5,29.92,35.99,54.62,28.38,,,25.84,18977,Velodrome,HollowBrook
132,o,27,42.69,8.07,56.08,26.14,,,22.49,18977,Velodrome,HollowBrook
132,o,26,23.15,-18.63,55.54,-13.24,,,32.83,18977,Velodrome,HollowBrook
133,o,49,54.46,29.14,,,,,45.19,18977,Velodrome,HollowBrook
133,e,5,54.85,27.99,,,,,44.16,18977,Velodrome,HollowBrook
135,e,26,74.69,-0.24,28.00,40.91,,,62.24,18977,Velodrome,HollowBrook
135,e,22,30.31,40.91,,,,,71.55,18977,Velodrome,HollowBrook
135,o,84,29.23,40.38,,,,,72.13,18977,Velodrome,HollowBrook
136,o,84,28.85,40.76,,,,,72.66,18977,Velodrome,HollowBrook
137,e,84,29.08,40.45,30.31,34.61,,,5.97,18977,Velodrome,HollowBrook
