event_index,Team,Player,X,Y,X2,Y2,X3,Y3,Distance,game_id,home_team,away_team
214,e,40,73.46,1.61,85.62,35.76,,,36.25,18977,Velodrome,HollowBrook
215,e,40,86.00,35.91,23.54,37.14,,,62.47,18977,Velodrome,HollowBrook
216,e,40,85.38,35.53,23.54,36.99,,,61.86,18977,Velodrome,HollowBrook
216,e,11,20.62,37.30,,,,,77.89,18977,Velodrome,HollowBrook
215,e,11,20.62,37.22,,,,,77.86,18977,Velodrome,HollowBrook
217,e,11,20.85,35.61,23.85,22.38,,,13.57,18977,Velodrome,HollowBrook
217,e,19,52.23,22.68,23.77,22.38,,,28.46,18977,Velodrome,HollowBrook
218,e,19,24.62,22.22,-24.69,21.84,,,49.31,18977,Velodrome,HollowBrook
219,e,19,-28.54,21.61,-49.69,12.76,,,22.93,18977,Velodrome,HollowBrook
219,e,11,-28.77,32.14,-38.62,18.99,,,16.43,18977,Velodrome,HollowBrook
220,e,11,-38.00,19.30,,,,,54.53,18977,Velodrome,HollowBrook
220,e,19,-50.08,12.76,-37.62,18.76,,,13.83,18977,Velodrome,HollowBrook
219,o,9,-41.92,13.38,-61.23,7.45,,,20.20,18977,Velodrome,HollowBrook
219,o,52,-40.69,16.84,-51.92,13.38,,,11.75,18977,Velodrome,HollowBrook
221,e,11,-38.31,17.45,-60.62,-10.01,,,35.38,18977,Velodrome,HollowBrook
222,e,11,-60.69,-9.86,-96.77,25.68,,,50.64,18977,Velodrome,HollowBrook
222,o,52,-65.08,-4.09,-65.54,-4.24,,,0.49,18977,Velodrome,HollowBrook
223,e,40,-52.85,40.84,,,,,54.54,18977,Velodrome,HollowBrook
224,e,40,-53.15,39.38,-58.92,4.38,,,35.47,18977,Velodrome,HollowBrook
224,e,19,-51.15,8.07,-58.31,4.68,,,7.91,18977,Velodrome,HollowBrook
225,e,19,-58.08,4.22,-85.92,1.61,,,27.97,18977,Velodrome,HollowBrook
225,o,39,-85.38,1.38,,,,,3.87,18977,Velodrome,HollowBrook
225,o,52,-76.08,8.91,-67.92,3.68,,,9.69,18977,Velodrome,HollowBrook
226,o,19,-59.69,4.45,-85.85,1.38,,,26.33,18977,Velodrome,HollowBrook
226,e,39,-86.15,1.53,,,,,3.23,18977,Velodrome,HollowBrook
227,e,39,-86.08,1.53,-81.23,22.14,,,21.18,18977,Velodrome,HollowBrook
228,e,40,-81.54,22.14,-93.46,-30.86,,,54.32,18977,Velodrome,HollowBrook
228,o,9,-78.31,12.38,-82.08,17.22,,,6.14,18977,Velodrome,HollowBrook
229,e,2,-26.54,-40.63,-27.23,-40.47,,,0.71,18977,Velodrome,HollowBrook
230,e,2,-28.08,-40.32,-50.15,-30.47,,,24.17,18977,Velodrome,HollowBrook
231,e,2,-52.00,-30.01,,,,,47.64,18977,Velodrome,HollowBrook
232,e,52,-68.46,-20.78,92.00,-28.93,,,160.67,18977,Velodrome,HollowBrook
233,e,52,-68.77,-20.63,93.00,-29.24,,,162.00,18977,Velodrome,HollowBrook
234,e,27,97.00,-1.86,78.54,18.76,,,27.67,18977,Velodrome,HollowBrook
235,e,27,78.85,19.14,-5.69,39.07,,,86.85,18977,Velodrome,HollowBrook
236,e,27,78.08,18.84,-6.08,39.07,,,86.55,18977,Velodrome,HollowBrook
236,e,11,-8.38,28.14,-6.00,39.61,,,11.71,18977,Velodrome,HollowBrook
235,e,11,-8.38,27.91,-7.00,39.14,,,11.32,18977,Velodrome,HollowBrook
237,e,11,-6.31,39.38,-24.38,39.53,,,18.08,18977,Velodrome,HollowBrook
238,e,11,-24.85,39.07,-53.38,30.22,,,29.88,18977,Velodrome,HollowBrook
239,e,11,-53.54,30.30,-55.69,-0.93,,,31.30,18977,Velodrome,HollowBrook
238,e,22,-21.85,16.61,-69.77,6.99,,,48.88,18977,Velodrome,HollowBrook
238,o,9,-33.54,38.07,-56.31,28.38,,,24.75,18977,Velodrome,HollowBrook
239,o,9,-56.69,27.38,-57.62,-1.16,,,28.55,18977,Velodrome,HollowBrook
238,o,52,-47.31,9.99,-70.15,5.84,,,23.22,18977,Velodrome,HollowBrook
239,o,24,-29.38,-7.55,-54.23,-2.32,,,25.39,18977,Velodrome,HollowBrook
240,e,13,-52.00,-0.24,-65.54,7.61,,,15.65,18977,Velodrome,HollowBrook
241,e,13,-86.92,35.99,-98.85,5.76,,,32.50,18977,Velodrome,HollowBrook
240,o,13,-59.15,5.68,,,,,30.38,18977,Velodrome,HollowBrook
240,o,70,-47.69,4.07,-63.23,6.68,,,15.76,18977,Velodrome,HollowBrook
241,e,11,-98.23,4.38,,,,,10.22,18977,Velodrome,HollowBrook
242,e,11,-97.85,10.68,-27.69,32.84,,,73.57,18977,Velodrome,HollowBrook
242,e,27,-27.92,32.45,,,,,69.16,18977,Velodrome,HollowBrook
242,o,52,-91.15,7.30,-87.92,11.30,,,5.14,18977,Velodrome,HollowBrook
243,e,27,-27.31,31.99,-28.92,28.91,,,3.48,18977,Velodrome,HollowBrook
244,e,27,-30.54,28.45,-98.00,2.84,,,72.16,18977,Velodrome,HollowBrook
245,e,39,-88.31,2.68,-89.15,3.22,,,1.00,18977,Velodrome,HollowBrook
246,e,39,-88.23,3.30,,,,,3.39,18977,Velodrome,HollowBrook
